weight_pe,weight_se,height_pe,height_se,study
0.078000002,0.097999997,0.015,0.081,Taylor-Robinson et al (2015)
0.090000004,0.056122448,0.080600001,0.070200004,Welch et al (2016)
0.114,0.064999998,0.023,0.057,Taylor-Robinson et al (2019)
