# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=12
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/weight (kg) - 5a_halfnormal_uni - draws_12.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,theta.26,theta.27,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.216835
# Diagonal elements of inverse mass matrix:
# 0.0385465, 0.568142, 0.0428568, 1.46426, 0.353056, 0.640423, 1.05118, 1.69812, 1.03315, 1.27507, 0.304101, 1.25136, 0.964153, 0.837392, 0.840813, 1.52213, 0.491483, 1.12892, 1.4598, 1.17674, 0.855093, 0.0932138, 0.323472, 0.993981, 0.128979, 0.895514, 0.381531, 1.0512, 1.08817
-59.0118,0.947147,0.216835,4,15,0,71.4998,0.239583,0.114543,0.740699,0.0033834,0.174029,0.138562,0.144304,0.192934,0.109592,0.0440136,0.328657,0.177402,0.196552,0.109172,0.0252498,0.0311335,0.147619,0.00378831,0.207097,0.0124967,0.403033,0.633883,0.283429,0.114659,0.343873,0.0910496,0.272234,0.115128,0.0874572,0.19116
-65.3855,0.902288,0.216835,4,15,0,76.7656,0.245223,0.0926148,0.616907,0.165757,0.141058,0.217712,0.0924825,0.00994378,0.305037,0.0176719,0.281221,0.0447043,0.0991258,0.0685037,0.110967,0.0916212,0.497196,0.0016129,0.0145867,0.0252302,0.15493,0.445658,0.0835251,0.0781605,0.202847,0.0455246,0.0525168,0.36206,0.328022,0.19566
-65.3332,0.987246,0.216835,4,15,0,76.6479,0.232437,0.0538872,0.774946,0.00455848,0.219711,0.206658,0.128235,0.0254384,0.0804826,0.211179,0.32826,0.247794,0.110593,0.0902228,0.030171,0.0106761,0.0731803,0.000368889,0.182162,0.0122101,0.435423,0.749755,0.270046,0.225527,0.282679,0.0313881,0.0614786,0.0916046,0.132189,0.185458
-67.3855,0.72074,0.216835,4,15,0,90.2381,0.225367,0.0965753,0.562329,0.00682617,0.182353,0.15276,0.0199872,0.0799004,0.198816,0.0110521,0.256949,0.0647423,0.0806243,0.0740478,0.0582396,0.22493,0.314083,0.0484411,6.79355e-05,0.0506154,0.133179,0.339153,0.0630546,0.0137982,0.257756,0.0890345,0.16929,0.18625,0.037507,0.179817
-70.7646,0.853694,0.216835,4,31,0,88.4374,0.213313,0.126173,0.633343,0.00104807,0.0196255,0.203696,0.264178,0.0184206,0.00912871,0.0345195,0.258823,0.129636,0.0330387,0.0738086,0.0111048,0.00970713,0.216589,0.177477,0.00290422,0.0635735,0.322859,0.642253,0.285334,0.390464,0.282044,0.0411432,0.112278,0.0912574,0.432148,0.170199
-67.2799,0.996042,0.216835,4,15,0,80.6281,0.254034,0.137345,0.720957,0.00153394,0.0299922,0.180592,0.0320303,0.110831,0.544877,0.0113583,0.3273,0.112323,0.32177,0.0568348,0.0680301,0.155535,0.319101,0.0754531,0.4344,0.0478629,0.26302,0.527654,0.175489,0.00975461,0.281746,0.0625147,0.152475,0.418378,0.0451287,0.20269
-62.7646,0.9124,0.216835,4,15,0,80.622,0.240365,0.195351,0.805793,0.23017,0.249367,0.0785318,0.137706,0.0235128,0.0164643,0.140616,0.203515,0.0499663,0.0667952,0.0747423,0.0750064,0.0682217,0.269499,0.0447614,0.00313584,0.0161783,0.327326,0.599732,0.292503,0.366882,0.317994,0.172754,0.158157,0.0920904,0.037353,0.191783
-62.69,1,0.216835,4,15,0,82.466,0.310946,0.0579931,0.683202,0.000834801,0.113411,0.183003,0.118092,0.00760682,0.0164013,0.0155137,0.391301,0.295879,0.158213,0.0370356,0.0662282,0.110076,0.349574,0.0252411,0.13419,0.157825,0.190154,0.56686,0.147441,0.0286737,0.20273,0.101108,0.183075,0.442107,0.0896031,0.248099
-63.692,0.971912,0.216835,4,15,0,78.9914,0.257751,0.0924483,0.875217,0.204058,0.102034,0.0865191,0.069183,0.120061,0.138644,0.138428,0.27566,0.0432142,0.120523,0.118239,0.0675207,0.025528,0.253804,0.106002,0.0614808,0.030133,0.151144,0.73297,0.0964398,0.369714,0.354857,0.0110043,0.0468806,0.0889539,0.336342,0.205656
-60.8904,1,0.216835,4,15,0,71.8327,0.31272,0.152795,0.640164,0.000789769,0.275287,0.128633,0.130169,0.0125891,0.167463,0.0384722,0.371825,0.106217,0.0660295,0.0298364,0.0688671,0.246457,0.237268,0.146511,0.152155,0.167127,0.575153,0.518717,0.248608,0.021587,0.203226,0.22645,0.332572,0.432495,0.116355,0.249515
-59.9304,0.995037,0.216835,4,15,0,70.0953,0.17193,0.193017,0.727332,0.00123799,0.0893898,0.171046,0.0283956,0.108835,0.203228,0.0467196,0.263497,0.0530034,0.190365,0.137955,0.0621411,0.0311907,0.338781,0.0748873,0.0106615,0.0414001,0.0950189,0.375337,0.236327,0.164984,0.266137,0.107139,0.0804639,0.122457,0.350237,0.137181
-64.6879,0.989851,0.216835,4,15,0,76.4093,0.358457,0.158445,0.711683,0.00122403,0.072309,0.241922,0.246265,0.0228444,0.149202,0.198092,0.283015,0.00205699,0.173951,0.0335543,0.0786496,0.142517,0.292981,0.0890063,0.0464473,0.0195066,0.0372072,0.714384,0.244135,0.118474,0.34756,0.137285,0.282073,0.0164341,0.0932367,0.286007
-59.4241,0.942607,0.216835,4,15,0,77.3234,0.264891,0.192095,0.97537,0.15266,0.120779,0.231448,0.0173514,0.0237921,0.116173,0.0342066,0.279171,0.00759949,0.216378,0.0846642,0.0635548,0.0811866,0.311162,0.151923,0.180421,0.0587361,0.0912129,0.722704,0.240649,0.159279,0.175255,0.109227,0.0987,0.016387,0.0484273,0.211353
-59.1995,0.998047,0.216835,4,15,0,69.6627,0.283405,0.206189,0.933918,0.026402,0.210527,0.332118,0.0206201,0.0213408,0.0341419,0.0307409,0.412428,0.00401601,0.238493,0.0946765,0.0247561,0.210763,0.305522,0.0868322,0.061764,0.0476144,0.35699,0.619616,0.199043,0.242046,0.276388,0.304193,0.102205,0.00944575,0.156362,0.226125
-57.2206,0.727632,0.216835,4,15,0,70.3956,0.302347,0.143986,0.767119,0.0392566,0.156904,0.0985228,0.0193919,0.121889,0.253187,0.0605583,0.253659,0.0516895,0.0786515,0.0500079,0.121278,0.0445119,0.222359,0.17277,0.0668005,0.106166,0.354992,0.546425,0.289135,0.11993,0.342951,0.00696187,0.269379,0.0494908,0.195241,0.241238
-58.3649,0.957085,0.216835,4,15,0,71.9893,0.237852,0.0939043,0.644195,0.0538517,0.198771,0.125531,0.162696,0.00909284,0.109544,0.177944,0.341313,0.249759,0.122816,0.111721,0.0186222,0.127835,0.334701,0.0790302,0.136348,0.0246784,0.0933523,0.612876,0.163998,0.0819513,0.229079,0.000609181,0.0939485,0.412929,0.172691,0.189778
-52.6393,0.978588,0.216835,4,15,0,64.998,0.260662,0.15998,0.745486,0.0606435,0.0892157,0.179369,0.115523,0.0814783,0.116533,0.0887831,0.260727,0.0628956,0.161989,0.0900495,0.0383032,0.0941313,0.188762,0.120895,0.0257887,0.0925732,0.281084,0.608207,0.289303,0.232039,0.312043,0.444201,0.149047,0.10735,0.196228,0.207978
-57.269,0.991472,0.216835,4,15,0,71.9049,0.337814,0.152153,0.742327,0.0508993,0.183053,0.11407,0.13759,0.00940222,0.15704,0.147076,0.408161,0.164126,0.204154,0.0852141,0.108862,0.105024,0.431386,0.000876954,0.2194,0.0567327,0.309593,0.645669,0.205324,0.126558,0.259626,0.0110619,0.222988,0.0942178,0.058857,0.269536
-56.5866,0.918294,0.216835,4,15,0,70.2761,0.292931,0.114174,0.69997,0.011934,0.173199,0.115412,0.199472,0.0111881,0.285612,0.175392,0.422154,0.0297468,0.126424,0.142333,0.021743,0.164805,0.342266,0.0248003,0.0506433,0.0737458,0.539844,0.40967,0.330913,0.244203,0.323161,0.29416,0.214083,0.0786532,0.0964457,0.233725
-60.1132,0.829455,0.216835,4,15,0,75.3625,0.180374,0.122628,0.527676,0.130658,0.145012,0.297002,0.0717465,0.0281817,0.0849185,0.0716728,0.193083,0.138529,0.195718,0.0342126,0.0955763,0.0107885,0.223971,0.0388941,0.140917,0.0820669,0.0507846,0.245251,0.0460063,0.0953704,0.263345,0.0486478,0.111727,0.318078,0.197405,0.143918
-62.3631,0.961921,0.216835,4,15,0,72.062,0.180457,0.11013,0.556264,0.127768,0.119111,0.246355,0.0704946,0.0159271,0.0590879,0.0938377,0.214915,0.197304,0.178582,0.0312812,0.0987954,0.00916761,0.235848,0.0389684,0.170212,0.0713053,0.045303,0.237343,0.0423162,0.09478,0.24762,0.0504391,0.0972326,0.404164,0.202455,0.143984
-55.96,0.997158,0.216835,4,15,0,75.6226,0.225788,0.235699,0.756787,0.0145922,0.226015,0.123296,0.0396309,0.0608696,0.126273,0.143837,0.292412,0.0500612,0.133853,0.104695,0.0457326,0.0397053,0.290813,0.125977,0.0551982,0.0424783,0.0695083,0.241795,0.358203,0.235041,0.320665,0.224535,0.10875,0.0552588,0.120496,0.180153
-56.4408,0.93661,0.216835,4,15,0,65.8297,0.203611,0.102689,0.663583,0.113434,0.0738366,0.291286,0.123176,0.0137429,0.210282,0.0298298,0.270733,0.103512,0.0536755,0.0366783,0.0275071,0.154528,0.277634,0.116219,0.104712,0.142542,0.502942,0.436205,0.110445,0.0947668,0.169167,0.0874794,0.242608,0.211863,0.176158,0.162458
-58.2165,0.960586,0.216835,4,15,0,65.3138,0.223124,0.206176,0.524457,0.00599524,0.0588469,0.134651,0.164029,0.0328406,0.160855,0.267053,0.232136,0.173399,0.289728,0.116589,0.0361951,0.0482224,0.250211,0.0487172,0.0405952,0.0549375,0.144372,0.421475,0.0662612,0.044591,0.246235,0.236266,0.123053,0.164553,0.149472,0.178027
-53.0622,0.998357,0.216835,4,15,0,66.279,0.250108,0.134922,0.746135,0.11678,0.131614,0.289791,0.0793746,0.0196743,0.154276,0.016709,0.255662,0.0897764,0.0282808,0.0674361,0.0733037,0.0969164,0.169404,0.0425568,0.117627,0.0379644,0.360777,0.41773,0.253623,0.0603062,0.272166,0.11803,0.13331,0.157443,0.244135,0.199557
-59.3621,0.966905,0.216835,4,15,0,69.4655,0.3025,0.0511965,0.632183,0.019076,0.229422,0.206807,0.0370899,0.00291726,0.0939296,0.111548,0.351531,0.273306,0.364226,0.108076,0.0970526,0.0702383,0.56313,0.139622,0.0426429,0.169621,0.441762,0.740004,0.211946,0.190862,0.304382,0.0480198,0.187662,0.0050443,0.102767,0.24136
-64.9052,0.900902,0.216835,4,15,0,76.3472,0.306522,0.404255,0.782778,0.144589,0.157682,0.143479,0.10122,0.00538742,0.0117013,0.175807,0.296789,0.0476632,0.0460467,0.0277551,0.0561441,0.00971576,0.157061,0.124814,0.00617592,0.053796,0.431273,0.676432,0.332013,0.172833,0.291454,0.0885654,0.0840768,0.0259357,0.283169,0.244569
-59.4268,0.986202,0.216835,4,15,0,79.8096,0.267313,0.0260246,0.668772,0.00664169,0.136334,0.290291,0.0604429,0.104744,0.0542097,0.0385324,0.375479,0.107187,0.136666,0.166238,0.0131403,0.0636805,0.122571,0.0762554,0.00620408,0.130342,0.291459,0.774478,0.179454,0.186279,0.31894,0.114517,0.260362,0.0721869,0.298562,0.213285
-60.4111,0.92273,0.216835,4,15,0,72.4932,0.228409,0.0154026,0.822879,0.109313,0.105373,0.0608329,0.218602,0.0170243,0.318257,0.0556887,0.132222,0.1992,0.10788,0.0121663,0.0352178,0.096458,0.119875,0.0439568,0.0756133,0.0526886,0.299476,0.449556,0.291434,0.159241,0.245917,0.104976,0.0904052,0.0972789,0.177019,0.182244
-60.4298,0.89121,0.216835,4,15,0,73.9207,0.283116,0.0561794,0.768771,0.0537749,0.142061,0.121599,0.0449688,0.009112,0.274485,0.129304,0.171861,0.058729,0.0962824,0.0140218,0.0632791,0.0689702,0.133254,0.0770165,0.167465,0.0301322,0.536496,0.333391,0.136122,0.195483,0.310978,0.203335,0.0704647,0.0321494,0.372603,0.225894
-58.8865,0.936209,0.216835,3,15,0,75.0217,0.330425,0.281115,0.868096,0.0361918,0.192802,0.419218,0.120775,0.0345127,0.0697605,0.108811,0.250459,0.0266829,0.222865,0.058414,0.00581632,0.1693,0.252178,0.209124,0.0370934,0.0896711,0.247631,0.813042,0.240406,0.196521,0.245236,0.130255,0.0446617,0.00875341,0.0759199,0.263641
-57.3446,0.982407,0.216835,4,15,0,70.7471,0.346542,0.229429,0.749001,0.0384444,0.217326,0.337812,0.115483,0.0209666,0.0593998,0.064024,0.306644,0.0474825,0.149698,0.0759448,0.0111805,0.10625,0.22952,0.100118,0.0320519,0.0630441,0.523026,0.80006,0.33625,0.20899,0.201562,0.169664,0.0586803,0.0115751,0.0519601,0.276501
