# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=3
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/height (cm) - 6a_skewnormal_uni - draws_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_raw.1,theta_raw.2,theta_raw.3,theta_raw.4,theta_raw.5,theta_raw.6,theta_raw.7,theta_raw.8,theta_raw.9,theta_raw.10,theta_raw.11,theta_raw.12,theta_raw.13,theta_raw.14,theta_raw.15,theta_raw.16,theta_raw.17,theta_raw.18,theta_raw.19,theta_raw.20,theta_raw.21,theta_raw.22,theta_new_raw,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.138727
# Diagonal elements of inverse mass matrix:
# 0.00530015, 1.22679, 0.382681, 0.332612, 0.397114, 0.320378, 0.325562, 0.338861, 0.390368, 0.354349, 0.372826, 0.384131, 0.31871, 0.286285, 0.348965, 0.40364, 0.372734, 0.356471, 0.423726, 0.323336, 0.467626, 0.2631, 0.28905, 0.499521, 0.396401, 30.723
-17.5169,0.739634,0.138727,5,31,0,33.6404,0.0979606,0.0292724,2.09184,0.00396821,0.287546,0.464884,0.342699,2.14307,0.513284,2.41413,1.35369,1.8553,0.503814,0.115217,1.14879,0.665138,1.30501,0.525528,0.792901,1.70127,0.611705,0.429383,0.635801,1.21903,0.697691,4.70644,0.159194,0.0980767,0.106378,0.111569,0.107992,0.160693,0.112986,0.168628,0.137586,0.15227,0.112708,0.101333,0.131588,0.117431,0.136161,0.113344,0.121171,0.147761,0.115867,0.11053,0.116572,0.133644,0.118384,0.120807
-15.5309,0.96004,0.138727,5,31,0,31.0118,-0.0345849,0.143245,1.76045,1.32474,0.83904,1.50811,0.211993,-0.104802,0.537398,-0.0289688,0.912761,0.810317,1.38352,1.44729,0.0939839,0.191608,0.417294,1.64305,0.27543,0.727435,1.61149,0.961321,0.657961,0.798087,0.0738949,15.4376,0.217591,0.155178,0.0856036,0.181444,-0.00421797,-0.0495973,0.0423948,-0.0387345,0.0961638,0.0814891,0.163598,0.172733,-0.0211221,-0.00713796,0.0251905,0.200774,0.00486912,0.0696166,0.196254,0.10312,0.0596649,0.0797372,-0.0239998,0.0794693
-10.7595,0.889818,0.138727,5,31,0,28.7808,0.0393485,0.0400912,1.24865,0.828474,0.288191,0.300336,0.745817,1.30299,0.582364,1.10387,0.54044,1.22429,0.910182,-0.0285363,1.67711,0.945205,1.56519,0.690248,0.645893,0.352722,0.503475,0.110628,1.46937,0.95734,0.851529,5.66946,0.0894083,0.072563,0.0509024,0.0513893,0.0692492,0.0915869,0.0626961,0.0836041,0.0610154,0.0884317,0.0758387,0.0382044,0.106586,0.0772429,0.102099,0.0670213,0.0652431,0.0534895,0.0595334,0.0437837,0.0982571,0.0777294,0.0734873,0.0708504
-10.287,0.976532,0.138727,5,31,0,26.0425,-0.0339592,0.0953419,1.11166,-0.0672949,1.69394,1.25243,0.436246,0.0326952,0.667032,0.0691206,0.483569,0.030601,0.963678,1.32219,1.0855,0.340461,1.43622,0.173847,0.645753,0.394839,1.98126,0.953761,-0.0705267,0.504737,0.930434,4.07924,0.0720283,-0.0403752,0.127544,0.0854499,0.00763331,-0.030842,0.0296369,-0.0273691,0.0121452,-0.0310416,0.0579197,0.0921007,0.0695347,-0.00149899,0.102973,-0.0173843,0.0276081,0.00368548,0.154938,0.0569742,-0.0406833,0.0141634,0.0547501,0.039925
-13.4708,0.855159,0.138727,5,31,0,29.2044,0.0399567,0.0201218,0.221494,2.18502,0.0118193,0.75843,0.165177,0.922582,1.08488,0.9377,0.40107,1.2081,0.986835,0.0128815,0.0938442,0.520576,1.25389,0.429765,0.474386,1.2006,1.31303,0.717031,1.16732,0.813953,1.55722,3.21736,0.0444135,0.0839233,0.0401945,0.0552177,0.0432803,0.0585207,0.0617865,0.0588249,0.048027,0.0642659,0.0598136,0.0402159,0.041845,0.0504316,0.0651874,0.0486044,0.0495022,0.064115,0.0663772,0.0543847,0.0634453,0.0563349,0.0712908,0.0552881
-15.9758,0.956859,0.138727,5,31,0,25.7799,0.105262,0.0111732,1.39225,2.22836,2.1385,0.60856,0.473211,0.910083,0.363436,0.719967,0.397802,0.377952,0.269011,0.74903,1.56444,0.280238,1.56131,1.4785,0.220578,0.959647,1.11815,0.394342,-0.0148286,0.633844,1.61949,9.49561,0.120818,0.13016,0.129156,0.112062,0.110549,0.115431,0.109323,0.113307,0.109707,0.109485,0.108268,0.113631,0.122742,0.108393,0.122707,0.121782,0.107727,0.115985,0.117755,0.109668,0.105096,0.112344,0.123357,0.114128
-12.089,0.928884,0.138727,5,31,0,29.2989,-0.103958,0.195311,0.798129,0.159443,1.99252,0.345036,0.524056,-0.287964,0.382429,0.525005,0.523198,0.283362,0.580161,0.831182,0.761687,1.27553,1.31277,0.473812,2.59807,0.352533,0.591405,0.292494,0.891998,0.71817,-0.525245,2.49254,0.0519253,-0.0728169,0.285202,-0.0365687,-0.00160416,-0.1602,-0.0292654,-0.00141875,-0.00177183,-0.0486142,0.00935374,0.0583807,0.0448077,0.145167,0.15244,-0.0114175,0.403472,-0.0351045,0.0115499,-0.0468308,0.0702588,0.0363083,-0.206544,0.0406718
-6.33331,0.922382,0.138727,5,31,0,22.5966,-0.0894791,0.16614,0.13725,0.15993,1.36509,0.440889,0.0213021,0.194621,0.143344,1.17025,0.937837,0.816537,0.861212,1.236,0.185655,0.569808,0.999822,0.72948,0.975851,1.55776,1.66904,0.438948,0.631131,0.858354,0.608028,7.01568,-0.0666764,-0.0629083,0.137317,-0.0162299,-0.08594,-0.0571448,-0.0656639,0.104945,0.0663328,0.0461801,0.0536025,0.115869,-0.0586344,0.00518863,0.0766312,0.0317166,0.0726485,0.169327,0.187815,-0.0165524,0.0153769,0.0531276,0.0115384,0.0417549
-4.61864,0.968723,0.138727,5,31,0,16.484,-0.0243617,0.167518,0.940223,0.286309,0.509464,0.0945858,0.449557,0.764694,1.89275,0.213819,0.231001,0.249072,0.815908,1.22037,0.919223,1.14707,0.116758,-0.0958162,0.79068,0.111829,1.22816,0.165433,0.204205,1.27434,0.214497,7.10343,0.133143,0.0236003,0.0609828,-0.00851685,0.0509473,0.103739,0.292708,0.0114569,0.0143353,0.0173625,0.112318,0.180072,0.129625,0.167793,-0.00480268,-0.0404127,0.108092,-0.00562824,0.181377,0.0033513,0.00984646,0.189115,0.0115704,0.107994
-9.76734,0.941711,0.138727,4,15,0,15.7912,-0.0183444,0.196936,0.994127,-0.331738,0.848538,0.0490519,0.265829,0.756259,2.24694,0.505141,-0.104539,0.135326,0.690905,1.13014,0.689616,1.12336,0.174833,0.345126,0.691927,0.0151485,1.07968,0.023678,0.728537,1.55672,0.00319912,5.51054,0.177435,-0.0836757,0.148763,-0.0086843,0.034007,0.13059,0.424159,0.0811361,-0.038932,0.00830622,0.11772,0.204222,0.117466,0.202885,0.0160865,0.0496234,0.117921,-0.0153611,0.194284,-0.0136814,0.125131,0.288231,-0.0177144,0.136263
