# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=11
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/height (cm) - 5a_halfnormal_uni - draws_11.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.12725
# Diagonal elements of inverse mass matrix:
# 0.893863, 2.17738, 2.19087, 2.16945, 2.15613, 1.74653, 2.05108, 2.08402, 1.88088, 2.03945, 2.17738, 1.92557, 1.86587, 2.29639, 1.99416, 2.01464, 1.97706, 1.98043, 1.94823, 1.80412, 1.78351, 1.99134, 2.35271, 2.01432
-39.9578,0.885864,0.12725,4,31,0,53.3383,0.062577,0.0893252,0.0736116,0.0827353,0.0689087,0.0204217,0.012499,0.0292544,0.0249448,0.00865066,0.0120558,0.0496546,0.0131247,0.104314,0.110312,0.127586,0.134962,0.0722135,0.0130062,0.0564225,0.0762805,0.0737392,0.10776,0.0021097,0.0499293
-42.4237,0.936329,0.12725,4,31,0,50.9423,0.0896526,0.0320538,0.013054,0.113755,0.0695388,0.0355074,0.0271368,0.202332,0.0163012,0.0314468,0.0248762,0.131501,0.0450876,0.0329884,0.0462075,0.0671047,0.0367513,0.0961701,0.00442015,0.21021,0.014736,0.0747327,0.0236655,0.00107522,0.0715325
-41.6864,0.789529,0.12725,4,31,0,54.6448,0.106082,0.0344302,0.012788,0.219378,0.0559237,0.0289097,0.0505717,0.182916,0.0243221,0.0261226,0.0200584,0.116774,0.0593513,0.0391558,0.0474138,0.147209,0.0348425,0.0748281,0.0152959,0.153775,0.0202278,0.048687,0.0191254,0.00147298,0.0846414
-42.2307,0.89169,0.12725,4,15,0,53.1908,0.057456,0.0762869,0.10638,0.0951528,0.0795556,0.131328,0.0459845,0.0633523,0.031205,0.0311411,0.151524,0.0452183,0.0619949,0.0360784,0.0457816,0.0509747,0.0284299,0.0482636,0.0145991,0.161903,0.0291818,0.180578,0.0150009,0.00227579,0.0458433
-37.7248,0.58276,0.12725,4,15,0,52.7498,0.111881,0.109946,0.0577873,0.106339,0.0446635,0.0152366,0.0336579,0.124165,0.163424,0.0946744,0.0391315,0.129055,0.0754767,0.0884751,0.0952506,0.0461722,0.109521,0.0462013,0.00703423,0.060957,0.101173,0.00238853,0.0867819,0.0222091,0.0892683
-37.8118,0.979433,0.12725,4,15,0,52.4138,0.159275,0.178991,0.112774,0.186277,0.0756528,0.0202776,0.0857974,0.0507517,0.111439,0.179214,0.206471,0.0326045,0.0798702,0.0740516,0.168786,0.0323183,0.0749567,0.0113295,0.043491,0.0737899,0.055264,0.0159791,0.138715,0.275879,0.127083
