# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=4
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/height (cm) - 5a_halfnormal_uni - draws_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.161728
# Diagonal elements of inverse mass matrix:
# 0.451048, 1.60074, 1.73309, 1.64977, 1.59141, 1.53403, 1.55295, 1.54263, 1.71452, 1.6718, 1.74413, 1.34293, 1.63211, 1.60057, 1.52843, 1.64659, 1.62213, 1.62373, 1.65544, 1.10067, 1.42027, 1.42897, 1.80661, 1.6609
-35.8967,0.677905,0.161728,4,15,0,49.2293,0.0653775,0.0735905,0.0409475,0.0168057,0.00954565,0.0527708,0.0228511,0.0125384,0.0783832,0.0138328,0.0811854,0.123632,0.0117252,0.0767843,0.0611614,0.0234418,0.0572498,0.0333808,0.0608086,0.0689262,0.0203212,0.0316534,0.0261517,0.0694708,0.0521637
-37.4406,0.996392,0.161728,4,15,0,45.4563,0.0657583,0.0394496,0.00961375,0.128134,0.0324284,0.0130663,0.0305428,0.0384257,0.0230971,0.0920417,0.0283615,0.0165239,0.142738,0.0360279,0.059055,0.077148,0.0229048,0.0545111,0.0388391,0.0414748,0.0068525,0.0862691,0.0375814,0.040914,0.0524676
-36.5053,0.988164,0.161728,4,15,0,45.8076,0.068956,0.070806,0.0881754,0.0196454,0.00675093,0.0202479,0.0424323,0.0416074,0.0991146,0.0255284,0.0854471,0.126711,0.0106857,0.0446438,0.026937,0.0370799,0.0924457,0.0605934,0.04518,0.120292,0.130444,0.0340303,0.045343,0.0157574,0.0550189
-41.4142,0.93596,0.161728,4,15,0,48.1991,0.109089,0.109198,0.0862581,0.0134691,0.00256464,0.00459748,0.0227046,0.123214,0.100673,0.0310301,0.1297,0.0477332,0.0120073,0.20525,0.0624777,0.0902186,0.0460073,0.19336,0.114524,0.0979981,0.0433707,0.166876,0.212358,0.0143232,0.0870402
-42.2152,0.931702,0.161728,4,31,0,55.7715,0.0598985,0.0699465,0.0226265,0.0259882,0.0777971,0.00164448,0.0525006,0.0579283,0.0158025,0.0336885,0.0136842,0.136144,0.0741048,0.00297626,0.136951,0.0458015,0.057942,0.0282894,0.0200424,0.184355,0.0535355,0.00767946,0.0297214,0.0414187,0.0477921
-42.4612,1,0.161728,4,15,0,53.0887,0.075821,0.0600313,0.0310156,0.0187789,0.0621721,0.000944083,0.0344949,0.080928,0.0144904,0.0487028,0.00974933,0.126977,0.0551842,0.00237501,0.170678,0.102147,0.0417065,0.041266,0.0340061,0.148156,0.0568619,0.00389545,0.0425698,0.0418254,0.0604965
-34.8474,0.983532,0.161728,4,31,0,50.8204,0.0673273,0.0559672,0.0503203,0.0197879,0.0192404,0.033139,0.0741385,0.0573616,0.0528623,0.0435453,0.16132,0.0361111,0.0736594,0.00518148,0.0320867,0.0529359,0.0133184,0.0300917,0.0706251,0.0821805,0.0466354,0.0785803,0.108788,0.0281013,0.0537195
-39.944,0.893294,0.161728,4,15,0,51.499,0.0843174,0.0217918,0.0593865,0.0734636,0.0355873,0.0857361,0.0340785,0.0355531,0.0513378,0.0548677,0.00299671,0.00943737,0.0346735,0.0948151,0.115849,0.0598681,0.158812,0.12605,0.0257465,0.0942956,0.00271475,0.02781,0.0248832,0.0340825,0.0672756
-37.6378,0.975596,0.161728,4,15,0,50.7782,0.172001,0.251744,0.0638102,0.124274,0.0847752,0.0416271,0.0419598,0.161634,0.131233,0.122631,0.0348488,0.247819,0.131201,0.0408774,0.0217781,0.0570662,0.0247423,0.0709405,0.0148991,0.192729,0.127125,0.116225,0.153736,0.0918207,0.137237
-35.7705,0.994732,0.161728,4,15,0,47.2986,0.169892,0.16443,0.12815,0.226078,0.118078,0.0227135,0.036052,0.170529,0.175884,0.126201,0.0597648,0.178882,0.114414,0.044674,0.0269685,0.041716,0.029033,0.0431561,0.0261155,0.259891,0.0676136,0.120035,0.124656,0.0963955,0.135555
-35.5581,1,0.161728,4,15,0,45.7448,0.0917458,0.0891612,0.0246818,0.0530125,0.0666812,0.0944359,0.0381535,0.0987192,0.072127,0.0463051,0.167771,0.060905,0.0909081,0.00751927,0.230676,0.0126015,0.0626726,0.0251701,0.0227625,0.0858007,0.0589126,0.0424874,0.127661,0.140055,0.0732026
-46.0679,0.883126,0.161728,4,15,0,51.5727,0.146943,0.243607,0.0160502,0.0194866,0.0216212,0.174249,0.274309,0.270854,0.0855624,0.0304601,0.111981,0.181147,0.0142196,0.00966382,0.0798925,0.0124338,0.133932,0.0420146,0.0347546,0.285367,0.0491596,0.235709,0.0709951,0.0386979,0.117244
-48.5254,0.920146,0.161728,4,15,0,65.7283,0.175589,0.0412665,0.0179165,0.215053,0.0396359,0.0154461,0.00950022,0.0254102,0.0725893,0.155905,0.0802011,0.0022399,0.0550179,0.219292,0.00839459,0.148115,0.0249328,0.248687,0.136177,0.123839,0.124357,0.00857008,0.175611,0.454321,0.1401
-44.3318,0.663251,0.161728,4,15,0,65.5567,0.105994,0.0255825,0.0126202,0.09245,0.033691,0.0709109,0.0150621,0.0262385,0.131237,0.130971,0.0573913,0.00828094,0.208002,0.0887642,0.172148,0.166323,0.167732,0.102554,0.0457616,0.0564815,0.0681164,0.280352,0.0965002,0.00634211,0.0845712
-41.1222,0.985149,0.161728,4,15,0,57.5304,0.0930341,0.0352177,0.00283043,0.130324,0.133446,0.0950463,0.0723108,0.166291,0.0220345,0.0669974,0.112071,0.105884,0.0100481,0.106003,0.0711004,0.0359893,0.0204259,0.0566395,0.0856187,0.148674,0.0336445,0.00324152,0.0339091,0.00259574,0.0742305
-44.8951,0.900031,0.161728,4,15,0,56.7012,0.0972716,0.0532706,0.00264957,0.109543,0.0787262,0.0658726,0.13735,0.117173,0.0363755,0.0961235,0.0218641,0.116677,0.000748882,0.113266,0.0287182,0.0179346,0.128538,0.242484,0.0805028,0.0984239,0.111505,0.0104237,0.0247041,0.00395536,0.0776116
-40.4395,0.894268,0.161728,4,31,0,57.568,0.0633525,0.0410375,0.00621993,0.0611146,0.0615275,0.0496288,0.0418568,0.0621546,0.038287,0.0354434,0.00684722,0.0452849,0.00360545,0.0271128,0.0716128,0.00273438,0.0200382,0.0171126,0.0232517,0.126372,0.0161632,0.0183161,0.0323376,0.0158662,0.050548
-36.4448,0.999783,0.161728,4,15,0,47.2369,0.0597473,0.0184947,0.0146958,0.0674733,0.0112433,0.0691618,0.0752231,0.0611721,0.0865632,0.0577982,0.0131937,0.0512171,0.0304445,0.0276673,0.04369,0.00197912,0.0460043,0.055884,0.0699452,0.0461177,0.031633,0.0169206,0.0992527,0.0204326,0.0476715
-36.0582,0.892453,0.161728,4,15,0,47.201,0.0799269,0.0504437,0.0516812,0.0854998,0.0196184,0.0331306,0.042283,0.0832565,0.0370374,0.0258598,0.06973,0.0453642,0.0423176,0.0316881,0.00988185,0.00842072,0.0709722,0.0600016,0.0424686,0.212756,0.115199,0.0874833,0.0287133,0.148314,0.0637725
-36.3138,0.941592,0.161728,4,15,0,49.3416,0.0686137,0.1737,0.082468,0.0585787,0.0390419,0.0812542,0.0679284,0.0256349,0.137972,0.0400112,0.0346248,0.0182551,0.128435,0.0436159,0.097059,0.0220347,0.0169498,0.081075,0.0200646,0.0787828,0.0139241,0.0992807,0.0251102,0.044185,0.0547458
-36.3804,0.987857,0.161728,4,15,0,44.6984,0.070599,0.0519125,0.0341478,0.0499441,0.0936338,0.112616,0.100377,0.0713482,0.0568764,0.0308707,0.0562916,0.0178091,0.0886055,0.0538432,0.0464125,0.0238049,0.0160093,0.0787865,0.0168808,0.0456394,0.00691557,0.0370363,0.0100162,0.0354053,0.0563299
-42.8211,0.978487,0.161728,4,15,0,49.9785,0.0807148,0.01297,0.0824982,0.00155737,0.023223,0.0137199,0.0136036,0.0549127,0.0673977,0.0165149,0.0561935,0.137253,0.0287178,0.0767664,0.104269,0.0255753,0.0416371,0.00954797,0.0598749,0.0895437,0.176615,0.10628,0.134233,0.014845,0.0644011
-38.148,0.934039,0.161728,4,15,0,52.9496,0.0650082,0.0718933,0.0295085,0.00954902,0.0679806,0.108723,0.0261571,0.0759636,0.0357515,0.0382319,0.0733992,0.0216657,0.0906113,0.0176016,0.0440735,0.00970248,0.0769775,0.0855908,0.0203899,0.0436553,0.00234656,0.0320908,0.0207991,0.0607194,0.0518691
