# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=8
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/Haemoglobin (g per dL) - 5a_halfnormal_uni - draws_8.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.121096
# Diagonal elements of inverse mass matrix:
# 1.47134, 2.29609, 2.58686, 2.36277, 2.673, 2.67794, 2.59306, 2.49084, 2.74015, 2.31921, 2.45519, 2.69136, 2.48637, 2.83733, 2.61701
-20.4675,0.95755,0.121096,4,15,0,26.4128,0.0344922,0.0199789,0.0264851,0.0211998,0.0426767,0.066633,0.0178601,0.030667,0.0213175,0.0198939,0.0237815,0.0389042,0.00262562,0.0478691,0.0634239,0.0275208
-23.5283,0.973027,0.121096,4,15,0,27.7147,0.0472534,0.0521693,0.0541744,0.0133601,0.0295422,0.0480603,0.00146146,0.0298331,0.0899316,0.0888558,0.0266244,0.0569045,0.00390506,0.0422362,0.0363184,0.0377028
-25.2293,0.941164,0.121096,5,47,0,32.1397,0.00826757,0.00299197,0.00127944,0.00792656,0.000822627,0.0113982,0.016806,0.00752746,0.0142422,0.00321085,0.000770726,0.00686296,0.00534426,0.0077459,0.00940888,0.00659657
-24.6874,0.953757,0.121096,5,31,0,31.0471,0.0109884,0.0031422,0.00468677,0.0107476,0.000948674,0.00609494,0.00121298,0.010547,0.00533022,0.0171156,0.00917343,0.00195624,0.013869,0.00900731,0.0097562,0.0087675
-27.9526,0.974263,0.121096,4,15,0,33.0741,0.0124719,0.00216062,0.0231544,0.000431374,0.0265511,0.0188665,0.00121057,0.00813444,0.00136121,0.00514562,0.0128909,0.00635186,0.00687722,0.00747937,0.0106239,0.00995112
-31.4659,0.977963,0.121096,4,31,0,39.0748,0.0184125,0.00518218,0.00280125,0.025579,0.00147075,0.000542568,0.00745381,0.00652598,0.0105149,0.0119913,0.00779027,0.00858995,0.000710647,0.00583038,0.00250356,0.0146911
-32.6319,0.998136,0.121096,5,31,0,42.0144,0.0106053,0.00453931,0.013533,6.3236e-05,0.0160299,0.00010616,0.00104527,0.0084665,0.00719577,0.00572944,0.00291777,0.00154285,0.0107525,0.00176799,0.0122864,0.00846181
-34.7076,0.962918,0.121096,5,31,0,40.9476,0.0117902,0.0251793,0.00544714,1.60735e-05,0.00641874,0.000305906,0.000777887,0.00293299,0.0103452,0.0223497,0.00240608,0.00396282,0.00985779,0.0222946,0.00936171,0.00940725
-28.8691,0.984943,0.121096,4,15,0,40.6051,0.0172814,0.00183658,0.0208709,2.92702e-05,0.011102,0.00981405,0.0181286,0.0192323,0.0174458,0.00289729,0.0332736,0.0148289,0.0082055,0.00153907,0.0165606,0.0137885
-29.8197,0.961574,0.121096,4,15,0,36.5433,0.0498562,0.00320595,0.0364996,8.5414e-05,0.066538,0.0549498,0.0420056,0.0236349,0.063966,0.0795806,0.00482897,0.02125,0.00881501,0.00237868,0.0391631,0.0397795
-29.5397,0.942704,0.121096,5,47,0,37.501,0.0211478,0.0499015,0.0223199,4.8193e-05,0.00788659,0.00494268,0.0212169,0.0307875,0.00444033,0.00260688,0.00982437,0.0177074,0.0309932,0.0141747,0.01694,0.0168735
-28.496,0.942051,0.121096,4,31,0,41.2063,0.0394916,0.00644128,0.0732392,0.0025623,0.0344888,0.000882584,0.00787835,0.0108758,0.0182608,0.00712011,0.0213132,0.0113626,0.0254996,0.0869874,0.0497884,0.0315098
-25.6568,0.846033,0.121096,5,31,0,35.6402,0.0171501,0.0330001,0.00739782,0.0435572,0.0117122,0.00106713,0.0066735,0.0160453,0.0188738,0.0163572,0.0238234,0.0208089,0.00797221,0.00179696,0.0102102,0.0136838
-24.4937,0.658118,0.121096,4,15,0,35.3172,0.0242267,0.0179109,0.04423,0.0128852,0.0400664,0.00351661,0.0300854,0.0107159,0.0105895,0.00229752,0.00943961,0.0167004,0.0137327,0.00174449,0.0345129,0.0193301
-26.2167,0.931835,0.121096,4,31,0,34.5324,0.0756569,0.0296089,0.0267042,0.0647057,0.00393882,0.118278,0.0401426,0.0624573,0.0189266,0.0802285,0.00160342,0.0370119,0.0364085,0.0753696,0.0131454,0.0603655
-24.9843,0.952348,0.121096,4,15,0,35.8056,0.111,0.0445306,0.158638,0.0258618,0.0508771,0.0285542,0.0252356,0.0524083,0.161572,0.0138886,0.00689486,0.00414763,0.0326714,0.0772165,0.16037,0.0885653
-22.4098,0.863798,0.121096,4,15,0,30.8991,0.0507758,0.0393943,0.0261859,0.0173943,0.113198,0.0508612,0.0481312,0.0583574,0.0227852,0.0622017,0.0094395,0.00604195,0.0119309,0.0314897,0.023091,0.0405132
-22.8916,0.971985,0.121096,4,15,0,29.2651,0.0428745,0.0393221,0.096887,0.0466926,0.0482212,0.0901024,0.0495319,0.0114835,0.0244908,0.0438701,0.0224353,0.104318,0.00381636,0.0345329,0.0473909,0.0342089
-26.2901,0.550572,0.121096,4,15,0,30.8488,0.0817699,0.0316323,0.0225025,0.0582767,0.0813428,0.0100738,0.14494,0.0999543,0.0286821,0.0603477,0.112078,0.00274965,0.137189,0.156812,0.0184814,0.0652429
