# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=3
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/weight (kg) - 6a_skewnormal_uni - draws_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_raw.1,theta_raw.2,theta_raw.3,theta_raw.4,theta_raw.5,theta_raw.6,theta_raw.7,theta_raw.8,theta_raw.9,theta_raw.10,theta_raw.11,theta_raw.12,theta_raw.13,theta_raw.14,theta_raw.15,theta_raw.16,theta_raw.17,theta_raw.18,theta_raw.19,theta_raw.20,theta_raw.21,theta_raw.22,theta_raw.23,theta_raw.24,theta_raw.25,theta_raw.26,theta_raw.27,theta_new_raw,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,theta.26,theta.27,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.176218
# Diagonal elements of inverse mass matrix:
# 0.00521243, 0.056262, 0.0752893, 0.238018, 0.0400487, 0.0467489, 0.120638, 0.0832094, 0.0672081, 0.154671, 0.0824978, 0.139423, 0.124093, 0.118596, 0.0396995, 0.0334401, 0.0936443, 0.202386, 0.0840956, 0.0953099, 0.0558918, 0.397362, 0.25656, 0.0878042, 0.111312, 0.0828711, 0.0837846, 0.064898, 0.280102, 0.407773, 28.4206
-8.40685,0.945698,0.176218,4,15,0,25.1497,-0.142447,0.451135,0.564034,2.55345,0.196929,0.59664,0.858258,0.417438,0.13271,0.496298,0.250456,1.3708,0.553195,0.878977,0.122441,0.411759,0.501955,0.925326,0.588981,0.743152,0.38889,1.00287,2.21597,0.748728,0.280316,0.926835,0.360769,0.607516,0.718587,0.141046,16.0211,0.112009,1.0095,-0.0536055,0.126718,0.244744,0.045874,-0.0825767,0.0814505,-0.0294577,0.47597,0.107119,0.254091,-0.0872096,0.0433118,0.0840024,0.275,0.123263,0.192815,0.0329951,0.309984,0.857256,0.195331,-0.0159864,0.275681,0.0203087,0.131625,0.181733,-0.0788162,0.216808
-19.504,0.954399,0.176218,4,15,0,32.1433,-0.0339829,0.401857,0.154763,2.01114,0.133378,0.429085,0.37697,0.279893,0.0223671,0.584383,0.0710545,0.820544,0.131696,0.0246746,0.635129,0.187913,0.179848,1.59671,-0.0271946,0.815347,0.0117476,1.5519,1.0566,0.339078,0.372339,0.474864,0.608209,0.100046,0.0773738,0.272307,21.2621,0.0282099,0.774207,0.0196161,0.138448,0.117505,0.0784939,-0.0249945,0.200856,-0.00542909,0.295759,0.01894,-0.0240672,0.221248,0.0415313,0.0382901,0.607667,-0.0449112,0.29367,-0.029262,0.58966,0.390618,0.102278,0.115644,0.156844,0.21043,0.00622118,-0.00288966,0.0754458,0.286299
-17.7341,0.219174,0.176218,3,7,0,36.877,-0.0347763,0.395038,0.291357,2.01806,0.091906,0.537022,0.510559,0.320038,-0.0110131,0.59421,0.158603,0.860825,0.0334964,-0.0158337,0.503081,0.181075,0.197828,1.58436,0.226288,0.715336,0.00771921,1.47055,1.20537,0.306667,0.107825,0.521676,0.542623,0.112695,0.0839822,-0.0760558,20.8126,0.0803206,0.762435,0.00152997,0.177368,0.166914,0.0916507,-0.039127,0.199959,0.0278778,0.305282,-0.021544,-0.0410313,0.163959,0.0367549,0.0433731,0.591104,0.054616,0.247808,-0.031727,0.546145,0.44139,0.0863687,0.00781843,0.171305,0.17958,0.0097424,-0.0016002,-0.0648212,0.280055
-15.4151,0.17941,0.176218,4,15,0,27.715,-0.0424421,0.408061,0.286901,1.96948,0.0689359,0.481726,0.519983,0.389977,0.0188536,0.567083,0.147079,0.916235,0.0549713,0.0370123,0.589545,0.174323,0.224725,1.59611,0.269349,0.777414,0.0126195,1.38742,1.32578,0.347537,0.041338,0.482771,0.605356,0.127956,0.152231,0.0368229,21.1473,0.0746308,0.761224,-0.0143121,0.154131,0.169742,0.116692,-0.0347487,0.188962,0.0175748,0.331437,-0.0200105,-0.0273389,0.198128,0.0286923,0.0492592,0.608866,0.0674688,0.27479,-0.0372926,0.523709,0.498557,0.0993739,-0.0255737,0.154558,0.20458,0.00977162,0.0196772,-0.0274162,0.28278
-17.6,0.786855,0.176218,4,15,0,32.1143,-0.0589074,0.368538,0.82331,2.1073,0.18768,0.531671,0.076271,0.192763,0.204548,0.517468,0.680976,0.952785,0.276277,0.504641,-0.0893636,0.101296,0.028154,0.872652,0.657255,-0.128955,0.36553,0.123592,1.38356,0.709286,0.442576,1.14121,0.842817,0.547442,0.3,0.743489,12.4779,0.244513,0.717713,0.0102596,0.137034,-0.0307986,0.0121332,0.0164761,0.131799,0.192058,0.29223,0.0429111,0.127072,-0.0918412,-0.0215761,-0.0485316,0.262698,0.183316,-0.106432,0.0758041,-0.0133589,0.450987,0.202491,0.104198,0.361671,0.251702,0.142846,0.051654,0.215096,0.234204
-15.8861,0.919553,0.176218,4,15,0,40.4813,0.00864177,0.221144,1.03412,2.33836,0.0655756,0.501637,0.591413,0.275358,0.0754941,0.944599,0.494589,0.887911,0.142149,0.713007,0.337996,0.152238,0.120411,1.56914,0.114952,0.450122,0.369729,0.492038,2.46344,1.41005,0.438334,0.738683,0.884661,0.706093,0.227639,0.364278,10.649,0.237331,0.525754,0.0231434,0.119576,0.139429,0.0695353,0.0253368,0.217534,0.118017,0.204998,0.0400772,0.166319,0.0833874,0.0423081,0.0352698,0.355647,0.0340627,0.108183,0.0904049,0.117453,0.553415,0.320465,0.105577,0.171997,0.204279,0.16479,0.0589828,0.0891996,0.184316
