# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=6
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/weight (kg) - 6a_skewnormal_uni - draws_6.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_raw.1,theta_raw.2,theta_raw.3,theta_raw.4,theta_raw.5,theta_raw.6,theta_raw.7,theta_raw.8,theta_raw.9,theta_raw.10,theta_raw.11,theta_raw.12,theta_raw.13,theta_raw.14,theta_raw.15,theta_raw.16,theta_raw.17,theta_raw.18,theta_raw.19,theta_raw.20,theta_raw.21,theta_raw.22,theta_raw.23,theta_raw.24,theta_raw.25,theta_raw.26,theta_raw.27,theta_new_raw,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,theta.26,theta.27,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.15414
# Diagonal elements of inverse mass matrix:
# 0.00473168, 0.0554443, 0.0686696, 0.272385, 0.0402456, 0.0496472, 0.121605, 0.0816252, 0.0610798, 0.171171, 0.0882655, 0.139788, 0.115064, 0.121212, 0.0398533, 0.0325206, 0.110071, 0.219493, 0.0834411, 0.101449, 0.0556021, 0.405737, 0.264975, 0.0895847, 0.108293, 0.0864008, 0.0845858, 0.0705708, 0.276233, 0.357107, 31.1645
-19.6077,0.984511,0.15414,4,31,0,31.7629,-0.0183891,0.300131,0.382086,3.45628,0.076209,0.714551,0.92787,0.674117,0.143885,0.476417,0.12126,1.26181,0.276478,0.258506,0.302662,0.0757978,0.013992,0.853362,0.906977,0.369469,0.30317,1.06882,2.22155,1.41669,-0.0267363,0.827391,0.868794,0.867778,-0.164742,0.712573,2.4043,0.0962865,1.01895,0.00448355,0.19607,0.260093,0.183934,0.0247952,0.124598,0.0180047,0.360319,0.0645904,0.0591964,0.0724489,0.00436015,-0.0141897,0.237731,0.253822,0.0924998,0.0726015,0.302396,0.648367,0.406803,-0.0264135,0.229936,0.242363,0.242058,-0.0678334,0.195476,0.202718
-20.9474,0.885892,0.15414,5,31,0,37.1916,-0.0575781,0.239719,0.307594,2.90898,0.133225,0.42019,1.00256,0.866442,0.199452,0.651349,0.633176,1.38381,0.203405,0.410309,0.19515,0.343899,-0.0795397,0.951006,1.02456,0.0191336,0.486285,0.780799,2.99812,0.690751,0.0132815,0.727151,0.580066,1.02006,0.0347947,1.14698,7.59662,0.016158,0.639758,-0.0256415,0.0431492,0.182754,0.150124,-0.00976571,0.0985625,0.0942061,0.274148,-0.00881809,0.0407806,-0.0107969,0.0248609,-0.0766453,0.170396,0.188027,-0.0529914,0.0589936,0.129594,0.661127,0.108008,-0.0543943,0.116734,0.0814745,0.186949,-0.0492372,0.217375,0.132054
-19.9714,0.989579,0.15414,5,31,0,34.4046,-0.122829,0.335322,0.922418,2.02574,0.0920768,0.946459,0.428712,0.0325803,0.187533,0.427706,0.918198,0.876436,0.250122,0.655306,0.697758,0.217488,0.401507,1.15214,-0.0469368,0.607132,0.236932,0.709286,1.48863,0.948168,0.961095,1.00881,0.552413,0.460716,1.42758,0.222223,15.7767,0.186478,0.556446,-0.0919536,0.19454,0.0209277,-0.111904,-0.0599452,0.0205903,0.185063,0.171059,-0.0389575,0.0969094,0.111145,-0.0499004,0.0118049,0.26351,-0.138568,0.0807555,-0.0433806,0.11501,0.376342,0.195112,0.199447,0.215446,0.0624071,0.0316593,0.355869,-0.0483127,0.144183
-13.5739,0.907096,0.15414,5,31,0,35.045,-0.0717492,0.341012,0.180288,2.38161,0.163953,0.359772,1.15327,0.683182,0.145519,0.234162,0.0325205,0.885471,0.306809,0.280382,0.267016,0.345673,0.324753,0.839701,0.742567,0.767061,0.265481,1.19581,2.16071,0.351949,0.271173,0.779612,0.417966,0.660052,0.182944,0.113505,20.0564,-0.0102688,0.74041,-0.0158394,0.0509374,0.321529,0.161224,-0.0221255,0.008103,-0.0606593,0.230207,0.0328763,0.0238646,0.0193066,0.0461296,0.0389957,0.214599,0.181475,0.189828,0.018783,0.336038,0.665078,0.0482696,0.0207241,0.194108,0.0707825,0.153336,-0.00936305,-0.0330427,0.200002
-17.6671,0.937218,0.15414,4,15,0,33.0318,-0.0371672,0.4424,0.0921955,2.34366,0.102898,0.543571,0.863786,0.806488,0.180041,0.0344426,0.2945,1.0716,0.520931,0.840617,0.0948215,0.283613,0.464249,0.700163,0.945961,0.521244,0.0751889,1.28669,2.0596,0.476615,0.810336,0.42735,0.383083,0.445391,0.304227,0.480018,12.4656,0.00362013,0.999669,0.00835489,0.203309,0.344972,0.319623,0.0424829,-0.0219297,0.0931198,0.436911,0.193292,0.334721,0.00478186,0.0883031,0.168216,0.272585,0.381326,0.193431,-0.0039036,0.532063,0.874001,0.173687,0.321325,0.151892,0.132309,0.159874,0.0974226,0.175193,0.314687
-11.8031,1,0.15414,4,15,0,31.3486,-0.0553839,0.394078,0.517413,2.06868,0.043492,0.383088,0.917715,0.76964,0.0655186,0.390889,0.169888,0.965509,0.194289,0.944196,0.344233,0.248707,0.187322,0.548878,0.66775,0.0400789,0.408131,0.516078,2.21477,1.11029,0.135851,0.39655,0.249282,0.165771,0.241443,0.432419,6.80376,0.148517,0.759837,-0.0382447,0.0955828,0.306268,0.247914,-0.0295645,0.098657,0.0115652,0.325102,0.0211812,0.316703,0.0802706,0.0426259,0.0184354,0.160917,0.207762,-0.0395897,0.105452,0.147991,0.817409,0.382155,-0.00184813,0.100888,0.0428528,0.00994263,0.0397636,0.115023,0.255703
