# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=11
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/Haemoglobin (g per dL) - 5a_halfnormal_uni - draws_11.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.118539
# Diagonal elements of inverse mass matrix:
# 0.936082, 1.5798, 1.99912, 2.00192, 2.084, 2.39819, 2.21561, 2.05319, 2.19894, 1.87767, 1.7936, 1.8297, 1.68566, 2.07169, 2.28948
-25.6136,0.984832,0.118539,4,31,0,32.847,0.101435,0.0116011,0.10984,0.0355157,0.206877,0.0105419,0.00516168,0.0789891,0.144741,0.0764135,0.0100557,0.0642621,0.05476,0.193633,0.0119937,0.0809336
-25.2317,0.987423,0.118539,4,15,0,32.6904,0.068413,0.0993103,0.0804863,0.03538,0.0288006,0.0191643,0.00353449,0.078404,0.0831174,0.0710444,0.0239817,0.0331024,0.00844698,0.0290028,0.125131,0.0545857
-25.0789,0.942218,0.118539,4,15,0,37.446,0.0578457,0.00883251,0.0615024,0.0570159,0.0860243,0.14272,0.0341858,0.00501254,0.101961,0.0205753,0.00102356,0.0818324,0.0271511,0.065754,0.0210243,0.0461542
-24.5722,0.903257,0.118539,5,31,0,34.6724,0.116033,0.05959,0.0380832,0.00683156,0.0512391,0.0290686,0.149515,0.229058,0.19295,0.125967,0.0255842,0.0254804,0.019694,0.102755,0.0453647,0.0925806
-25.7001,0.850708,0.118539,5,63,0,33.3768,0.0123343,0.00952083,0.00920311,0.00492875,0.0144084,0.00783285,0.000205213,0.000788111,0.00480101,0.00261639,0.0110103,0.0117112,0.00888297,0.00937656,0.0128945,0.00984133
-25.8224,0.983446,0.118539,3,15,0,31.7126,0.0103808,0.013253,0.0139453,0.00508019,0.00835394,0.00709368,0.00179573,0.000206506,0.0190775,0.00239384,0.00911372,0.00473533,0.0120705,0.00212436,0.00673306,0.0082827
-28.6317,0.952936,0.118539,4,31,0,34.6412,0.00947002,0.00230896,0.00458275,0.00396148,0.00473462,0.0083124,0.0214427,0.000583218,0.00123674,0.00114685,0.0089763,0.0034022,0.00695386,0.0227387,0.00455658,0.00755599
-23.1189,0.975301,0.118539,4,15,0,32.328,0.00535082,0.00672502,0.00583729,0.00550363,0.00561576,0.00313258,0.0011747,0.0113493,0.00385126,0.00262742,0.00328688,0.00338625,0.00391258,0.000628808,0.00329667,0.00426934
-25.9429,0.915444,0.118539,4,31,0,29.4168,0.00580834,0.00338209,0.00385441,0.00401684,0.00219302,0.000779479,0.0142688,0.00072914,0.0017213,0.00928197,0.00304149,0.0031124,0.00579411,0.00210661,0.00652995,0.00463438
-23.9429,0.964693,0.118539,5,63,0,36.6718,0.00326116,0.00164928,0.000473053,0.00378433,0.00442149,0.00184264,0.00108301,0.000527699,0.00381754,0.00407606,0.00300357,0.00520154,0.00329705,0.00620288,0.00418835,0.00260203
-28.3065,0.914745,0.118539,5,63,0,36.8818,0.00920465,0.0022109,0.00102026,0.00522118,0.0045025,0.0114244,0.0249075,0.00294641,0.000184834,0.0062369,0.00825508,0.00314648,0.014444,0.0056474,0.009434,0.00734425
-27.6458,0.988873,0.118539,5,63,0,35.3638,0.0042801,0.0028939,0.0128631,0.00339834,0.00183894,0.00205281,0.000220168,0.00875869,0.00147381,0.00396162,0.00261418,0.00378087,0.00163175,0.00635572,0.00155756,0.00341503
-25.1279,1,0.118539,4,15,0,31.7458,0.00548632,0.00281436,0.000330315,0.00598432,0.00299378,0.00846249,0.00237309,0.00126289,0.00941689,0.00553582,0.00214323,0.00543097,0.00734269,0.00183183,0.00165503,0.00437745
-27.5978,0.818155,0.118539,4,31,0,39.361,0.00496786,0.004854,0.00168664,0.00163615,0.00270259,0.00654225,0.0107547,0.00728087,0.00155252,0.00156081,0.000936995,0.00585521,0.00557403,0.00424448,0.0164833,0.00396378
-31.2985,0.915141,0.118539,5,31,0,37.8673,0.00888234,0.00660791,0.000799463,0.00180307,0.011426,0.0055208,0.00214986,0.00697789,0.011233,0.00495919,0.0109785,0.00267581,0.00274754,0.00403283,4.09812e-06,0.00708708
-34.7858,0.92538,0.118539,5,31,0,43.1599,0.00964663,0.0118888,0.00400657,0.00268888,0.00458962,0.0121785,0.00287638,0.00478687,8.5211e-05,0.00887696,0.00496121,0.00982698,0.0203572,0.00499616,1.41831e-06,0.0076969
-39.7739,0.965266,0.118539,4,31,0,46.5904,0.0116726,0.00487882,0.00254489,0.00132582,0.00528179,0.00575734,0.0221461,0.0132186,2.66244e-06,0.00945056,0.0134143,0.00594503,0.00157841,0.0028833,5.20974e-06,0.00931343
-36.1606,0.994828,0.118539,5,31,0,46.7087,0.006117,0.0101966,0.00940991,0.000769495,0.00844691,0.00269178,0.000477312,0.00274411,4.38539e-05,0.00425131,0.000366069,0.00384684,0.0083734,0.00765966,1.24913e-05,0.00488066
-28.2072,0.833281,0.118539,5,31,0,44.5001,0.00811771,0.00145613,0.0014594,0.00702332,0.00258051,0.000485075,0.0044186,0.00225618,0.0116818,0.0011209,0.0110288,0.00287561,0.00189573,0.00268784,0.00847245,0.006477
-29.7811,0.998624,0.118539,5,31,0,35.7341,0.00594001,0.00748392,0.00494178,0.00117667,0.00564596,0.00563027,0.00237149,0.00718167,0.000663,0.000493957,0.00072732,0.00653868,9.05213e-05,0.00294426,0.00200717,0.00473945
-28.0905,0.963843,0.118539,5,31,0,38.7753,0.0117475,0.00302828,0.00892137,0.0131949,0.000110488,0.00703668,0.0117222,0.00245819,0.00132704,0.00795222,0.00850793,0.00472183,0.0219586,0.00549048,0.0030322,0.00937315
-33.9025,0.968394,0.118539,5,31,0,39.6503,0.00814894,0.000259493,0.00541702,0.0100671,0.000864336,0.00309341,0.0074498,1.84221e-05,0.0145365,0.00600562,0.00549917,0.00491901,0.000125994,0.00570712,0.00242081,0.00650192
-26.573,0.991231,0.118539,5,31,0,39.2927,0.02152,0.0152542,0.0254114,0.0142965,0.0434879,0.00185477,0.00205299,0.00467569,0.0123899,0.0145208,0.00158569,0.0394902,0.0168531,0.0122079,0.00674258,0.0171705
-29.0902,0.975376,0.118539,5,31,0,37.2308,0.0516032,0.00254448,0.0491787,0.0117579,0.0127134,0.0173759,0.00876688,0.0899653,0.0928823,0.00358442,0.0518141,0.00805053,0.0509078,0.021042,0.0018491,0.0411734
-25.9719,0.991911,0.118539,5,31,0,34.6728,0.0146752,0.00671782,0.00829011,0.0254614,0.00332022,0.00812439,0.0319429,0.00504748,0.0082879,0.0183679,0.00712301,0.0223508,0.000370258,0.0256174,0.00500778,0.0117091
-23.4092,0.966999,0.118539,4,31,0,31.0577,0.0137069,0.0103457,0.0113674,0.0175822,0.0321063,0.00418145,0.00815467,0.0134066,0.0120295,0.00318857,0.0103885,0.0132445,0.000427522,0.0166008,0.0127615,0.0109365
