# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=10
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/Haemoglobin (g per dL) - 5a_halfnormal_uni - draws_10.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.155034
# Diagonal elements of inverse mass matrix:
# 1.00343, 1.8426, 1.99232, 2.03324, 2.14442, 2.27416, 2.07647, 1.98519, 2.3345, 2.02765, 2.16043, 2.14161, 1.9569, 2.09465, 2.34478
-24.469,0.984992,0.155034,5,47,0,30.7134,0.00842404,0.00889413,0.0025277,0.00811391,0.0143114,0.00979914,0.00860669,0.00192182,0.000545856,0.00570064,0.00228661,0.00556422,0.00568841,0.00287269,0.0148689,0.00672142
-27.1434,0.6321,0.155034,5,47,0,35.1184,0.0115762,0.00740167,0.0127888,0.0170918,0.000726512,0.00944525,0.00670575,0.0263238,0.000402444,0.0186732,0.00822069,0.0176748,0.0135972,0.0237498,0.00238025,0.00923651
-29.2794,0.947589,0.155034,4,31,0,35.6182,0.0485159,0.0118812,0.0359341,0.0041095,0.0916801,0.00327582,0.0542851,0.00938161,0.00122946,0.019832,0.0348741,0.00366743,0.0245778,0.0130936,0.065442,0.0387101
-28.9685,0.932672,0.155034,4,15,0,35.5986,0.0202145,0.0304545,0.0152168,0.00499896,0.00803398,0.061005,0.0218596,0.00288382,0.0011512,0.0373458,0.0220437,0.00349677,0.0239439,0.0499176,0.0176815,0.0161289
-29.2644,0.965238,0.155034,4,15,0,36.62,0.0975982,0.00257574,0.0541649,0.0477032,0.152007,0.0295851,0.0240173,0.0968051,0.181443,0.00205178,0.0709713,0.0319341,0.0456572,0.0469578,0.000400456,0.0778721
-29.4995,0.954563,0.155034,4,15,0,36.1433,0.092108,0.00309855,0.112574,0.0983382,0.247564,0.0410458,0.0269306,0.104579,0.0930974,0.00376063,0.094183,0.0183995,0.0484341,0.040776,0.000585091,0.0734916
