# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=1
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/Haemoglobin (g per dL) - 5a_halfnormal_uni - draws_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.125753
# Diagonal elements of inverse mass matrix:
# 1.19852, 1.72967, 2.28559, 2.16196, 2.40049, 2.3341, 2.51222, 2.17854, 2.53881, 2.16686, 2.17034, 2.41247, 2.15549, 2.55595, 2.57917
-20.7036,0.882373,0.125753,4,31,0,25.4219,0.0538418,0.00710541,0.0501001,0.0694338,0.0532506,0.0651591,0.119037,0.0657448,0.0928929,0.0656279,0.0333097,0.00516364,0.0092874,0.0463928,0.0244094,0.0429595
-25.6345,0.861332,0.125753,4,15,0,31.4174,0.0890168,0.00908693,0.11198,0.0573764,0.144358,0.104993,0.0161429,0.0897368,0.00586476,0.072989,0.00985721,0.0525785,0.00845282,0.0310003,0.0329816,0.0710251
-20.1292,0.985911,0.125753,4,15,0,29.2961,0.0419031,0.017623,0.0644354,0.0538728,0.0248557,0.0414865,0.0070335,0.0489373,0.0565643,0.0236638,0.0257619,0.0478143,0.0336098,0.0710127,0.103655,0.0334339
-26.3511,0.911624,0.125753,4,15,0,29.0099,0.0823336,0.0165643,0.0151786,0.0978279,0.0605159,0.0262062,0.00972101,0.0863516,0.0425178,0.126841,0.224139,0.0994427,0.0759337,0.0906933,0.0703263,0.0656927
-25.5439,0.999013,0.125753,4,15,0,34.2732,0.0975643,0.0713588,0.0479096,0.0263348,0.091564,0.00699327,0.00552595,0.114374,0.0512242,0.0394634,0.0136918,0.0538755,0.0207785,0.138358,0.140374,0.0778451
-17.629,0.994804,0.125753,4,15,0,28.0813,0.0890859,0.0171664,0.157789,0.0756346,0.0290461,0.0924719,0.0964163,0.045462,0.148333,0.0961575,0.0778066,0.0670282,0.0421891,0.0544651,0.0431846,0.0710803
-17.2952,0.989419,0.125753,4,15,0,22.414,0.0847087,0.0155638,0.116255,0.0565578,0.0450568,0.138765,0.108049,0.0901729,0.157258,0.106692,0.0692173,0.0705227,0.0444356,0.0893643,0.0274499,0.0675878
-18.5385,0.706051,0.125753,4,15,0,22.7012,0.140619,0.0299628,0.159613,0.038421,0.0974936,0.0956449,0.178834,0.161507,0.140886,0.077874,0.119796,0.108785,0.0524624,0.187203,0.0161622,0.112198
-20.5191,0.972501,0.125753,5,31,0,26.1686,0.0424019,0.0312654,0.0777157,0.00224684,0.0617216,0.0752882,0.0420886,0.0220383,0.0975067,0.0423502,0.0514466,0.0218137,0.0202323,0.052878,0.0734534,0.0338319
-24.5145,1,0.125753,4,31,0,27.0825,0.0365361,0.0493949,0.0613173,0.00201086,0.0533429,0.0324467,0.0478042,0.00455723,0.0548167,0.0653377,0.0159391,0.00183603,0.0237814,0.0708995,0.042183,0.0291516
-22.1997,0.823762,0.125753,4,31,0,30.8141,0.0313948,0.0101107,0.0180007,0.0138354,0.0153352,0.0261446,0.0263612,0.043841,0.0103999,0.00701442,0.0121924,0.0208715,0.024044,0.00651821,0.00924614,0.0250494
-22.7938,0.785614,0.125753,4,15,0,30.0575,0.0658837,0.0545102,0.0296009,0.0353372,0.061015,0.0235496,0.0158674,0.00911252,0.0837117,0.0900184,0.012454,0.0251754,0.0185812,0.0438338,0.019474,0.0525676
-22.8962,0.961608,0.125753,4,15,0,29.3897,0.0735503,0.0116561,0.069053,0.0749231,0.0544843,0.125138,0.156558,0.0025889,0.0721603,0.0229302,0.110126,0.00425978,0.0626219,0.0703517,0.0419205,0.0586847
-21.7493,0.872897,0.125753,4,31,0,29.6528,0.0641889,0.0741625,0.064566,0.0302209,0.0307574,0.0472979,0.0321338,0.050581,0.0963862,0.0809416,0.0240378,0.00236441,0.0157025,0.0923168,0.1134,0.0512154
-24.6055,0.979473,0.125753,4,15,0,29.1045,0.0684992,0.0126878,0.0647164,0.0288777,0.0293,0.0944492,0.0829702,0.0710246,0.0512806,0.0104128,0.0158013,0.00355523,0.107992,0.0342881,0.00599392,0.0546545
-24.6651,0.981255,0.125753,4,15,0,33.4933,0.0477748,0.0130193,0.0291632,0.0188144,0.033491,0.0120619,0.00989402,0.0231293,0.049374,0.0207784,0.0617736,0.0951966,0.00723341,0.0111213,0.00753993,0.0381188
-25.1605,0.975824,0.125753,4,15,0,30.2597,0.0510529,0.0219567,0.0524536,0.0458099,0.0167587,0.0749882,0.0854483,0.0104833,0.00868196,0.00926486,0.0141389,0.00418864,0.0615102,0.00560141,0.0468587,0.0407344
-23.2599,0.940362,0.125753,4,15,0,32.006,0.0662837,0.0284908,0.0159471,0.0787334,0.0961936,0.0484761,0.0371754,0.0120903,0.0158003,0.0322465,0.027112,0.00866717,0.0450717,0.0188019,0.0944301,0.0528868
-23.7485,0.989386,0.125753,5,31,0,28.5428,0.0409412,0.0313108,0.103174,0.0318462,0.0399982,0.0678226,0.0523611,0.00421264,0.0133384,0.0199694,0.0156986,0.00291482,0.0504222,0.0145724,0.0274636,0.0326664
-25.7464,0.93277,0.125753,4,15,0,35.2242,0.0443215,0.0143744,0.0592704,0.0698901,0.0880613,0.041509,0.0880757,0.00384764,0.00292359,0.0180801,0.0115428,0.00757381,0.026836,0.0142956,0.0184677,0.0353635
-22.5906,0.943474,0.125753,4,31,0,30.1712,0.061198,0.0176305,0.0706491,0.0404378,0.043543,0.0798772,0.03315,0.00228728,0.0161797,0.0954249,0.119111,0.0172435,0.0546254,0.0790431,0.0759959,0.0488289
-19.6008,0.971785,0.125753,4,15,0,27.0007,0.0733182,0.033459,0.0349155,0.0689851,0.0407919,0.0951993,0.148714,0.00893685,0.0782303,0.0223853,0.024922,0.0299422,0.0415241,0.0703172,0.0504033,0.0584995
-19.3236,0.984778,0.125753,4,15,0,26.144,0.0793498,0.0339056,0.0703694,0.06267,0.0279419,0.100954,0.133476,0.011825,0.0997396,0.0333813,0.0280332,0.0133973,0.0588745,0.0459176,0.0551945,0.063312
-24.0775,0.841135,0.125753,4,15,0,31.6894,0.140158,0.037558,0.139125,0.0958186,0.0352048,0.0859266,0.0622673,0.02491,0.0223002,0.028583,0.143575,0.0646595,0.0324936,0.0201353,0.175978,0.11183
-21.271,0.973788,0.125753,4,15,0,29.6721,0.0805892,0.0427161,0.0972319,0.078204,0.0395295,0.0552766,0.169518,0.219391,0.0713323,0.0368399,0.0271145,0.072178,0.0625592,0.0355038,0.102533,0.0643009
-17.751,0.997358,0.125753,4,15,0,25.2363,0.101256,0.0409746,0.180285,0.0636653,0.0428249,0.121786,0.148462,0.0513289,0.0947102,0.0656016,0.0267008,0.0645521,0.0520248,0.0578676,0.0957117,0.0807904
-21.1825,0.837824,0.125753,4,15,0,25.2985,0.0573758,0.0484516,0.0230612,0.00606712,0.108518,0.0697721,0.0544478,0.109965,0.0508697,0.024927,0.126485,0.0513781,0.0439368,0.050511,0.0617175,0.0457793
-24.5016,0.970192,0.125753,4,15,0,31.3294,0.149784,0.0449418,0.0310484,0.0320365,0.195669,0.118025,0.285178,0.093376,0.289689,0.0136514,0.0358208,0.0816627,0.0532745,0.0144538,0.0297092,0.11951
-21.8093,0.931917,0.125753,4,31,0,28.9032,0.0642486,0.034755,0.0267882,0.0491924,0.034558,0.0249319,0.0323092,0.0636851,0.0710821,0.131556,0.0942981,0.0406898,0.0544541,0.0090187,0.126285,0.051263
-21.1515,0.996334,0.125753,4,15,0,26.1273,0.081698,0.0436807,0.142962,0.0634504,0.0129582,0.0669586,0.0862659,0.0600466,0.122724,0.015404,0.0447403,0.0645702,0.00420434,0.0249652,0.0312193,0.0651856
-23.2276,0.803318,0.125753,4,15,0,30.6975,0.0804657,0.0436973,0.019669,0.0138478,0.276875,0.0597562,0.0996256,0.0482203,0.044627,0.0288482,0.113436,0.0528208,0.0386354,0.0578124,0.0652518,0.0642024
-25.1274,1,0.125753,4,15,0,34.2942,0.172996,0.0286125,0.0291226,0.0772991,0.0072204,0.031759,0.0727467,0.108124,0.320218,0.117396,0.0370086,0.0861405,0.103411,0.0913629,0.163166,0.138031
-31.0602,0.928169,0.125753,3,7,0,35.2568,0.0999393,0.0179435,0.0271077,0.155192,0.0035837,0.0292397,0.0367304,0.199468,0.111403,0.0672352,0.0384054,0.103286,0.184193,0.209068,0.252352,0.07974
-21.8742,0.806569,0.125753,4,15,0,36.5179,0.0883902,0.0455782,0.0247904,0.0450365,0.00580325,0.0187625,0.141054,0.0321527,0.060383,0.0313314,0.0695587,0.0816472,0.0517432,0.0820129,0.0468352,0.0705252
-23.9784,0.906612,0.125753,4,15,0,29.6588,0.0685623,0.0116172,0.0733702,0.0378592,0.0982779,0.0863442,0.00346703,0.0403453,0.0790268,0.0415895,0.0053369,0.0100375,0.0115613,0.022896,0.0502453,0.0547048
