statname,mean,sd,X2.5.,X25.,X50.,X75.,X97.5,den_below_zero,mean_conditional_on_neg,mean_conditional_on_pos
tau,0.08691397610855488,0.04638697492483622,0.011858765808784286,0.05407141514142238,0.08179808447658626,0.11389252130745728,0.19165639494465656,0,NA,0.08691397610855488
theta[1],0.07192519342845179,0.07256708129815338,0.0014759601508307404,0.02011586404556293,0.050082443514460354,0.1004004354732026,0.26590112739536986,0,NA,0.07192519342845179
theta[2],0.05417139763239998,0.05268330936903368,0.0011325221002702198,0.015603952481387903,0.038708515788551556,0.0762096877632082,0.1945496579357863,0,NA,0.05417139763239998
theta[3],0.0786798068062747,0.07612515777338318,0.0017160059555848158,0.022837682522937157,0.05593907062734074,0.11102375995299932,0.28125379443361076,0,NA,0.0786798068062747
theta[4],0.05583672103122769,0.052058278491316876,0.001286702030567524,0.017026190166406004,0.04086238442017717,0.07920070619537303,0.1934503896660213,0,NA,0.05583672103122769
theta[5],0.05555421009275216,0.05157508489530073,0.0012331832295519192,0.017159881755099634,0.040709869219632024,0.07876587531596757,0.1905219414806963,0,NA,0.05555421009275216
theta[6],0.056631076395373,0.056264674508496516,0.0011589901296964206,0.01606101278977526,0.03968525732227392,0.07888415450569974,0.20748820370247995,0,NA,0.056631076395373
theta[7],0.07260045852899075,0.07228254201012801,0.001458292071279029,0.020847267432205975,0.050959585039469374,0.10148276416647012,0.26454335518669847,0,NA,0.07260045852899075
theta[8],0.06450988912848814,0.06258655343885969,0.0013991763028286986,0.018439548765116658,0.04587391628227754,0.09110143271753672,0.2328920555254294,0,NA,0.06450988912848814
theta[9],0.06540416220347266,0.06453797527092231,0.001406447208120114,0.018699817921763343,0.04598879402136545,0.09143747990334145,0.23809056077718552,0,NA,0.06540416220347266
theta[10],0.06695799430506645,0.0657657567575024,0.0014328803470304004,0.01954365238815609,0.04712790944085052,0.09364959559813622,0.24245740258696138,0,NA,0.06695799430506645
theta[11],0.06239516014838674,0.048817882498520794,0.0016943309757207013,0.023336290672478607,0.05208857987369024,0.09067225647465346,0.1797198660663418,0,NA,0.06239516014838674
theta[12],0.057444134386294074,0.050582319094182385,0.001447457797622329,0.01875242886618375,0.043829185174835986,0.08225182224536973,0.18746079436510166,0,NA,0.057444134386294074
theta[13],0.06633133402368613,0.062131754038011806,0.0014280890687818112,0.02013748805825952,0.048570520777820606,0.09426442109034947,0.22879623420160441,0,NA,0.06633133402368613
theta[14],0.07512593102275117,0.06876477795691455,0.0017133076337321944,0.02336457933568686,0.05583722833296867,0.10709902462209012,0.2554180304342588,0,NA,0.07512593102275117
theta[15],0.06776890092088776,0.06602690420615401,0.0013335663697390703,0.019852918304472,0.04822485758389277,0.09477106772076085,0.24502654242937114,0,NA,0.06776890092088776
theta[16],0.056500835308385934,0.05480140659171779,0.0011969915878401233,0.016410176448189796,0.04028686820217664,0.07959834727153695,0.20117979149140974,0,NA,0.056500835308385934
theta[17],0.07675304187830358,0.07366759917976917,0.0015709973104895134,0.02290017430137954,0.055106142288944907,0.1080868589426636,0.27056418294893014,0,NA,0.07675304187830358
theta[18],0.0498033441917342,0.046413754299102876,0.0010838907475741624,0.015030101335673528,0.03626616238750156,0.07110738273033303,0.17110741567305154,0,NA,0.0498033441917342
theta[19],0.1048326104210499,0.0719203876391458,0.0029492820230013605,0.046401907401674686,0.09537330258217301,0.15200554305012423,0.2652435915590985,0,NA,0.1048326104210499
theta[20],0.046917888891908954,0.04065568889241076,0.00113255440903088,0.01550449365388932,0.036402252080298965,0.06755999742666895,0.14930905051709337,0,NA,0.046917888891908954
theta[21],0.05675633224355946,0.04735813915054191,0.001468347349361162,0.019473266144747536,0.04496137406714022,0.08249238822806246,0.17410537886746968,0,NA,0.05675633224355946
theta[22],0.08614272297517822,0.08617428250448594,0.001739550288053611,0.024556428362304192,0.06022551743447001,0.11994814707678172,0.31516547240088333,0,NA,0.08614272297517822
theta_new,0.06917086732851493,0.06991971811904213,0.00141956970851641,0.01940676178012693,0.048046888865996513,0.09633540966838684,0.25611652630329773,0,NA,0.06917086732851493
mean_effect,0.06934734894261113,0.03701146674600406,0.009461930145081975,0.043142765542674585,0.06526545627080882,0.09087312272076119,0.15291974308838208,0,NA,0.06934734894261113
lp__,-40.655911355501466,4.3254732660972,-50.18542214596679,-43.3233977337349,-40.26418830126278,-37.56260300076438,-33.278371723715864,1,-40.655911355501466,NA
