# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=4
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/Haemoglobin (g per dL) - 6a_skewnormal_uni - draws_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_raw.1,theta_raw.2,theta_raw.3,theta_raw.4,theta_raw.5,theta_raw.6,theta_raw.7,theta_raw.8,theta_raw.9,theta_raw.10,theta_raw.11,theta_raw.12,theta_raw.13,theta_new_raw,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.109797
# Diagonal elements of inverse mass matrix:
# 0.00602997, 1.11401, 0.582061, 0.73085, 0.654504, 0.883906, 0.840368, 0.802546, 0.734915, 0.905899, 0.720152, 0.674653, 0.71204, 0.689923, 0.811589, 0.817087, 86.464
-5.21137,0.629836,0.109797,5,47,0,9.82169,-0.0190918,0.0833638,0.159552,0.307052,0.0316777,1.65892,0.12286,1.42783,0.483503,0.254146,0.477918,0.322111,1.70317,0.298282,0.519168,0.967256,5.11508,-0.00579102,0.00650519,-0.0164511,0.119202,-0.00884976,0.0999378,0.0212148,0.00209476,0.0207492,0.00776051,0.122891,0.00577403,0.024188,0.0615423,0.0461871
-7.67435,0.981846,0.109797,5,31,0,12.7112,0.0234083,0.0161763,0.889421,0.501592,1.09422,0.364441,0.710246,0.0166785,1.00009,0.760216,0.119374,1.40027,0.180876,1.87435,1.16546,0.378405,13.2969,0.0377959,0.0315222,0.0411088,0.0293037,0.0348975,0.0236781,0.0395861,0.0357058,0.0253394,0.0460595,0.0263342,0.0537284,0.0422612,0.0295295,0.0362788
-7.29237,0.940296,0.109797,4,31,0,14.8498,0.00893675,0.0290287,-0.087419,0.607651,0.710091,0.0952023,1.30694,0.7049,0.306317,0.413029,0.429234,1.33671,0.813136,0.91727,1.8563,0.569386,11.4349,0.00639909,0.0265761,0.0295498,0.0117004,0.0468756,0.0293991,0.0178287,0.0209265,0.0213969,0.0477396,0.032541,0.0355639,0.0628229,0.0254653,0.0320103
-7.774,0.991043,0.109797,4,31,0,13.4179,-0.0672797,0.108324,0.786853,1.3089,0.331101,1.71705,-0.0478613,0.410513,0.338944,0.944385,0.320041,-0.566355,0.196098,-0.340242,1.05213,0.300369,2.33188,0.0179557,0.0745056,-0.0314134,0.118719,-0.0724643,-0.0228111,-0.0305638,0.0350203,-0.0326115,-0.12863,-0.0460376,-0.104136,0.0466913,-0.0347424,0.0121547
-5.87613,0.993891,0.109797,4,31,0,15.4383,0.0464569,0.048681,0.38607,0.523301,0.928055,1.29318,0.692176,0.928625,0.0301012,0.0991393,1.34594,0.512599,0.490495,0.557334,0.972488,0.143534,5.66068,0.0652511,0.0719317,0.0916355,0.10941,0.0801527,0.0916632,0.0479222,0.0512831,0.111978,0.0714107,0.0703346,0.0735884,0.0937985,0.0534442,0.0847064
-8.0052,0.981731,0.109797,4,31,0,14.9715,-0.0772511,0.172923,0.35491,0.16603,0.557022,0.452157,0.667702,1.63755,0.514334,0.912398,0.80474,-0.405491,0.99383,-0.398789,0.161803,1.20393,1.64351,-0.0158792,-0.0485408,0.0190706,0.000937183,0.0382098,0.205918,0.0116889,0.0805233,0.0619068,-0.14737,0.0946047,-0.146211,-0.0492718,0.130937,0.0406173
-8.74978,0.614132,0.109797,4,31,0,15.616,-0.0389325,0.14725,0.205808,-0.373417,0.236103,0.955219,0.872572,1.24993,0.594648,0.907096,0.461188,-0.259565,0.64305,-0.417307,0.130745,1.11282,0.642182,-0.00862737,-0.093918,-0.00416632,0.101723,0.0895536,0.14512,0.0486293,0.0946372,0.0289774,-0.0771534,0.0557565,-0.100381,-0.0196803,0.124929,0.024553
-4.83628,0.193911,0.109797,4,15,0,20.3624,-0.0120812,0.158767,0.230292,0.685419,0.807016,0.892042,1.1644,0.606946,0.412405,0.783883,0.412623,-0.0798646,1.15156,0.690463,0.199825,1.40577,5.83188,0.0244816,0.0967408,0.116046,0.129546,0.172787,0.0842818,0.0533952,0.112374,0.0534298,-0.024761,0.170749,0.0975415,0.0196445,0.211109,0.112774
-5.8035,0.996086,0.109797,4,15,0,11.8498,-0.0261035,0.103837,0.678411,0.92439,0.828303,0.5029,1.01916,0.50663,0.35538,1.80946,0.596649,1.40865,1.27125,0.499919,0.86614,1.76994,7.70161,0.0443405,0.0698822,0.0599048,0.026116,0.0797228,0.0265033,0.010798,0.161786,0.0358506,0.120167,0.105899,0.0258064,0.0638336,0.157681,0.0560566
-1.35151,0.976688,0.109797,4,15,0,10.6035,-0.0449032,0.145107,0.13634,1.15001,0.357845,0.192291,0.842658,0.292247,0.314624,1.71481,0.127358,0.495211,0.975725,0.0619958,1.36588,0.00940644,11.9828,-0.0251193,0.121971,0.00702269,-0.0170003,0.0773727,-0.00249601,0.000750994,0.203929,-0.0264226,0.0269555,0.0966816,-0.0359071,0.153296,-0.0435382,0.0704746
-4.09289,0.895196,0.109797,4,15,0,7.5639,-0.0781908,0.140978,0.688212,0.576742,0.284947,0.506227,1.34201,0.634151,0.294714,1.77848,0.30681,0.164212,-0.0337444,0.598635,2.45415,1.03516,5.70518,0.0188322,0.00311738,-0.0380194,-0.00682377,0.111004,0.0112107,-0.0366424,0.172536,-0.0349372,-0.0550404,-0.082948,0.00620381,0.267792,0.067745,0.0326046
-3.38846,0.979336,0.109797,4,15,0,10.3075,-0.0948839,0.13799,0.640459,0.954727,0.310566,0.821186,1.26096,0.579308,0.191741,1.71873,0.363258,0.0308044,0.146838,0.57768,2.1846,1.02142,8.00086,-0.00650667,0.0368593,-0.0520288,0.0184319,0.0791172,-0.0149449,-0.0684254,0.142285,-0.0447577,-0.0906332,-0.0746217,-0.0151696,0.20657,0.0460629,0.0143665
-2.41784,0.947129,0.109797,3,15,0,11.7218,-0.0931179,0.200561,0.506722,1.05925,0.183787,0.770956,1.81302,0.578487,0.140917,1.6489,0.231204,0.0765019,0.163815,0.300072,2.17849,1.22737,5.14524,0.00851068,0.119326,-0.0562574,0.0615056,0.270502,0.0229038,-0.0648555,0.237587,-0.0467475,-0.0777746,-0.060263,-0.0329352,0.343802,0.153045,0.0639671
-1.25755,0.97921,0.109797,4,15,0,7.40086,-0.145212,0.267233,0.559912,0.683526,0.788101,0.333119,1.34516,0.999614,0.956065,1.00121,0.380523,0.93553,0.58245,0.215482,1.358,-0.0477513,9.31109,0.00441512,0.0374488,0.0653946,-0.0561914,0.21426,0.121918,0.11028,0.122345,-0.0435234,0.104792,0.010438,-0.0876278,0.217691,-0.157972,0.0667901
-1.21549,0.796094,0.109797,4,15,0,10.6205,-0.148298,0.263461,0.330996,0.844768,0.869676,0.321622,1.47079,0.923167,0.885186,0.924962,0.315298,0.78684,0.549121,0.176355,1.38176,0.0782196,8.56685,-0.0610938,0.0742648,0.0808271,-0.0635635,0.239198,0.0949199,0.0849135,0.0953929,-0.0652295,0.0590033,-0.00362647,-0.101835,0.215742,-0.12769,0.0604954
-3.2057,0.928293,0.109797,4,15,0,14.8831,-0.116951,0.338435,0.452708,0.623348,0.283746,1.47857,1.1723,0.483598,0.386183,0.95629,0.55758,-0.0071647,1.01154,0.225106,1.04213,1.60982,9.58865,0.0362616,0.094012,-0.0209211,0.383448,0.279797,0.0467157,0.0137471,0.206691,0.071754,-0.119376,0.225388,-0.040767,0.235744,0.42787,0.151625
-2.48995,0.835041,0.109797,4,15,0,12.4718,-0.0885365,0.247188,0.610663,1.02512,0.767832,0.562878,0.764727,1.13464,0.249164,0.904681,0.144776,0.71494,0.0157475,0.638413,1.01462,1.00417,2.02356,0.0624124,0.164861,0.101263,0.0506003,0.100495,0.191934,-0.0269461,0.13509,-0.0527495,0.0881883,-0.0846439,0.0692718,0.162266,0.159683,0.0882792
-1.21763,1,0.109797,4,15,0,8.94739,-0.0600259,0.312756,0.278999,0.957415,0.0679398,1.34738,0.854021,0.278791,0.291432,0.990737,0.294885,0.318076,0.599909,0.324589,0.129571,1.43552,12.6251,0.0272325,0.239411,-0.0387774,0.361374,0.207074,0.0271674,0.0311212,0.249833,0.032201,0.0394541,0.127599,0.0414912,-0.0195017,0.388942,0.188738
-3.63635,0.925866,0.109797,4,15,0,10.6252,0.0232674,0.0800068,0.287945,0.0356095,0.416678,0.0248856,0.118735,0.603408,0.730305,0.36165,0.409398,0.54398,0.277811,0.39564,1.78226,1.01716,10.9739,0.0463049,0.0261164,0.0566044,0.0252584,0.032767,0.0715441,0.0816967,0.0522019,0.056022,0.0667895,0.0454941,0.0549213,0.16586,0.104647,0.0868402
-7.51419,0.90191,0.109797,5,47,0,15.1825,-0.0353767,0.00439924,0.419653,1.1106,0.803193,1.2689,0.531908,0.800674,0.236278,0.345092,0.422896,0.567657,0.753851,0.854599,0.275429,0.470561,9.48833,-0.0335305,-0.0304909,-0.0318432,-0.0297945,-0.0330367,-0.0318543,-0.0343372,-0.0338585,-0.0335162,-0.0328794,-0.0320603,-0.0316171,-0.034165,-0.0333065,-0.0318859
-7.44645,0.988,0.109797,5,47,0,13.2042,-0.184603,0.313257,0.623304,1.32497,-0.239605,0.0339805,0.943698,1.26823,0.206625,1.35807,0.412673,0.336677,0.187958,0.634723,0.888941,0.635253,4.09344,0.0106506,0.230454,-0.259661,-0.173959,0.111016,0.212679,-0.119877,0.240822,-0.0553309,-0.0791369,-0.125724,0.0142278,0.0938633,0.0143939,0.0581992
-9.82284,0.960127,0.109797,4,15,0,18.3145,-0.00774383,0.0480586,0.151705,0.894887,2.33572,2.39604,1.76425,0.3895,1.30202,1.54996,0.149449,0.530818,0.652824,0.346979,1.25995,0.367004,6.47611,-0.000453112,0.0352632,0.104507,0.107407,0.0770436,0.010975,0.0548293,0.0667451,-0.000561513,0.0177665,0.02363,0.00893148,0.0528074,0.00989385,0.0301523
-6.17442,0.966111,0.109797,4,31,0,15.9589,0.0600212,0.01096,0.816657,0.628466,1.45454,1.54935,0.378515,0.700946,0.618938,0.470641,0.790904,0.430066,0.630392,0.277755,0.435567,0.370786,6.95306,0.0689718,0.0669092,0.075963,0.0770021,0.0641698,0.0677036,0.0668048,0.0651795,0.0686895,0.0647348,0.0669303,0.0630654,0.064795,0.064085,0.068677
