# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=7
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/weight (kg) - 5a_halfnormal_uni - draws_7.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,theta.26,theta.27,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.208613
# Diagonal elements of inverse mass matrix:
# 0.0381917, 0.540477, 0.0448642, 1.35584, 0.223656, 0.767044, 0.959934, 1.27236, 1.36069, 1.19477, 0.301974, 1.43947, 1.0543, 0.826095, 0.940771, 1.28825, 0.622101, 1.25967, 1.47637, 1.26412, 0.99207, 0.0988593, 0.346885, 0.959871, 0.178393, 0.828663, 0.549329, 1.15468, 1.13864
-60.3684,0.947059,0.208613,4,15,0,68.6637,0.299407,0.065427,0.791699,0.0926033,0.20355,0.0873806,0.154,0.00749864,0.0450194,0.0882074,0.233027,0.0707725,0.0588005,0.109179,0.0331239,0.00832828,0.225145,0.0885622,0.213953,0.101918,0.250647,0.655984,0.190674,0.0998152,0.11595,0.16743,0.0288172,0.0571788,0.240125,0.238893
-64.5905,0.936241,0.208613,4,15,0,77.5795,0.255744,0.268858,0.587164,0.0208593,0.208789,0.066874,0.13516,0.0199149,0.0330825,0.272757,0.201062,0.0830966,0.078666,0.136446,0.0249527,0.00816714,0.303345,0.321066,0.140124,0.0270336,0.581945,0.63085,0.199653,0.263428,0.141397,0.278245,0.0501205,0.156131,0.691922,0.204054
-58.9714,1,0.208613,4,15,0,74.3523,0.302645,0.108795,0.867674,0.0700072,0.0768073,0.219098,0.101263,0.00579961,0.309779,0.0146842,0.352964,0.207905,0.279326,0.0425201,0.106686,0.0557315,0.320341,0.012355,0.0289965,0.178662,0.137135,0.631481,0.31386,0.0555898,0.373421,0.0859952,0.17836,0.16575,0.0238674,0.241476
-57.4766,0.82714,0.208613,4,15,0,72.2855,0.288774,0.0924315,0.829596,0.0435246,0.232686,0.228848,0.183709,0.106417,0.109719,0.216474,0.314967,0.0177749,0.0366903,0.0740421,0.0111907,0.118836,0.307061,0.362503,0.0322152,0.0327805,0.336338,0.785342,0.17842,0.186225,0.123692,0.133568,0.188417,0.38358,0.141286,0.230408
-52.8862,0.846496,0.208613,4,15,0,81.1506,0.220798,0.210289,0.475646,0.0617927,0.172526,0.203561,0.0473181,0.0349853,0.155892,0.0486149,0.223561,0.0566491,0.278061,0.113848,0.031977,0.0644686,0.285973,0.0210724,0.0570908,0.194005,0.256324,0.581405,0.1811,0.151825,0.33369,0.211607,0.100578,0.139733,0.283136,0.176172
-61.9476,0.767217,0.208613,4,15,0,73.3759,0.188927,0.250279,0.564231,0.0552362,0.0982671,0.127186,0.0520697,0.0702202,0.266385,0.0372465,0.172823,0.0579883,0.137342,0.111382,0.0513,0.0915525,0.368609,0.0215507,0.0281595,0.0652019,0.128879,0.502836,0.345244,0.313112,0.241524,0.116682,0.206424,0.73089,0.21481,0.150742
-63.7769,1,0.208613,4,15,0,73.437,0.223332,0.0668382,0.687961,0.0200092,0.232724,0.208146,0.184957,0.0330982,0.0497977,0.220478,0.13545,0.0864394,0.0918857,0.0414515,0.0394886,0.0984858,0.128761,0.177812,0.0421988,0.00928278,0.442194,0.550286,0.0570844,0.0282816,0.30046,0.108341,0.142377,0.00069618,0.153059,0.178193
-54.3258,0.976391,0.208613,4,15,0,72.3381,0.261828,0.234539,0.605867,0.0743618,0.126609,0.203163,0.0820877,0.0303384,0.344719,0.0305691,0.361989,0.208454,0.236317,0.0124567,0.0941015,0.0969148,0.317346,0.0606627,0.0768677,0.187589,0.101249,0.597358,0.416466,0.233495,0.243484,0.131999,0.148512,0.0924856,0.286113,0.208908
-59.3752,0.954241,0.208613,4,15,0,68.5321,0.335884,0.116614,0.634802,0.0372007,0.231674,0.244332,0.197186,0.00425873,0.0647273,0.260306,0.293406,0.0233934,0.0806291,0.201995,0.0410602,0.109928,0.319067,0.16828,0.126948,0.0240829,0.846863,0.828601,0.0938241,0.13158,0.310162,0.203867,0.198924,0.0768716,0.357236,0.267997
-62.1186,0.939371,0.208613,4,15,0,77.4589,0.320602,0.371793,0.661682,0.0828366,0.0957988,0.264054,0.0984193,0.0163158,0.0205806,0.0981978,0.394126,0.0663853,0.4451,0.0541138,0.0159929,0.0925065,0.51326,0.0425172,0.148044,0.0716886,0.301232,0.668822,0.119841,0.251926,0.461681,0.0907875,0.235191,0.0393401,0.34641,0.255803
