# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=9
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/Haemoglobin (g per dL) - 5a_halfnormal_uni - draws_9.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.114085
# Diagonal elements of inverse mass matrix:
# 1.19931, 1.85654, 2.10875, 2.10557, 2.47682, 2.42503, 2.3383, 2.18011, 2.41762, 2.1547, 2.3138, 2.14679, 2.0935, 2.38104, 2.29484
-22.7349,0.990467,0.114085,4,31,0,29.6528,0.0692197,0.0360121,0.0848207,0.092085,0.0628015,0.0571164,0.0107595,0.0378054,0.0725167,0.0504818,0.0288386,0.000637884,0.0939846,0.0500517,0.0806294,0.0552294
-28.9136,0.911457,0.114085,5,31,0,36.8952,0.07848,0.032744,0.0117643,0.0907589,0.0280395,0.127198,0.055944,0.0841087,0.0174871,0.0683667,0.0654228,0.00142092,0.0939072,0.00733496,0.00391004,0.062618
-30.858,0.96222,0.114085,5,31,0,40.9942,0.0945611,0.0775347,0.0709436,0.00363527,0.138933,0.174673,0.0884825,0.00852026,0.255103,0.154403,0.180783,0.00208512,0.00280389,0.0583975,0.0231881,0.0754488
-28.8162,0.972091,0.114085,4,31,0,39.2766,0.105411,0.0295252,0.198566,0.00275956,0.265347,0.0550948,0.0686212,0.00294114,0.115414,0.0629909,0.0786866,0.0211283,0.0359794,0.289207,0.00663603,0.0841055
-26.948,0.969617,0.114085,5,31,0,34.4438,0.038941,0.023281,0.0655929,0.000827333,0.10221,0.0129762,0.0142933,0.0371193,0.0925015,0.0317728,0.0515637,0.0138413,0.0251077,0.121651,0.024988,0.0310705
-25.6195,0.25318,0.114085,4,15,0,36.3186,0.0842623,0.0690061,0.179109,0.000613092,0.0188255,0.0150471,0.0815027,0.0274024,0.103766,0.0581495,0.0339982,0.0447361,0.0417397,0.0200516,0.0530667,0.0672316
