# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=6
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/mid-upper arm circumference (cm) - 5a_halfnormal_uni - draws_6.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.251072
# Diagonal elements of inverse mass matrix:
# 0.169344, 1.87157, 1.29138, 1.10595, 0.773536, 0.563778, 0.0319024, 0.782075, 1.50564
-15.9078,0.95257,0.251072,4,15,0,20.2823,0.37844,0.0233787,0.0463438,0.161508,0.8295,0.10648,0.394029,0.195146,0.394631,0.301952
-17.3162,0.98313,0.251072,3,7,0,20.1227,0.435726,0.025746,0.102337,0.347016,0.55944,0.249713,0.423951,0.0835779,0.344907,0.347659
-17.1851,0.99066,0.251072,3,7,0,21.9064,0.332528,0.045816,0.139095,0.134968,0.364546,0.0397501,0.417603,0.164055,0.0313231,0.265319
-15.6644,0.988345,0.251072,3,7,0,20.8592,0.352068,0.0928432,0.0865421,0.35394,0.601116,0.170507,0.420895,0.121652,0.0715501,0.28091
-16.5077,0.851086,0.251072,4,15,0,21.5132,0.288279,0.158538,0.161769,0.0880609,0.455272,0.14857,0.322574,0.0839053,0.0490921,0.230013
-22.0265,0.835354,0.251072,4,15,0,24.6319,0.240587,0.00307212,0.149827,0.305146,0.382115,0.0775124,0.522435,0.074517,0.00433664,0.191961
-21.1867,0.995546,0.251072,3,15,0,27.0507,0.506149,0.247864,0.244806,0.0954575,0.942777,0.120651,0.360035,0.140349,0.0120632,0.403848
-20.6742,0.924877,0.251072,3,15,0,28.4987,0.329541,0.0229063,0.050901,0.0820366,0.37276,0.162452,0.338331,0.0288274,0.00521366,0.262936
-19.0065,0.905366,0.251072,3,7,0,24.8783,0.17622,0.0771966,0.278719,0.124752,0.224818,0.0737365,0.339228,0.0451393,0.00380821,0.140604
-21.7535,0.888513,0.251072,4,15,0,24.6294,0.21434,0.00393,0.00947288,0.185601,0.0949922,0.164885,0.307721,0.184756,0.507115,0.171018
