# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=7
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/weight (kg) - 6a_skewnormal_uni - draws_7.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_raw.1,theta_raw.2,theta_raw.3,theta_raw.4,theta_raw.5,theta_raw.6,theta_raw.7,theta_raw.8,theta_raw.9,theta_raw.10,theta_raw.11,theta_raw.12,theta_raw.13,theta_raw.14,theta_raw.15,theta_raw.16,theta_raw.17,theta_raw.18,theta_raw.19,theta_raw.20,theta_raw.21,theta_raw.22,theta_raw.23,theta_raw.24,theta_raw.25,theta_raw.26,theta_raw.27,theta_new_raw,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,theta.26,theta.27,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.172686
# Diagonal elements of inverse mass matrix:
# 0.00535138, 0.0570424, 0.0676735, 0.244736, 0.0362846, 0.0472588, 0.123389, 0.0785167, 0.0602872, 0.165529, 0.0860654, 0.125648, 0.116271, 0.115302, 0.0365503, 0.0329031, 0.0897756, 0.201251, 0.0818243, 0.0945448, 0.0525877, 0.395421, 0.24365, 0.0840174, 0.107329, 0.0820502, 0.077928, 0.0669244, 0.283632, 0.357102, 29.3316
-27.7905,0.78619,0.172686,4,15,0,38.6142,-0.000315418,0.268602,0.132984,2.20674,0.242688,0.213682,0.581593,0.490078,-0.257435,0.960139,0.3173,0.529401,0.0985782,1.22379,0.425312,0.377696,-0.351001,0.484599,0.493239,-0.0695448,0.115859,1.94769,2.00966,0.531163,0.90924,1.27486,0.322131,1.14713,-0.178744,0.430938,6.57281,0.0354044,0.59242,0.064871,0.0570799,0.155902,0.131321,-0.069463,0.25758,0.084912,0.141883,0.0261629,0.328397,0.113924,0.101134,-0.0945949,0.129849,0.13217,-0.0189953,0.0308045,0.522838,0.539482,0.142356,0.243908,0.342113,0.0862097,0.307806,-0.0483264,0.115435,0.21156
-18.258,0.524235,0.172686,4,15,0,38.3441,-0.0646897,0.315902,0.264471,2.39977,0.170862,0.439373,1.08898,0.455317,-0.364583,0.661562,0.132342,0.655229,0.243246,1.10763,0.387087,0.473846,0.660605,0.405565,0.16366,-0.166999,-0.0280642,1.55881,2.05416,0.422463,0.545629,1.17688,0.505653,1.01274,0.736319,-0.294856,3.00938,0.0188573,0.693403,-0.0107141,0.0741093,0.27932,0.0791459,-0.179862,0.144299,-0.0228827,0.142298,0.0121521,0.285214,0.0575919,0.0849992,0.143997,0.0634293,-0.0129891,-0.117445,-0.0735552,0.427741,0.584223,0.0687674,0.107676,0.307089,0.0950472,0.255236,0.167915,-0.157835,0.174504
-13.6549,0.94511,0.172686,5,31,0,34.1537,-0.157468,0.45292,0.495231,2.43537,0.118518,0.549197,0.411237,0.578109,-0.156953,1.0045,0.247214,0.778839,0.380455,1.14871,0.192559,0.436898,0.207406,1.47573,0.582951,0.09895,0.168844,1.44978,1.44099,0.866962,0.594483,1.03361,0.474157,0.58355,2.33724,0.846034,4.84999,0.066832,0.945558,-0.103789,0.0912739,0.0287895,0.104369,-0.228555,0.297492,-0.0455001,0.195283,0.0148475,0.362806,-0.0702544,0.0404116,-0.0635296,0.51092,0.106562,-0.112652,-0.0809952,0.499165,0.495185,0.235196,0.111785,0.310674,0.057287,0.106833,0.901114,0.225718,0.196465
-10.6338,1,0.172686,4,15,0,23.274,-0.0577471,0.342974,0.531581,2.40972,0.389141,0.851564,0.654029,0.197399,0.217903,0.42503,0.327899,1.30977,0.248482,0.824713,0.655999,0.2054,0.0606094,0.350889,0.0673544,0.148408,0.37982,0.756427,2.86259,0.707473,0.389567,0.74618,0.530364,0.848843,0.147211,0.261392,14.3748,0.124571,0.768724,0.0757183,0.234317,0.166568,0.00995559,0.0169882,0.0880274,0.0547137,0.391472,0.0274758,0.225108,0.167244,0.0126998,-0.0369596,0.0625989,-0.0346463,-0.00684706,0.0725213,0.201688,0.924049,0.184898,0.0758645,0.198174,0.124154,0.233384,-0.00725738,0.0319037,0.215247
-8.67136,0.69486,0.172686,4,31,0,31.2206,-0.059753,0.447686,0.487225,2.17166,-0.0265377,0.481938,0.785603,0.290312,-0.0506891,0.100101,0.108394,0.742271,0.316525,0.335769,0.300031,0.419028,0.315483,0.748306,0.454372,0.378728,0.374859,1.49579,1.56065,0.727956,0.973662,1.0572,0.278032,0.620076,1.05184,0.27609,13.1706,0.158371,0.912468,-0.0716335,0.156004,0.291951,0.0702156,-0.0824457,-0.0149391,-0.0112264,0.272551,0.0819506,0.0905662,0.0745666,0.12784,0.0814844,0.275253,0.143663,0.109798,0.108066,0.609889,0.638929,0.266142,0.376142,0.413541,0.0647179,0.217846,0.411139,0.0638487,0.296424
-12.4969,0.951297,0.172686,5,31,0,24.3867,-0.238602,0.450846,0.987187,2.68802,0.428944,0.938862,1.01699,0.386298,-0.0446204,0.348263,0.706995,1.09309,0.746546,1.22646,0.646856,0.823483,-0.103983,1.43106,0.700183,0.43444,0.856071,0.671724,2.40248,1.06877,1.35911,1.46146,0.554574,0.974133,0.847938,0.367155,4.01863,0.206468,0.973281,-0.045214,0.18468,0.219903,-0.0644409,-0.258719,-0.0815889,0.080144,0.254211,0.0979756,0.314344,0.0530307,0.132662,-0.285482,0.406584,0.077073,-0.0427363,0.147354,0.0642425,0.844546,0.243249,0.374149,0.42029,0.0114256,0.200582,0.143688,-0.0730712,0.110476
