# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=2
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/Haemoglobin (g per dL) - 6a_skewnormal_uni - draws_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_raw.1,theta_raw.2,theta_raw.3,theta_raw.4,theta_raw.5,theta_raw.6,theta_raw.7,theta_raw.8,theta_raw.9,theta_raw.10,theta_raw.11,theta_raw.12,theta_raw.13,theta_new_raw,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.117272
# Diagonal elements of inverse mass matrix:
# 0.00643624, 1.39445, 0.779448, 0.851527, 0.767093, 0.929437, 0.932585, 0.900309, 0.847669, 0.977745, 0.84982, 0.844732, 0.771466, 0.844894, 0.973055, 1.00069, 96.3268
-9.94653,0.981177,0.117272,4,31,0,20.0013,0.0826981,0.0205065,-1.91854,-0.871389,0.0336061,-0.00768673,-0.227314,-0.691052,0.0210155,0.0296697,-0.915557,0.037479,-1.16318,-0.127917,-0.378505,-1.12828,-10.9347,0.0433555,0.0648289,0.0833872,0.0825405,0.0780367,0.068527,0.083129,0.0833065,0.0639232,0.0834666,0.0588454,0.080075,0.0749363,0.059561,0.0664042
-14.0664,0.880383,0.117272,4,31,0,22.4499,-0.00764465,0.021605,-2.47452,-1.03529,-0.698507,-1.12111,-0.836026,-1.32205,-0.690062,-1.24635,-2.03746,-0.851546,-0.647061,-0.972871,-0.710053,-0.0408002,-13.307,-0.0611065,-0.030012,-0.0227359,-0.0318662,-0.025707,-0.0362076,-0.0225534,-0.034572,-0.0516639,-0.0260423,-0.0216244,-0.0286635,-0.0229853,-0.00852614,-0.0248345
-12.7355,0.915619,0.117272,4,31,0,18.8124,0.102251,0.012863,-2.06027,-0.273827,-0.00221916,-0.953546,-0.308515,-0.330374,-1.32643,-0.697368,-2.29886,-0.621702,-0.890204,-0.820352,-1.19142,-0.992159,-2.26155,0.0757495,0.0987285,0.102222,0.0899853,0.0982823,0.0980011,0.0851889,0.0932805,0.0726806,0.0942538,0.0908,0.0916985,0.0869255,0.0894886,0.0928642
-12.237,0.167935,0.117272,3,7,0,22.5002,0.104762,0.0147731,-2.15864,-0.396914,0.0354888,-0.905925,-0.414372,-0.434168,-1.41826,-0.708914,-2.2462,-0.70136,-0.908328,-0.764413,-1.3751,-0.85623,-5.87795,0.0728726,0.0988987,0.105287,0.091379,0.0986408,0.0983483,0.0838102,0.0942895,0.071579,0.0944011,0.0913435,0.0934696,0.0844479,0.0921132,0.0931421
-12.4627,0.959069,0.117272,4,31,0,18.7819,0.0802586,0.00827849,-2.2787,-0.294404,-0.152844,-1.00079,0.166357,-0.825152,-1.2068,-0.641534,-2.0962,-0.502176,-1.24143,-0.715728,-1.06667,-1.01887,-3.43645,0.0613944,0.0778214,0.0789933,0.0719735,0.0816358,0.0734276,0.0702681,0.0749477,0.0629052,0.0761013,0.0699814,0.0743334,0.0714282,0.0718238,0.0739164
-8.13201,0.979847,0.117272,4,15,0,21.0285,-0.000813984,0.0265693,-1.60243,-0.313971,-0.839974,-0.811248,-0.829308,-0.450553,-1.22732,-1.44122,-0.328787,-0.196964,-0.768565,-0.206876,0.0379732,-0.214081,-3.69296,-0.0433894,-0.00915599,-0.0231315,-0.0223683,-0.0228481,-0.0127849,-0.0334231,-0.0391062,-0.00954963,-0.00604719,-0.0212342,-0.00631055,0.000194939,-0.00650198,-0.0212763
-3.5771,0.975246,0.117272,4,15,0,13.5155,0.0966553,0.059409,-0.845393,-0.0964629,-0.182436,-1.16852,-0.457354,-0.261681,-0.576618,-0.205166,-0.186306,-0.557844,-0.36251,-0.456926,-0.721613,-0.338539,-20.881,0.0464313,0.0909245,0.0858169,0.0272347,0.0694844,0.0811091,0.062399,0.0844666,0.085587,0.0635144,0.0751189,0.0695098,0.053785,0.076543,0.049308
-5.0093,0.21259,0.117272,4,15,0,11.3854,0.1095,0.083378,-1.02561,-0.0745988,-0.166276,-1.05787,-0.640591,-0.0573924,-0.878916,0.0396813,-0.0806242,-0.564747,-0.179214,-0.42395,-0.424155,-0.230286,-22.5601,0.0239862,0.10328,0.0956358,0.0212962,0.0560884,0.104714,0.0362173,0.112808,0.102777,0.0624121,0.0945571,0.0741515,0.0741344,0.0902988,0.0430388
-4.63378,0.428571,0.117272,3,7,0,11.4223,0.112291,0.0763106,-1.19814,-0.912844,-0.171658,-0.890216,-0.74382,-0.158996,-1.16848,-0.347609,-0.189506,-0.33506,-0.278318,-0.388717,-0.45525,-0.778157,-20.2592,0.0208605,0.0426314,0.0991918,0.0443581,0.0555297,0.100158,0.0231237,0.0857648,0.0978297,0.0867224,0.0910525,0.0826278,0.0775507,0.0529095,0.051478
-6.1587,0.479812,0.117272,4,15,0,13.526,0.071228,0.0750487,-1.48153,-0.364645,-0.181431,-0.783436,-0.934793,-0.363072,-1.26528,-0.752214,-0.292932,-0.528793,-0.555337,-0.112054,-0.289831,-0.727305,-24.9864,-0.0399588,0.0438619,0.0576119,0.0124322,0.00107304,0.0439799,-0.0237295,0.0147753,0.0492439,0.0315428,0.0295507,0.0628185,0.0494766,0.0166447,0.0113957
-3.52276,0.808431,0.117272,4,15,0,12.5125,0.133118,0.11172,-1.37884,-0.29347,-1.33059,-0.286282,-0.393475,-0.261863,-1.10983,0.0383757,-0.51456,-1.35493,-0.149259,-1.46615,-0.464784,-1.6493,-5.95409,-0.0209264,0.100332,-0.0155361,0.101135,0.089159,0.103863,0.00912694,0.137406,0.0756313,-0.0182555,0.116443,-0.0306811,0.0811923,-0.0511428,0.0452093
