# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=4
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/weight (kg) - 5a_halfnormal_uni - draws_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,theta.26,theta.27,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.231355
# Diagonal elements of inverse mass matrix:
# 0.0374098, 0.595787, 0.0436784, 1.49786, 0.229698, 0.748352, 1.31991, 1.74834, 1.27385, 1.34939, 0.297713, 1.20095, 1.10485, 0.963998, 0.952663, 1.46195, 0.471181, 1.42591, 1.40544, 1.08465, 1.01371, 0.0966332, 0.309813, 1.14963, 0.14445, 0.762036, 0.489545, 1.14339, 1.33559
-61.6243,0.993342,0.231355,4,15,0,80.2499,0.211772,0.22465,0.443827,0.106854,0.15403,0.0952119,0.0549522,0.00332,0.0443446,0.086045,0.248377,0.0470106,0.108812,0.143835,0.0590089,0.0225945,0.292787,0.305642,0.026114,0.0627785,0.0707622,0.493168,0.326188,0.158231,0.331847,0.0225821,0.26937,0.308661,0.27869,0.168969
-55.691,0.989635,0.231355,4,15,0,71.085,0.254069,0.128684,0.909178,0.0389054,0.131202,0.177665,0.0498077,0.00194744,0.0528672,0.093599,0.261117,0.0723453,0.0396682,0.112104,0.056689,0.0632185,0.232395,0.0236977,0.015234,0.161897,0.208101,0.570368,0.224194,0.168348,0.26344,0.162963,0.1865,0.0407473,0.38731,0.202717
-55.3883,0.963636,0.231355,4,15,0,65.9883,0.288343,0.139977,0.503935,0.112972,0.23936,0.213672,0.0913783,0.0225587,0.0567765,0.0946625,0.308355,0.0805977,0.0223751,0.116211,0.0592911,0.177588,0.310138,0.0518323,0.322702,0.0268315,0.281795,0.837936,0.304169,0.187514,0.37094,0.179154,0.194942,0.139966,0.308522,0.230065
-59.9764,0.801927,0.231355,4,15,0,76.6444,0.303963,0.198565,0.772492,0.00779906,0.132809,0.0657857,0.0200893,0.110776,0.242172,0.0702949,0.161223,0.01894,0.350512,0.0533656,0.0789284,0.0618857,0.157385,0.126201,0.0148312,0.175187,0.376921,0.492754,0.112178,0.0726019,0.232176,0.085061,0.170206,0.30735,0.112037,0.242527
-54.9342,0.988142,0.231355,4,15,0,71.1359,0.248451,0.152407,0.68813,0.0225877,0.183048,0.27533,0.0960798,0.0171869,0.122508,0.0980061,0.449565,0.0275352,0.056729,0.00677551,0.0175765,0.0861938,0.168925,0.0263843,0.10975,0.027961,0.240982,0.683783,0.244924,0.230732,0.327179,0.215235,0.148182,0.146137,0.319134,0.198236
-54.3136,0.960117,0.231355,4,15,0,63.8634,0.302465,0.209982,0.824447,0.0107106,0.171018,0.122141,0.173946,0.0597134,0.237851,0.152078,0.174763,0.227963,0.342346,0.221532,0.0286669,0.118812,0.387247,0.149726,0.0387886,0.103113,0.315225,0.584385,0.181021,0.124383,0.162684,0.0805545,0.196074,0.392901,0.141396,0.241332
