# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=9
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/Haemoglobin (g per dL) - 6a_skewnormal_uni - draws_9.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_raw.1,theta_raw.2,theta_raw.3,theta_raw.4,theta_raw.5,theta_raw.6,theta_raw.7,theta_raw.8,theta_raw.9,theta_raw.10,theta_raw.11,theta_raw.12,theta_raw.13,theta_new_raw,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.0949077
# Diagonal elements of inverse mass matrix:
# 0.00753582, 0.996953, 0.701868, 0.8966, 0.764417, 0.94778, 0.962014, 1.00242, 0.825614, 1.02243, 0.874077, 0.841535, 0.830767, 0.821704, 0.975732, 0.976648, 102.528
-9.95846,0.654758,0.0949077,4,15,0,17.3716,0.0162144,0.0356923,0.627457,0.632061,0.110179,1.30033,0.579749,0.404302,0.441882,2.02848,0.40688,0.490856,1.91942,0.130147,1.92505,0.986471,25.5958,0.0386098,0.0387741,0.0201469,0.0626262,0.036907,0.0306449,0.0319862,0.0886154,0.0307369,0.0337342,0.0847228,0.0208596,0.0849237,0.0514238,0.044671
-7.78489,0.486743,0.0949077,5,31,0,19.2441,-0.0109864,0.0270301,0.377181,-0.02675,0.129724,1.5001,0.161656,0.199606,0.339743,1.66638,0.641323,1.29893,1.27409,0.0977346,1.10904,1.01946,15.8831,-0.000791186,-0.0117095,-0.00747997,0.0295615,-0.00661684,-0.00559105,-0.00180314,0.0340561,0.00634861,0.0241238,0.0234523,-0.00834465,0.0189911,0.0165696,0.0105379
-8.70781,0.941361,0.0949077,4,31,0,15.2538,0.024754,0.0259222,0.0657287,1.2429,0.318529,0.938032,1.06996,0.751838,0.449029,0.64603,1.69477,2.17141,0.888971,0.371182,1.76407,0.703998,10.062,0.0264579,0.0569728,0.033011,0.0490698,0.0524897,0.0442433,0.0363938,0.0415005,0.0686861,0.0810417,0.0477981,0.0343759,0.0704825,0.0430032,0.0453355
-6.29285,0.996361,0.0949077,5,31,0,15.825,-0.0221988,0.0566543,0.720497,0.259186,1.43236,0.290271,0.934327,2.12456,0.222103,0.738101,-0.118796,0.199253,1.04433,0.218101,0.698338,0.144127,9.67865,0.0186205,-0.00751474,0.0589504,-0.00575363,0.0307349,0.0981667,-0.0096157,0.0196178,-0.0289291,-0.0109102,0.0369668,-0.00984241,0.0173651,-0.0140334,0.0227655
-6.27431,0.918503,0.0949077,4,15,0,15.6974,-0.00360395,0.0263286,0.0449293,1.12426,0.386537,0.852561,0.607302,1.34072,0.589606,0.834256,1.68524,1.06102,0.0259609,0.481772,0.5413,0.699273,15.5374,-0.00242102,0.0259964,0.00657305,0.0188428,0.0123855,0.0316953,0.0119196,0.0183609,0.0407663,0.0243314,-0.00292044,0.00908044,0.0106477,0.014807,0.0173599
-7.71972,0.767127,0.0949077,5,31,0,15.2658,-0.00217703,0.0679026,0.35906,0.492202,0.185579,0.158457,0.390641,-0.0209376,1.36049,1.12266,1.26646,0.383557,0.389447,-0.0128372,1.35671,0.561891,25.7589,0.0222041,0.0312448,0.0104243,0.0085826,0.0243485,-0.00359875,0.0902038,0.0740547,0.083819,0.0238675,0.0242675,-0.00304871,0.0899473,0.0359768,0.0519607
-7.90113,0.955357,0.0949077,4,15,0,14.5706,-0.036179,0.134433,0.311038,0.389252,0.671259,0.672343,0.285537,1.52548,0.18135,0.881173,1.337,1.94573,0.793581,0.866867,0.879807,0.883418,2.59066,0.00563486,0.0161494,0.0540606,0.0542063,0.00220663,0.168896,-0.0117995,0.0822799,0.143558,0.225391,0.0705046,0.0803567,0.0820962,0.0825818,0.0638872
-5.93382,0.752906,0.0949077,5,31,0,17.5259,-0.0157826,0.0842741,0.727257,0.890721,0.42404,0.657487,0.589823,1.12733,0.521808,1.09681,0.587803,2.10477,1.01978,0.833089,0.922359,1.11649,7.01164,0.0455063,0.0592822,0.019953,0.0396265,0.0339242,0.0792221,0.0281923,0.0766501,0.033754,0.161595,0.0701582,0.0544252,0.0619484,0.0783083,0.0507848
-7.14722,0.941782,0.0949077,4,31,0,12.9712,-0.0231946,0.0552623,0.5891,0.791225,0.386145,0.233875,2.0905,0.709228,1.34228,0.546088,0.450085,0.507093,0.258745,-0.0218741,0.59341,2.44672,7.47107,0.00936038,0.0205303,-0.00185536,-0.0102702,0.0923314,0.0159989,0.0509827,0.00698347,0.00167808,0.00482848,-0.00889579,-0.0244034,0.00959855,0.112017,0.0205086
-12.1236,0.842982,0.0949077,5,31,0,19.333,0.0108379,0.0358955,0.351961,0.139288,-0.140195,0.178098,2.53519,-0.0415966,0.142024,1.32923,0.889969,-0.0785947,0.147386,0.659135,-0.204275,2.13873,2.31269,0.0234717,0.0158377,0.00580547,0.0172308,0.10184,0.00934473,0.0159359,0.0585514,0.0427838,0.00801666,0.0161284,0.0344979,0.00350529,0.0876088,0.0371261
-10.2175,0.642531,0.0949077,5,31,0,21.1915,-0.0239798,0.0350559,0.110657,1.00015,1.06393,0.881471,-0.318103,0.941439,0.735104,0.0680867,0.0494784,0.787912,0.8063,0.827701,1.18096,-0.17814,5.51596,-0.0201006,0.0110813,0.0133171,0.00692098,-0.0351312,0.00902319,0.00178993,-0.021593,-0.0222453,0.00364118,0.00428579,0.00503601,0.0174198,-0.0302247,0.00354216
