# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=1
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/mid-upper arm circumference (cm) - 5a_halfnormal_uni - draws_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.297746
# Diagonal elements of inverse mass matrix:
# 0.166795, 1.54848, 1.1721, 1.10349, 0.718935, 0.643432, 0.0317999, 0.962709, 1.50416
-22.8544,0.908013,0.297746,3,7,0,27.5223,1.15754,0.0593055,0.0145812,0.0700036,0.724506,0.214599,0.352773,0.0657395,0.860177,0.923585
-21.178,1,0.297746,4,15,0,26.4711,0.827691,0.0497794,0.625559,0.323308,1.13301,0.0457534,0.447478,0.148033,0.744067,0.660402
-14.6447,1,0.297746,3,15,0,21.9527,0.339798,0.0915274,0.0491433,0.163026,0.408396,0.156535,0.425786,0.0995861,0.473482,0.27112
-14.6318,0.946628,0.297746,4,15,0,16.8319,0.188177,0.0401451,0.0948996,0.148922,0.242941,0.118528,0.324962,0.090841,0.0484034,0.150144
-18.6271,0.899344,0.297746,3,7,0,20.3654,0.142249,0.0335454,0.289523,0.0326646,0.246038,0.0473342,0.371044,0.133451,0.0637755,0.113498
-20.4242,0.975114,0.297746,3,7,0,23.181,0.227832,0.0531639,0.0622725,0.0176442,0.111382,0.206068,0.309012,0.0969494,0.0295617,0.181784
-22.7372,0.856865,0.297746,3,15,0,25.6133,0.186861,0.0229773,0.102651,0.00221121,0.672882,0.0438468,0.423419,0.132167,0.113978,0.149094
-19.1196,0.216618,0.297746,2,3,0,27.1788,0.241648,0.0201082,0.132568,0.00232451,0.302428,0.0511542,0.42057,0.0951926,0.11619,0.192807
-15.4456,0.975382,0.297746,4,15,0,20.9083,0.330297,0.0345588,0.20394,0.0220364,0.548226,0.125882,0.410544,0.110432,0.561192,0.263539
-17.9873,0.746806,0.297746,3,7,0,22.2362,0.743768,0.099667,0.188024,0.349164,0.911951,0.0946995,0.326583,0.061182,0.270066,0.593441
-18.4379,0.94196,0.297746,4,15,0,23.1729,0.184466,0.0282666,0.0327113,0.0969379,0.0604321,0.0477471,0.351127,0.183887,0.236251,0.147182
-19.8897,0.999278,0.297746,4,15,0,22.0143,0.162606,0.0722623,0.216927,0.0447593,0.0309731,0.180434,0.319754,0.0338564,0.0653053,0.129741
-17.2535,0.840201,0.297746,3,7,0,23.3281,0.132292,0.0141188,0.0704951,0.0990934,0.0364379,0.0965678,0.343612,0.12004,0.119117,0.105554
-15.4777,0.957626,0.297746,4,15,0,21.2101,0.201054,0.0112448,0.123774,0.10319,0.481957,0.17112,0.357983,0.14304,0.273724,0.160418
-21.1291,0.589627,0.297746,3,15,0,23.4086,0.259568,0.0134416,0.172861,0.283528,0.0275737,0.0382973,0.354267,0.0225232,0.146531,0.207105
