# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=10
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/height (cm) - 6a_skewnormal_uni - draws_10.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_raw.1,theta_raw.2,theta_raw.3,theta_raw.4,theta_raw.5,theta_raw.6,theta_raw.7,theta_raw.8,theta_raw.9,theta_raw.10,theta_raw.11,theta_raw.12,theta_raw.13,theta_raw.14,theta_raw.15,theta_raw.16,theta_raw.17,theta_raw.18,theta_raw.19,theta_raw.20,theta_raw.21,theta_raw.22,theta_new_raw,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.1164
# Diagonal elements of inverse mass matrix:
# 0.00588839, 1.37934, 0.531101, 0.408226, 0.51754, 0.474195, 0.429903, 0.456512, 0.589895, 0.478897, 0.511503, 0.500255, 0.386594, 0.409786, 0.50416, 0.503478, 0.515544, 0.434293, 0.553006, 0.418068, 0.520249, 0.365628, 0.368298, 0.590667, 0.512556, 37.0774
-10.7802,0.991509,0.1164,5,31,0,22.6991,-0.143533,0.263861,1.43437,0.163957,0.0926402,0.197471,0.248995,0.0698523,-0.169058,0.164142,1.30483,0.553727,0.961482,0.989794,1.4939,0.477018,0.338816,0.844865,0.522683,0.549415,1.17244,0.194882,1.56621,0.679156,1.50237,4.61631,0.234942,-0.100271,-0.119088,-0.0914277,-0.0778325,-0.125101,-0.18814,-0.100222,0.200761,0.00257429,0.110165,0.117635,0.25065,-0.0176661,-0.0541323,0.0793942,-0.005617,0.00143669,0.165829,-0.0921107,0.26973,0.0356702,0.252885,0.0622257
-15.0198,0.588253,0.1164,5,31,0,24.4095,-0.00951948,0.0095775,1.37134,0.412285,1.3093,0.367256,0.328707,0.622872,2.31996,0.641769,0.381616,0.506137,0.901169,0.00283043,2.61529,0.30901,0.557094,0.0888133,0.862334,0.443648,0.836156,0.436028,1.15301,0.218025,0.462736,6.57522,0.00361449,-0.00557082,0.0030203,-0.00600209,-0.00637129,-0.00355392,0.0127,-0.00337294,-0.00586456,-0.00467195,-0.000888532,-0.00949237,0.0155284,-0.00655994,-0.00418391,-0.00866887,-0.00126048,-0.00527044,-0.00151119,-0.00534342,0.00152352,-0.00743135,-0.00508763,-0.00196461
-14.6267,0.983055,0.1164,4,15,0,23.5631,0.0618212,0.0134914,1.27113,0.4685,1.23735,1.38656,0.0756109,0.644686,1.73322,0.14048,0.629414,0.563588,0.901065,0.206654,2.37451,-0.0817964,0.259325,-0.159414,1.15199,0.504499,0.907296,0.153825,1.069,0.383968,0.776734,3.14297,0.0789705,0.0681419,0.0785148,0.0805278,0.0628413,0.0705189,0.0852047,0.0637165,0.0703129,0.0694248,0.0739778,0.0646092,0.0938567,0.0607176,0.0653198,0.0596705,0.0773631,0.0686276,0.0740619,0.0638965,0.0762435,0.0670015,0.0723004,0.0720791
-14.7256,0.976987,0.1164,5,31,0,26.0295,0.108657,0.00379447,0.135718,0.579987,0.084648,0.746289,1.13671,0.476428,0.426255,1.41712,0.367912,0.990991,1.31344,0.585489,-0.0641412,1.39474,0.366086,2.18273,0.189526,0.60387,0.723454,0.889908,1.40299,0.368554,1.25928,11.6246,0.109172,0.110857,0.108978,0.111488,0.11297,0.110464,0.110274,0.114034,0.110053,0.112417,0.11364,0.110878,0.108413,0.113949,0.110046,0.116939,0.109376,0.110948,0.111402,0.112033,0.11398,0.110055,0.113435,0.111673
-15.5271,0.977686,0.1164,5,31,0,26.4379,0.0347612,0.0041047,0.326123,0.159345,0.704379,0.0213402,-0.0377419,0.223177,1.98726,0.428914,1.03399,0.0694909,2.25944,0.0825979,1.36309,1.59828,0.659605,1.2832,0.750464,0.174213,0.0537715,1.03539,1.30994,0.151497,0.284474,10.3357,0.0360999,0.0354153,0.0376525,0.0348488,0.0346063,0.0356773,0.0429183,0.0365218,0.0390054,0.0350465,0.0440355,0.0351003,0.0403563,0.0413217,0.0374687,0.0400284,0.0378416,0.0354763,0.0349819,0.0390112,0.0401381,0.0353831,0.0359289,0.0380211
-11.4284,0.949244,0.1164,5,31,0,24.1224,0.0756702,0.0851392,0.16906,1.09635,0.0859584,1.55281,1.12221,0.271657,0.949029,1.11706,1.29292,0.642574,-0.0168971,0.509823,0.120664,0.920384,1.11815,0.902325,0.095419,0.770886,1.00216,-0.0401181,0.90209,0.383706,1.03959,10.0853,0.0900638,0.169013,0.0829887,0.207875,0.171214,0.0987989,0.15647,0.170775,0.185748,0.130378,0.0742316,0.119076,0.0859434,0.154031,0.170869,0.152493,0.0837941,0.141303,0.160994,0.0722546,0.152473,0.108339,0.16418,0.14327
