# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=5
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/Haemoglobin (g per dL) - 6a_skewnormal_uni - draws_5.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_raw.1,theta_raw.2,theta_raw.3,theta_raw.4,theta_raw.5,theta_raw.6,theta_raw.7,theta_raw.8,theta_raw.9,theta_raw.10,theta_raw.11,theta_raw.12,theta_raw.13,theta_new_raw,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.127123
# Diagonal elements of inverse mass matrix:
# 0.00368342, 1.10744, 0.253985, 0.412462, 0.344183, 0.509751, 0.453686, 0.50495, 0.379719, 0.558642, 0.348769, 0.352917, 0.346116, 0.305476, 0.507581, 0.463273, 38.7015
-14.3002,0.889746,0.127123,5,31,0,26.2366,-0.0215366,0.0565625,-0.111458,0.513892,1.47344,2.10809,2.12126,0.771518,0.817437,0.645192,-0.0466409,1.32071,-0.511469,0.258304,0.789178,1.43979,4.4954,-0.027841,0.00753038,0.0618049,0.0977023,0.0984473,0.0221024,0.0246997,0.0149571,-0.0241748,0.0531662,-0.0504666,-0.00692631,0.0231013,0.0599018,0.0225169
-12.0948,0.395819,0.127123,4,15,0,20.0922,0.0255982,0.0416351,-0.0476388,0.43,1.30946,2.03351,2.14372,0.577794,0.790949,0.699291,-0.34102,1.59538,-0.319109,0.353218,0.836607,1.62731,1.6691,0.0236148,0.0435013,0.0801175,0.110264,0.114852,0.0496547,0.0585294,0.0547132,0.0113998,0.092022,0.0123121,0.0403045,0.0604304,0.0933515,0.0540951
-9.89205,0.967999,0.127123,5,31,0,17.6149,-0.0285318,0.0506795,0.390533,-0.128516,1.39169,0.996843,2.16782,0.643325,0.438614,1.06436,-0.228133,0.433951,-0.182028,0.466246,1.03131,1.51789,2.9348,-0.00873976,-0.0350449,0.0419986,0.0219877,0.0813322,0.00407162,-0.00630306,0.0254094,-0.0400935,-0.00653935,-0.0377569,-0.00490269,0.0237346,0.048394,0.00974369
-9.38797,0.964079,0.127123,5,31,0,15.2934,0.0233547,0.0685742,0.657672,1.38023,0.572553,0.151276,1.92566,1.17505,1.17317,1.25254,0.688229,0.0616668,1.78386,0.854627,0.493602,0.0181746,4.38002,0.068454,0.118003,0.062617,0.0337283,0.155405,0.103933,0.103804,0.109246,0.0705494,0.0275834,0.145681,0.0819601,0.057203,0.024601,0.0766964
-10.9224,0.986183,0.127123,5,31,0,17.6498,0.0585354,0.0207953,0.452781,-0.246121,0.29512,0.92693,-0.509889,0.244081,1.28344,0.917024,1.10131,0.883865,-0.16667,0.124705,0.811243,1.24842,1.25975,0.0679511,0.0534172,0.0646725,0.0778111,0.0479321,0.0636111,0.0852248,0.0776052,0.0814374,0.0769156,0.0550694,0.0611287,0.0754054,0.0844966,0.0715309
-4.29744,0.975803,0.127123,5,31,0,16.2783,-0.0554551,0.0968252,0.407307,0.619027,0.353444,1.1645,0.790958,1.03576,-0.104175,1.76302,0.407567,0.0484254,0.624965,0.251393,0.497569,1.74663,8.751,-0.0160175,0.00448234,-0.0212328,0.0572981,0.0211296,0.0448323,-0.0655419,0.115249,-0.0159923,-0.0507663,0.00505733,-0.0311139,-0.00727786,0.113663,0.0213008
-7.13577,0.984367,0.127123,4,15,0,14.6471,-0.0645361,0.163508,0.845355,0.461785,1.0459,1.388,1.04018,1.23958,0.652481,2.00134,0.73266,0.506654,0.266746,0.282758,0.350165,2.75057,8.88471,0.0736862,0.0109695,0.106476,0.162413,0.105541,0.138145,0.0421497,0.262698,0.0552596,0.0183058,-0.020921,-0.018303,-0.00728125,0.385204,0.0651059
-5.63051,0.980538,0.127123,5,31,0,12.9205,-0.16341,0.3317,0.655126,1.41359,0.216614,0.541511,1.54085,1.27854,0.330253,0.918683,0.0469659,0.572213,0.453711,0.768304,0.629139,1.92176,8.5928,0.0538957,0.30548,-0.0915586,0.0162096,0.34769,0.260681,-0.0538646,0.141317,-0.147831,0.0263933,-0.0129137,0.0914369,0.0452758,0.47404,0.0994746
0.11533,0.976753,0.127123,5,31,0,8.52043,-0.186226,0.3307,0.541882,0.99895,0.707846,1.28206,0.150346,0.819247,0.73666,1.41021,0.709396,0.850623,0.38449,0.126836,1.41523,0.148304,4.13915,-0.00702604,0.144127,0.0478583,0.23775,-0.136507,0.0846987,0.0573874,0.280129,0.048371,0.0950749,-0.0590754,-0.144282,0.281792,-0.137182,0.0702553
-0.410978,0.840175,0.127123,4,15,0,4.555,-0.200609,0.305982,0.664953,0.838397,0.387327,1.52826,0.153687,0.671054,0.60177,1.10411,0.491131,0.83564,0.670976,0.639721,1.5284,0.287807,5.84919,0.00285398,0.0559246,-0.0820944,0.267011,-0.153584,0.00472087,-0.0164787,0.137229,-0.0503321,0.0550813,0.00469694,-0.00486649,0.267054,-0.112546,0.0400372
