# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=9
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/height (cm) - 6a_skewnormal_uni - draws_9.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_raw.1,theta_raw.2,theta_raw.3,theta_raw.4,theta_raw.5,theta_raw.6,theta_raw.7,theta_raw.8,theta_raw.9,theta_raw.10,theta_raw.11,theta_raw.12,theta_raw.13,theta_raw.14,theta_raw.15,theta_raw.16,theta_raw.17,theta_raw.18,theta_raw.19,theta_raw.20,theta_raw.21,theta_raw.22,theta_new_raw,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.146566
# Diagonal elements of inverse mass matrix:
# 0.00433111, 1.09879, 0.365701, 0.46341, 0.31067, 0.409457, 0.403767, 0.49296, 0.362316, 0.421196, 0.391077, 0.338592, 0.23677, 0.303944, 0.330961, 0.303021, 0.36357, 0.44712, 0.335414, 0.395196, 0.196273, 0.325123, 0.276901, 0.332188, 0.39742, 29.2287
-12.6449,0.328148,0.146566,5,31,0,29.4202,0.152792,0.100951,-0.148505,-0.0930384,-0.378892,-2.26934,-1.58071,-0.279491,-1.19025,-1.22101,-0.668489,-0.301702,-0.934925,-0.383698,-0.723502,-0.908239,0.019385,-1.59737,-1.04438,-0.522821,0.16267,-0.523384,-0.351722,-1.57876,-0.522188,-8.83989,0.1378,0.1434,0.114542,-0.0762998,-0.00678195,0.124577,0.0326349,0.0295299,0.0853075,0.122335,0.0584106,0.114057,0.0797539,0.0611045,0.154749,-0.00846391,0.0473613,0.100013,0.169214,0.0999559,0.117285,-0.00658465,0.100077,0.0727553
-12.175,0.979241,0.146566,4,15,0,24.7999,0.141303,0.101997,-0.39648,-0.700463,-0.0780229,-1.47106,-1.3496,-1.29438,-0.910138,-1.3641,-0.606871,-0.189131,0.0806608,-0.852937,-0.258036,-1.19606,-0.753291,-0.908634,-0.0447801,-0.203989,-1.10189,-0.509585,-0.202569,-1.82872,-0.169056,-13.2602,0.100864,0.0698585,0.133345,-0.00873964,0.00364834,0.00928105,0.0484724,0.00216973,0.0794047,0.122013,0.149531,0.0543066,0.114985,0.0193091,0.0644702,0.0486258,0.136736,0.120497,0.0289146,0.0893275,0.120642,-0.0452201,0.12406,0.0601522
-12.1417,0.89654,0.146566,4,31,0,22.3191,0.172369,0.150787,-0.522967,-0.314209,-0.577477,-1.55822,-1.28999,-0.632666,-0.695498,-0.939276,-1.86813,-0.131917,-1.29209,-0.954996,-1.18088,-1.33569,-1.29496,-0.327575,-0.584403,-1.19755,-0.633889,-1.22152,-0.741051,-1.06862,-0.169081,-19.404,0.0935125,0.124991,0.0852932,-0.0625901,-0.022144,0.0769714,0.0674971,0.0307386,-0.109321,0.152478,-0.022461,0.0283681,-0.00569156,-0.0290356,-0.0228942,0.122975,0.0842488,-0.00820597,0.076787,-0.0118198,0.0606283,0.0112352,0.146874,0.052218
-11.2137,0.984629,0.146566,5,31,0,22.4004,0.2009,0.0883161,-0.120006,-0.581844,-0.753832,-1.12102,-0.985766,-0.50983,-0.745762,-1.43003,-1.61783,-0.302989,-1.0066,-0.875112,-1.34002,-1.16962,-1.00221,-0.468752,-0.791662,-1.00182,-0.844478,-1.48292,-0.66116,-0.823306,-0.170522,-19.1542,0.190301,0.149514,0.134324,0.101895,0.113841,0.155874,0.135037,0.0746051,0.0580198,0.174141,0.112001,0.123613,0.082555,0.0976036,0.112388,0.159502,0.130983,0.112423,0.126319,0.069934,0.142509,0.128189,0.18584,0.13053
-14.334,0.60664,0.146566,5,31,0,24.3606,0.191776,0.17464,-0.306422,-0.158154,-0.231491,-1.18961,-0.496458,-1.06868,-1.26368,-0.859119,-1.47575,-0.961436,-1.17746,-1.46618,0.0104501,-1.27493,-0.681602,-0.713865,-1.65167,-1.90712,-0.718158,-1.54865,-0.553303,-0.0743716,-0.164759,-20.4347,0.138262,0.164156,0.151348,-0.0159774,0.105074,0.00514136,-0.0289135,0.0417391,-0.0659491,0.0238705,-0.0138566,-0.0642781,0.193601,-0.0308781,0.0727408,0.0671063,-0.0966729,-0.141284,0.0663567,-0.078681,0.095147,0.178788,0.163002,0.0525997
-13.675,0.648572,0.146566,4,15,0,26.1127,0.216713,0.110649,-0.616229,-0.504677,-0.184566,-1.1049,-0.434424,-1.19617,-1.41694,-0.878891,-1.66698,-0.96612,-1.09919,-1.27827,-0.135521,-1.32748,-0.45941,-0.954972,-1.79087,-1.90483,-0.555833,-1.39322,-0.490339,-0.167604,0.0201914,-20.7511,0.148528,0.160871,0.196291,0.094457,0.168645,0.084358,0.0599307,0.119465,0.0322641,0.109813,0.0950893,0.0752745,0.201718,0.0698286,0.16588,0.111047,0.0185556,0.00594596,0.155211,0.0625551,0.162458,0.198168,0.218947,0.12853
