# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=2
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/Haemoglobin (g per dL) - 5a_halfnormal_uni - draws_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.135679
# Diagonal elements of inverse mass matrix:
# 1.10052, 1.72338, 2.12088, 2.0442, 2.43216, 2.27078, 2.33096, 2.21999, 2.51394, 2.1767, 2.12302, 1.96321, 1.71611, 2.4596, 2.39736
-23.6758,0.996274,0.135679,4,15,0,27.0778,0.0577414,0.0140576,0.00951247,0.0354411,0.00804535,0.0390014,0.00668419,0.0878944,0.054695,0.046731,0.0722183,0.0249966,0.0238168,0.0538961,0.120071,0.046071
-25.3589,0.947857,0.135679,4,31,0,31.3167,0.0930762,0.0199666,0.00187959,0.100656,0.0393157,0.187686,0.0240489,0.0609156,0.181669,0.0726235,0.044485,0.0292367,0.0252511,0.0223545,0.0466656,0.0742641
-24.9828,0.979287,0.135679,4,31,0,32.113,0.0951515,0.0439928,0.00714838,0.00722296,0.125977,0.0157857,0.154809,0.0392646,0.0359114,0.0428102,0.0733534,0.0103743,0.0721137,0.164853,0.0806458,0.07592
-21.3444,0.939923,0.135679,4,15,0,29.6798,0.0531514,0.0312848,0.0199889,0.0155765,0.0296463,0.0675758,0.0276545,0.0854518,0.123132,0.00911855,0.0454801,0.0255552,0.025317,0.0131252,0.056453,0.0424087
-22.7705,0.941559,0.135679,4,31,0,30.1927,0.0263832,0.00670223,0.0231672,0.00560247,0.0444684,0.0127113,0.0198712,0.0119514,0.00451643,0.0534212,0.0160981,0.0254705,0.0243986,0.0484852,0.014152,0.0210508
-26.7192,0.972405,0.135679,4,15,0,32.8852,0.0780138,0.0750975,0.0616342,0.000436564,0.0432809,0.00813317,0.104614,0.100461,0.200271,0.0098486,0.0481757,0.0574927,0.0184222,0.0287306,0.0466526,0.062246
-24.6747,0.977783,0.135679,4,15,0,36.0628,0.0664356,0.0514662,0.0115208,0.00122591,0.0979856,0.0103175,0.0687681,0.0708721,0.0953887,0.00719939,0.0521243,0.103198,0.0380787,0.0629155,0.0321077,0.053008
-24.1256,0.85066,0.135679,4,15,0,39.2545,0.0679575,0.033075,0.00930417,0.00124738,0.112727,0.0118778,0.0925428,0.0355307,0.102371,0.00781892,0.0487995,0.0763599,0.0537484,0.0727446,0.0417121,0.0542223
-20.2206,0.995498,0.135679,4,15,0,26.7107,0.0424289,0.0469714,0.0393784,0.00395628,0.0304456,0.0385592,0.0376336,0.0759915,0.0409934,0.00692217,0.0560789,0.0336535,0.0339253,0.0262507,0.0331838,0.0338534
-22.8485,0.963434,0.135679,3,15,0,31.1441,0.122156,0.0280198,0.139271,0.0171625,0.0833955,0.00892487,0.065757,0.0558685,0.177609,0.0210985,0.0384496,0.0372,0.00454497,0.172437,0.119668,0.0974665
-21.2529,0.980095,0.135679,4,31,0,30.9892,0.040307,0.0100213,0.0832629,0.0180054,0.0288689,0.0152809,0.0831718,0.0572006,0.0283386,0.00932977,0.0383749,0.0433262,0.012153,0.0640798,0.0771415,0.0321604
-23.1206,0.940068,0.135679,4,15,0,30.1724,0.0231011,0.0531238,0.0315288,0.0190603,0.0100773,0.00620852,0.0205738,0.00760389,0.0183985,0.00734644,0.0347838,0.0366132,0.0195464,0.0039764,0.0247224,0.018432
-30.971,0.604145,0.135679,5,63,0,36.1185,0.0185904,0.000259354,0.0349379,0.0197323,0.046681,0.000222803,0.0424364,0.0239347,0.00264084,0.0305767,0.00602953,0.00855508,0.0216859,0.00928962,0.0175191,0.014833
-29.7494,1,0.135679,4,15,0,39.1507,0.0236026,0.000188335,0.0214924,0.0281358,0.0225398,0.000105091,0.0331583,0.0227755,0.00325937,0.0239732,0.00802446,0.0157121,0.0374052,0.00793064,0.00911117,0.0188322
-32.6971,0.946635,0.135679,4,15,0,37.8832,0.0304066,0.00069513,0.0195185,0.028726,0.00459063,4.33079e-05,0.0255063,0.0391335,0.106869,0.0345004,0.0418381,0.0116537,0.0142555,0.0270191,0.00559377,0.024261
-32.9134,0.986885,0.135679,4,31,0,40.5801,0.0580004,0.000321911,0.0172769,0.0529564,0.0275755,6.08546e-05,0.07481,0.0552654,0.00665298,0.0280894,0.032096,0.00431382,0.058516,0.0484237,0.0217735,0.0462776
-24.7201,0.992553,0.135679,4,15,0,37.041,0.0449905,0.00672198,0.128292,0.033301,0.0537468,0.00220816,0.0214309,0.0332219,0.0487669,0.0386421,0.0689424,0.0154571,0.00483772,0.0366063,0.0797457,0.0358973
-22.097,0.665181,0.135679,4,15,0,31.2857,0.0630415,0.0119165,0.0111604,0.0498835,0.0484256,0.0247872,0.0497322,0.123984,0.144909,0.0620771,0.0118594,0.0346246,0.0184354,0.0921776,0.0326042,0.0502999
-24.2388,0.831546,0.135679,4,15,0,34.3327,0.143879,0.035861,0.0605621,0.0409505,0.296832,0.20453,0.296888,0.00734171,0.170325,0.0363733,0.181775,0.0146715,0.0724609,0.14445,0.038794,0.114799
-23.9862,0.539099,0.135679,5,31,0,32.9689,0.02562,0.0364843,0.0102653,0.063177,0.0256188,0.0551107,0.00410872,0.0181894,0.0199159,0.0139534,0.00905514,0.00795439,0.0233139,0.0196095,0.00907053,0.0204418
-21.7053,0.999552,0.135679,4,15,0,29.1415,0.0220881,0.00561888,0.0542438,0.0039612,0.0411134,0.00754005,0.034081,0.0291931,0.0160714,0.0310844,0.0131943,0.0168724,0.0178378,0.0239521,0.0258265,0.0176238
-26.03,0.424058,0.135679,4,15,0,35.8698,0.0260879,0.0167314,0.0432794,0.00226706,0.00904241,0.00600971,0.00260351,0.0466267,0.0187837,0.0215016,0.0407673,0.0329206,0.00866139,0.00265528,0.0125317,0.0208151
-22.6847,0.9921,0.135679,5,31,0,32.4826,0.0441779,0.0338299,0.036024,0.111857,0.0408625,0.0390001,0.0749526,0.0141674,0.0865416,0.0553489,0.0179824,0.0170324,0.00833987,0.00869159,0.0228872,0.0352489
-21.3246,0.983327,0.135679,4,31,0,31.1984,0.0630529,0.0254552,0.145052,0.0641188,0.0369292,0.0508517,0.0627734,0.0185073,0.040207,0.0213744,0.0223062,0.024415,0.00444747,0.0294977,0.0660442,0.050309
-20.1662,0.960045,0.135679,4,31,0,27.9073,0.0438107,0.010662,0.0245472,0.0472188,0.0256808,0.0582844,0.0722836,0.00767267,0.0828256,0.0402891,0.0640964,0.0290608,0.00613355,0.0344148,0.0342656,0.0349559
-28.4113,0.790534,0.135679,4,15,0,32.3742,0.0919749,0.0039363,0.154616,0.0427912,0.0798622,0.0180518,0.0141235,0.00119927,0.0212235,0.0400349,0.0240511,0.0325053,0.0105866,0.118332,0.0953975,0.0733854
-26.6736,0.986979,0.135679,4,15,0,34.239,0.064557,0.0129566,0.0396554,0.0831649,0.0852568,0.174877,0.00718465,0.00447044,0.0323805,0.0153855,0.145044,0.053838,0.048919,0.0389206,0.0704379,0.0515091
-22.2511,0.800991,0.135679,4,15,0,34.6784,0.0683589,0.0187831,0.0950123,0.041662,0.0631577,0.056904,0.0173453,0.00327272,0.0122144,0.0268609,0.0743635,0.0825823,0.0537129,0.0993754,0.0744989,0.0545425
-22.6437,0.847732,0.135679,4,15,0,31.9553,0.0945761,0.0524396,0.0609489,0.0353941,0.0641603,0.0721148,0.0256565,0.00382733,0.0230301,0.0287036,0.0649969,0.0474085,0.0349843,0.104437,0.110072,0.0754609
-29.3606,0.939862,0.135679,4,15,0,34.9342,0.109927,0.00231833,0.0722034,0.0239721,0.0346735,0.0410355,0.00266813,0.221678,0.184756,0.0911782,0.0356464,0.0525721,0.0710028,0.0223788,0.0142877,0.0877089
-32.1983,0.896105,0.135679,5,31,0,41.9689,0.0656569,0.000283275,0.0445145,0.0264262,0.00125711,0.00798175,0.0162042,0.00116511,0.151267,0.061642,0.0341839,0.032667,0.0356034,0.0188449,0.0638846,0.0523866
-32.8091,0.914378,0.135679,4,31,0,44.14,0.0736622,0.000645474,0.0979538,0.0224256,0.00132127,0.0131123,0.0115092,0.00108718,0.0796765,0.0691771,0.0467505,0.0234192,0.0240318,0.00758473,0.113828,0.0587739
-33.4058,0.955073,0.135679,4,15,0,44.587,0.0649609,8.99523e-05,0.0305329,0.00373121,0.183896,0.0545208,0.0144279,0.118622,0.0709104,0.0203202,0.034096,0.0753272,0.00931171,0.00583605,0.0109322,0.0518313
-29.585,0.995446,0.135679,4,15,0,38.5174,0.0550204,0.000167599,0.081954,0.014842,0.0104717,0.0624213,0.00644644,0.0223558,0.0658594,0.0116416,0.0560192,0.0171594,0.00627219,0.149769,0.0887461,0.0439
-29.5013,0.726571,0.135679,4,31,0,36.7506,0.0211838,0.000255123,0.0330471,0.00344707,0.0104644,0.036119,0.00383651,0.0353712,0.0463855,0.0633311,0.0158047,0.0250548,0.0186125,0.00603095,0.00959658,0.0169023
-25.5331,0.997366,0.135679,4,31,0,35.0056,0.0209591,0.00595182,0.0384595,0.0420131,0.00482542,0.0245435,0.00982892,0.0187353,0.0162077,0.00263142,0.0474838,0.0142363,0.0177053,0.0552025,0.0396531,0.0167229
-22.468,0.979578,0.135679,4,15,0,30.4743,0.0396103,0.0168546,0.0548011,0.0171412,0.0113225,0.0398396,0.049802,0.0439532,0.120574,0.0155579,0.00410256,0.0503016,0.0457216,0.0153245,0.0212107,0.0316045
-24.9552,0.766752,0.135679,4,31,0,30.3168,0.0451612,0.0162091,0.024809,0.00233574,0.046114,0.0324559,0.0306551,0.0250312,0.00717995,0.0100987,0.0722972,0.0228486,0.00284024,0.0226437,0.0424294,0.0360335
-27.1947,0.980756,0.135679,4,15,0,31.3901,0.0324841,0.0411699,0.0745198,0.0927385,0.0109993,0.0123896,0.0354942,0.00145797,0.0304269,0.0468128,0.0054222,0.0115056,0.00514866,0.0299696,0.0271074,0.0259186
-27.9351,0.993252,0.135679,5,47,0,34.8746,0.0266454,0.00999891,0.00809271,0.000910891,0.00117047,0.0604676,0.0207949,0.0454505,0.0492604,0.0111864,0.00384845,0.0434179,0.0405758,0.0338927,0.0361581,0.02126
-26.8149,0.966361,0.135679,4,31,0,35.5059,0.0223486,0.0476108,0.0269337,0.0609074,0.0023107,0.0183237,0.0473644,0.0241942,0.00845137,0.00445793,0.03247,0.00242528,0.0214249,0.0223605,0.0332184,0.0178316
-25.1618,0.76821,0.135679,4,15,0,34.412,0.0376869,0.00811903,0.0150256,0.00425865,0.0154321,0.0231867,0.0334663,0.00210103,0.0454969,0.0135518,0.0305602,0.00724325,0.0323033,0.00942364,0.0123256,0.0300698
-28.7274,0.990321,0.135679,5,31,0,32.9387,0.0135691,0.0215284,0.00898285,0.00109357,0.00544258,0.0207729,0.0195984,0.0079487,0.00146278,0.0247985,0.00349287,0.0271424,0.00166217,0.010983,0.000880152,0.0108266
-25.8441,0.974986,0.135679,4,15,0,35.1556,0.0135755,0.00656881,0.0214184,0.0074166,0.0186127,0.00203176,0.00347449,0.0158289,0.0018613,0.00505737,0.0253541,0.00477508,0.0327339,0.0124228,0.00603852,0.0108317
-22.7713,0.672931,0.135679,4,15,0,34.019,0.011987,0.00269147,0.00629743,0.0128725,0.00550838,0.00463319,0.0219889,0.0206896,0.0161071,0.0109525,0.0158806,0.00756076,0.00475858,0.0211596,0.0271156,0.00956427
-21.0942,1,0.135679,4,15,0,25.3306,0.0216413,0.0032947,0.0295183,0.0158477,0.0177398,0.0299191,0.00950878,0.0096016,0.0141245,0.0198309,0.0115384,0.0116424,0.0275956,0.00713283,0.00712371,0.0172673
-24.4721,0.953451,0.135679,4,31,0,31.287,0.039988,0.006067,0.0542355,0.0315475,0.0695033,0.0283935,0.0747109,0.00425675,0.0506527,0.0196376,0.0682041,0.00222419,0.0166977,0.0942945,0.0119464,0.0319058
-23.1128,0.989468,0.135679,4,31,0,28.2956,0.0636239,0.0104642,0.0834739,0.084902,0.0540586,0.0973618,0.0946402,0.00903531,0.153609,0.091408,0.0593906,0.00208435,0.0234656,0.0215915,0.10472,0.0507646
-25.3126,0.987832,0.135679,5,47,0,30.7049,0.114147,0.000343106,0.205941,0.107861,0.132209,0.215051,0.132519,0.0475485,0.0653524,0.0738632,0.0556948,0.0031256,0.0353062,0.177653,0.122326,0.0910763
-26.9886,0.99323,0.135679,4,15,0,29.8886,0.143626,0.000143148,0.0775038,0.0904177,0.124609,0.0629754,0.181517,0.0972225,0.345705,0.0667009,0.108866,0.00148594,0.0418528,0.095669,0.17871,0.114597
-22.9704,0.996559,0.135679,4,15,0,31.204,0.0448741,0.000533287,0.0655172,0.036262,0.034068,0.0764387,0.0500104,0.0139632,0.0162427,0.0210798,0.0338467,0.00695601,0.0475716,0.0630499,0.0319288,0.0358044
-25.7756,0.788726,0.135679,4,31,0,31.9934,0.0772786,0.000627859,0.0720759,0.0820972,0.0850829,0.060429,0.112197,0.0294709,0.000867662,0.100187,0.0472801,0.0269305,0.0270315,0.0879218,0.0439927,0.0616594
