# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=8
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/weight (kg) - 6a_skewnormal_uni - draws_8.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_raw.1,theta_raw.2,theta_raw.3,theta_raw.4,theta_raw.5,theta_raw.6,theta_raw.7,theta_raw.8,theta_raw.9,theta_raw.10,theta_raw.11,theta_raw.12,theta_raw.13,theta_raw.14,theta_raw.15,theta_raw.16,theta_raw.17,theta_raw.18,theta_raw.19,theta_raw.20,theta_raw.21,theta_raw.22,theta_raw.23,theta_raw.24,theta_raw.25,theta_raw.26,theta_raw.27,theta_new_raw,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,theta.26,theta.27,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.18743
# Diagonal elements of inverse mass matrix:
# 0.00540883, 0.0584446, 0.0702259, 0.260992, 0.0414489, 0.0494161, 0.124552, 0.0831222, 0.0621698, 0.174455, 0.0899639, 0.13147, 0.131613, 0.119836, 0.0388446, 0.0328715, 0.103555, 0.206606, 0.0901522, 0.103338, 0.0574572, 0.408387, 0.273969, 0.0921537, 0.114183, 0.0818144, 0.0798025, 0.0690074, 0.283693, 0.381915, 30.7372
-17.7076,0.870126,0.18743,5,31,0,28.8356,-0.118808,0.30065,0.789851,3.08441,0.141152,1.39697,1.04041,0.0151025,0.0319815,0.600132,0.72844,1.0443,0.128625,1.1993,0.683927,0.737448,0.426611,1.16009,0.680407,0.633871,0.685458,1.04705,2.72139,1.41225,0.35082,1.24417,0.708395,0.652564,1.17635,0.881903,14.6403,0.118662,0.808522,-0.07637,0.301191,0.193991,-0.114267,-0.109192,0.0616223,0.100198,0.195161,-0.0801363,0.241763,0.0868155,0.102907,0.00945341,0.229975,0.0857572,0.071766,0.0872757,0.195989,0.699378,0.305788,-0.0133333,0.255253,0.0941717,0.077386,0.234862,0.146337,0.120519
-16.6244,0.959968,0.18743,5,63,0,34.3944,-0.00568634,0.345199,0.378898,2.62004,-0.218485,0.869508,0.615637,-0.107474,-0.593428,0.575261,0.258275,0.515821,-0.175968,0.765217,0.248377,0.126843,-0.0563026,0.505119,0.357254,0.528184,0.355468,0.0829124,2.31927,0.999996,0.234514,0.885738,0.362367,0.3616,0.77391,0.993382,3.48459,0.125109,0.898747,-0.0811071,0.294467,0.206831,-0.0427864,-0.210537,0.192893,0.0834699,0.172374,-0.0664302,0.258466,0.0800532,0.0380999,-0.0251219,0.16868,0.117637,0.176642,0.117021,0.0229349,0.794922,0.339511,0.0752675,0.300069,0.119402,0.119138,0.261467,0.337228,0.259057
-12.5942,0.74108,0.18743,4,15,0,28.5204,-0.0511799,0.410843,0.222288,2.46645,-0.0812063,0.798774,0.364364,-0.167345,-0.555705,0.410756,0.212298,0.76806,-0.245373,0.675806,0.157482,0.253798,-0.134226,0.901801,0.320827,0.350713,0.234736,0.690644,2.07475,0.776647,0.182465,0.985466,0.328596,0.270202,0.514081,0.687465,3.35135,0.0401454,0.962141,-0.0845429,0.27699,0.0985163,-0.119932,-0.279487,0.117576,0.0360412,0.264372,-0.151989,0.22647,0.0135205,0.0530911,-0.106326,0.319318,0.0806295,0.0929079,0.0452599,0.232566,0.801215,0.2679,0.0237844,0.353692,0.0838216,0.0598306,0.160026,0.23126,0.26294
-14.2116,0.702609,0.18743,4,15,0,26.8891,-0.0198309,0.358286,0.244101,2.20405,0.243062,0.285904,0.406257,-0.0613565,-0.192672,0.461657,0.502892,0.905025,0.125652,0.0839704,0.357561,0.0777505,-0.110668,0.773639,0.171151,0.273678,0.220584,0.321979,1.08426,0.315412,0.748162,0.753686,0.386915,0.853391,0.52926,0.855208,4.70219,0.0676272,0.769849,0.0672549,0.0826044,0.125725,-0.0418141,-0.0888627,0.145574,0.160349,0.304427,0.0251886,0.0102545,0.108278,0.00802602,-0.0594818,0.257353,0.0414903,0.0782243,0.0592014,0.0955299,0.368646,0.0931769,0.248225,0.250204,0.118795,0.285928,0.169796,0.286579,0.259787
-13.7733,0.896738,0.18743,5,31,0,26.6119,-0.230299,0.397936,0.958385,2.91609,0.611723,1.35296,0.985252,0.460625,0.234939,1.09248,0.622129,1.58977,0.460216,0.627241,0.591412,0.709807,0.331846,1.48438,0.448897,0.0488042,0.813237,1.23848,2.16127,1.49632,1.2797,1.41771,0.959046,1.05761,0.972511,1.03942,2.94791,0.151076,0.930117,0.0131267,0.308091,0.161768,-0.0470004,-0.136809,0.204438,0.017268,0.402327,-0.0471631,0.019302,0.00504458,0.052158,-0.098246,0.360388,-0.0516675,-0.210879,0.0933166,0.262538,0.629746,0.365141,0.278937,0.333858,0.151339,0.190562,0.156697,0.183324,0.0703784
-10.5854,0.98082,0.18743,4,15,0,27.7366,-0.321923,0.619247,0.877646,1.98221,0.537492,0.705037,1.09833,0.486757,-0.0375478,0.79676,0.975301,0.985458,0.727241,0.78016,0.866271,0.663676,0.0837184,1.25846,0.686507,0.197413,0.229415,1.61216,1.82804,0.637871,0.531441,1.04713,0.868498,0.769884,1.0657,1.29299,6.56113,0.221557,0.905557,0.0109176,0.11467,0.358216,-0.0204996,-0.345174,0.171469,0.28203,0.28832,0.128419,0.16119,0.214513,0.0890568,-0.27008,0.457378,0.103195,-0.199675,-0.179858,0.676403,0.810086,0.0730769,0.00717076,0.326507,0.215892,0.154826,0.338009,0.478759,0.166525
