# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=5
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/Haemoglobin (g per dL) - 5a_halfnormal_uni - draws_5.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.157208
# Diagonal elements of inverse mass matrix:
# 0.792205, 1.4624, 1.79457, 1.64711, 2.08261, 1.93609, 1.95169, 1.84197, 2.0156, 1.93239, 1.92632, 1.71385, 1.55532, 1.95173, 1.86964
-24.9151,0.968014,0.157208,4,15,0,29.018,0.0103146,0.00745684,0.00236552,0.00686268,0.00552322,0.00136892,0.0035336,0.00789914,0.0144025,0.00285588,0.0109233,0.000909538,0.00337132,0.00998993,0.0048631,0.00822983
-26.3076,0.822455,0.157208,4,15,0,34.3269,0.00760683,0.0121242,0.0035348,0.00535265,0.0111721,0.00599431,0.000277525,0.00627166,0.00569147,0.00426394,0.00362094,0.000238695,0.00199206,0.00810746,0.0045705,0.00606938
-28.3735,0.945065,0.157208,5,47,0,36.4313,0.0116224,0.00113996,0.00147022,0.010647,0.00389758,0.00204514,0.0179637,0.00698652,0.00257142,0.00975493,0.010049,0.0233361,0.00118121,0.00941358,0.00148115,0.00927331
-26.3478,0.995168,0.157208,4,15,0,35.8462,0.0118699,0.00970472,0.000603407,0.00733756,0.00457785,0.0202732,0.0122657,0.00577289,0.0284937,0.0119647,0.00987449,0.00183224,0.00520315,0.00389487,0.00172254,0.00947078
-29.6804,0.99567,0.157208,4,15,0,35.3077,0.0122763,0.00558444,5.65085e-05,0.0116887,0.0062977,0.00220726,0.00554871,0.00841867,0.000820281,0.00624682,0.00806581,0.0246735,0.00348693,0.00753182,0.0212644,0.00979511
-26.3097,0.757246,0.157208,4,15,0,42.3676,0.00991387,0.00210295,0.000363272,0.00980519,0.00074807,0.00188313,0.00785782,0.00352905,0.00658513,0.0105099,0.00710936,0.00972374,0.00322149,0.00690219,0.0107852,0.00791013
