# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=5
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/mid-upper arm circumference (cm) - 5a_halfnormal_uni - draws_5.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.251204
# Diagonal elements of inverse mass matrix:
# 0.164933, 1.54019, 1.12247, 1.15938, 0.992836, 0.471898, 0.0322851, 0.806036, 1.32109
-17.6286,0.988336,0.251204,4,15,0,23.9436,0.2077,0.0122885,0.0767227,0.334467,0.28078,0.131719,0.265811,0.051292,0.116816,0.165721
-19.5079,0.94976,0.251204,3,15,0,22.3106,0.171837,0.0271351,0.0502259,0.0617717,0.157713,0.0674155,0.233034,0.0641607,0.03154,0.137106
-18.0314,0.975206,0.251204,4,15,0,21.252,0.514755,0.120335,0.11208,0.251021,0.977449,0.168003,0.503034,0.0895856,0.101506,0.410715
-17.8882,0.967742,0.251204,4,15,0,22.6739,0.631825,0.0363843,0.202983,0.196895,0.552195,0.092379,0.28145,0.154887,0.226292,0.504124
-17.158,0.976801,0.251204,4,15,0,21.5077,0.334309,0.00398331,0.149547,0.211763,0.679798,0.0491261,0.363161,0.0814028,0.635105,0.26674
-18.2465,0.920049,0.251204,3,15,0,21.3787,0.287932,0.0161813,0.364445,0.174297,0.169941,0.0223705,0.375829,0.0978546,0.210205,0.229737
-19.5339,0.956132,0.251204,4,15,0,21.5376,0.374545,0.0905963,0.0265681,0.301701,0.201409,0.0196324,0.400847,0.138588,0.622435,0.298844
-21.5568,0.933192,0.251204,3,15,0,28.3808,0.304383,0.0223392,0.122701,0.105782,0.273009,0.00350828,0.418438,0.0896198,0.0169272,0.242862
-21.0378,0.998252,0.251204,4,15,0,23.3464,0.173971,0.0896487,0.107642,0.242915,0.333274,0.00246896,0.356039,0.119253,0.0160044,0.138809
-17.4685,0.937136,0.251204,4,15,0,22.8129,0.190743,0.0271271,0.173526,0.0188595,0.295284,0.0258787,0.373891,0.114434,0.261947,0.152191
-15.8991,0.972773,0.251204,3,11,0,19.111,0.28937,0.0753593,0.127119,0.243671,0.456476,0.0189605,0.36769,0.110529,0.180728,0.230884
-16.675,0.929248,0.251204,4,15,0,20.0328,0.338899,0.0536994,0.151646,0.0293428,0.476191,0.0845617,0.288376,0.123163,0.191906,0.270402
-14.3238,0.990743,0.251204,4,15,0,18.1802,0.194082,0.0496735,0.180762,0.120567,0.393737,0.115647,0.313056,0.0787983,0.102008,0.154855
-15.2065,0.893377,0.251204,4,15,0,20.0799,0.439663,0.0316099,0.108931,0.378108,0.870624,0.102046,0.377508,0.0959773,0.337363,0.350801
-14.2736,0.99467,0.251204,4,15,0,18.2172,0.357538,0.11346,0.0817373,0.25552,0.60387,0.103171,0.391973,0.112157,0.572259,0.285274
-16.6095,0.920678,0.251204,4,15,0,17.9109,0.46994,0.0541449,0.0509115,0.216436,0.388795,0.16596,0.311211,0.141745,0.333353,0.374958
-15.1453,0.998574,0.251204,4,15,0,17.8108,0.262421,0.0638762,0.11022,0.138904,0.312382,0.0966845,0.479448,0.0809709,0.0990622,0.209382
-14.206,0.987653,0.251204,3,7,0,17.4408,0.282047,0.0236723,0.243279,0.234038,0.513265,0.12075,0.409521,0.0469336,0.276462,0.225041
-13.9022,0.95864,0.251204,3,7,0,16.8962,0.218976,0.0322132,0.256664,0.177107,0.393132,0.0816923,0.375645,0.145465,0.222408,0.174718
-14.0079,0.99916,0.251204,3,7,0,14.5751,0.260205,0.030188,0.124134,0.170125,0.280013,0.068002,0.39297,0.0991938,0.317928,0.207614
-17.5036,0.859185,0.251204,3,15,0,21.458,0.217838,0.102958,0.0996139,0.208753,0.024914,0.1383,0.426032,0.0852945,0.120067,0.17381
-17.2479,0.97687,0.251204,4,15,0,20.3214,0.195075,0.0181653,0.0743195,0.0708518,0.0839088,0.127171,0.278309,0.0813364,0.239546,0.155648
-15.4174,0.977367,0.251204,3,7,0,20.4703,0.147106,0.0866031,0.111149,0.100095,0.237965,0.0964235,0.289063,0.112103,0.0563673,0.117374
-19.048,0.888721,0.251204,3,7,0,21.067,0.137468,0.0779461,0.202049,0.151618,0.420428,0.0835522,0.269666,0.0681832,0.0262396,0.109684
-15.5567,1,0.251204,3,7,0,20.3407,0.193423,0.1138,0.15549,0.171455,0.18441,0.0973187,0.322722,0.0717511,0.0479563,0.154329
-14.6891,0.990923,0.251204,4,15,0,16.9706,0.177647,0.0406835,0.0604277,0.0992141,0.301062,0.1025,0.305172,0.0745542,0.178535,0.141742
-18.4384,0.927598,0.251204,4,15,0,21.7222,0.384409,0.0876268,0.0475787,0.0345669,0.645396,0.208889,0.358169,0.155545,0.0834398,0.306714
-18.6728,0.986628,0.251204,4,15,0,20.9876,0.328353,0.0422501,0.0903516,0.0242203,0.710822,0.0533699,0.414536,0.0782708,0.841232,0.261988
-19.0004,1,0.251204,4,15,0,22.1792,0.179366,0.0830206,0.0837851,0.00879904,0.339274,0.0663027,0.328657,0.1234,0.0154345,0.143114
-18.9664,0.911142,0.251204,4,15,0,22.7303,0.366844,0.0362635,0.249588,0.152271,0.0300348,0.181587,0.360949,0.128758,0.618942,0.2927
-21.7097,0.766582,0.251204,4,15,0,28.4404,0.144251,0.0831441,0.132357,0.101284,0.0979293,0.0287803,0.380701,0.010837,0.00953337,0.115096
-20.7658,0.965071,0.251204,4,15,0,25.4206,0.196161,0.0257641,0.137117,0.0779736,0.578477,0.034002,0.291833,0.0900679,0.00664428,0.156514
-21.3379,0.860252,0.251204,4,15,0,24.5338,0.327554,0.0345626,0.22828,0.353378,0.124487,0.0565607,0.390815,0.147851,0.0022172,0.261351
-16.809,0.470187,0.251204,4,15,0,25.4861,0.218313,0.0960464,0.150748,0.0853469,0.129539,0.0341995,0.329015,0.091246,0.167327,0.174189
-17.7451,0.984235,0.251204,3,7,0,19.4256,0.165125,0.0540374,0.123254,0.092698,0.332232,0.251548,0.369887,0.0679019,0.188826,0.131751
-15.0102,1,0.251204,3,7,0,19.5878,0.186614,0.0360271,0.0474666,0.208946,0.25808,0.0804556,0.342772,0.0670238,0.100428,0.148896
-15.7407,0.954154,0.251204,3,15,0,18.6438,0.191054,0.0629844,0.0937607,0.259317,0.396582,0.113463,0.387376,0.0252123,0.102092,0.152439
-19.1306,0.854571,0.251204,4,15,0,22.4628,0.399787,0.0366848,0.0708209,0.100593,0.302082,0.0317412,0.391108,0.0215383,0.569815,0.318984
-18.5644,0.988714,0.251204,4,15,0,20.7432,0.256459,0.0579594,0.278481,0.337948,0.712225,0.0390957,0.329957,0.0297192,0.202502,0.204625
-17.6144,0.38406,0.251204,4,15,0,23.9144,0.161466,0.0272105,0.0806018,0.0713321,0.0288177,0.101907,0.328781,0.0847882,0.294447,0.128831
-16.7319,0.89104,0.251204,4,15,0,23.8919,0.157671,0.0383093,0.0753062,0.101062,0.032077,0.0750768,0.359205,0.0918956,0.165527,0.125804
-19.0791,0.9601,0.251204,3,7,0,21.0897,0.159935,0.0784916,0.0860105,0.270785,0.0654802,0.23101,0.347272,0.0604924,0.16291,0.127609
-15.4654,1,0.251204,3,7,0,20.4921,0.156421,0.039581,0.156997,0.161974,0.0787482,0.158187,0.365819,0.0889729,0.178214,0.124806
-18.6589,0.88996,0.251204,4,15,0,21.3409,0.234239,0.0344932,0.128518,0.00662551,0.682459,0.0815376,0.314746,0.134245,0.152011,0.186896
-17.9496,0.959304,0.251204,3,15,0,22.3078,0.274872,0.0328086,0.199725,0.00620427,0.488881,0.0643187,0.307659,0.137093,0.169893,0.219316
-19.0398,0.926839,0.251204,4,15,0,22.7085,0.200636,0.0360195,0.0976442,0.454147,0.22708,0.0900027,0.382045,0.0667879,0.0142163,0.160085
-21.0303,0.999238,0.251204,4,15,0,25.2973,0.477461,0.00534184,0.101821,0.00489127,0.814339,0.148087,0.355695,0.15271,0.0861038,0.380959
-21.0727,0.983539,0.251204,4,15,0,23.471,0.46002,0.0039051,0.0759186,0.00457292,0.71193,0.117297,0.350953,0.136053,0.0948274,0.367043
-19.4541,0.985759,0.251204,4,31,0,23.9474,0.520484,0.00147504,0.184828,0.014908,0.606259,0.0919533,0.414041,0.108836,0.556962,0.415286
-20.8049,0.937231,0.251204,4,15,0,26.8557,0.22139,0.0059457,0.0501982,0.005407,0.270994,0.0425821,0.391507,0.10726,0.486373,0.176644
-16.7394,0.978793,0.251204,3,15,0,21.7823,0.285992,0.0054433,0.361319,0.0931512,0.532591,0.141797,0.378936,0.118338,0.0725774,0.228188
-23.8555,0.787518,0.251204,3,7,0,29.0277,0.38855,0.019316,0.289836,0.170593,0.432194,0.325499,0.37606,0.24228,0.0962671,0.310018
-16.1083,1,0.251204,3,7,0,28.513,0.395813,0.0379431,0.0914306,0.121086,0.279451,0.149466,0.364617,0.186126,0.194637,0.315813
-16.1731,0.958033,0.251204,3,7,0,19.8231,0.477837,0.0878848,0.30171,0.273856,0.555981,0.121017,0.450854,0.0983831,0.055638,0.381259
-18.3606,0.932367,0.251204,4,15,0,19.8236,0.549603,0.0797453,0.196653,0.474912,0.396782,0.128613,0.407819,0.0670385,0.0608095,0.43852
-18.7989,0.961998,0.251204,4,15,0,22.2013,0.171768,0.0357751,0.123537,0.0335948,0.0430542,0.0547859,0.30261,0.143819,0.306185,0.137051
-21.4669,0.8387,0.251204,4,15,0,25.8855,0.150046,0.0653821,0.0128146,0.0288752,0.173786,0.153594,0.276608,0.0359767,0.00880675,0.11972
-15.8561,0.993689,0.251204,4,15,0,22.6941,0.527966,0.0814846,0.140814,0.122116,0.817746,0.0996903,0.437127,0.0930517,1.09769,0.421256
-18.2998,0.967637,0.251204,4,15,0,21.1989,0.213602,0.00625266,0.210168,0.00877006,0.424525,0.151496,0.307641,0.124225,0.128995,0.17043
-18.2549,0.898642,0.251204,3,15,0,22.5372,0.272719,0.00745037,0.214083,0.0120238,0.33173,0.14684,0.304772,0.107414,0.111092,0.217598
-14.7886,0.842634,0.251204,3,15,0,23.995,0.22117,0.0323868,0.216132,0.0408253,0.457466,0.137609,0.363665,0.0847881,0.291859,0.176468
-14.9058,0.967087,0.251204,3,15,0,17.417,0.263673,0.0342815,0.162148,0.134581,0.206883,0.157262,0.469245,0.127065,0.27798,0.210381
-15.6063,0.990934,0.251204,4,15,0,16.6072,0.343164,0.0201093,0.148352,0.176354,0.282373,0.0840914,0.305994,0.103516,0.266742,0.273805
-14.8157,0.989416,0.251204,3,15,0,18.0782,0.304398,0.0192169,0.124368,0.237474,0.337415,0.0750674,0.323404,0.117591,0.236023,0.242875
-16.6551,0.965432,0.251204,3,15,0,18.0182,0.315803,0.0238406,0.0866018,0.132745,0.140472,0.132588,0.30314,0.102703,0.250729,0.251974
-17.5467,0.891974,0.251204,4,15,0,21.3056,0.312023,0.0604135,0.293711,0.0456492,0.187805,0.0712824,0.488405,0.152097,0.336086,0.248958
-20.6785,0.849073,0.251204,4,15,0,25.7489,0.222777,0.0783048,0.123177,0.00357501,0.290567,0.146959,0.325647,0.00560753,0.298511,0.177751
-20.567,0.938342,0.251204,3,7,0,23.6115,0.213957,0.0556245,0.112093,0.00416791,0.211643,0.120651,0.336615,0.00665782,0.359476,0.170713
-21.3319,0.928415,0.251204,4,15,0,29.073,0.382364,0.0104215,0.154124,0.0369884,0.865138,0.0207948,0.493713,0.0488665,0.155934,0.305082
-21.5451,0.524466,0.251204,4,15,0,29.9791,0.148966,0.0275825,0.0414597,0.289922,0.0311029,0.197895,0.319361,0.16695,0.0275011,0.118858
-28.9518,0.63306,0.251204,4,15,0,34.8755,0.350079,0.00407013,0.159984,0.00153976,0.214344,0.0165968,0.286241,0.0299849,0.0210509,0.279323
-24.6242,0.995428,0.251204,4,15,0,32.4352,0.190057,0.0159031,0.0782701,0.000326553,0.242508,0.0198395,0.449468,0.0344927,0.127846,0.151644
-20.1697,0.999056,0.251204,3,7,0,26.0378,0.294135,0.0278588,0.209499,0.00117567,0.442048,0.0347319,0.365229,0.168756,0.315559,0.234686
-21.2917,0.941865,0.251204,4,15,0,24.384,0.292948,0.0313875,0.170924,0.000527801,0.458902,0.0314341,0.36367,0.0968003,0.104915,0.233739
-19.0923,0.982801,0.251204,4,15,0,23.5814,0.199619,0.11844,0.160272,0.00187532,0.315023,0.162787,0.386372,0.114291,0.40982,0.159273
-20.7108,0.905259,0.251204,3,15,0,24.2913,0.256663,0.00781009,0.0254434,0.00643135,0.326741,0.0709218,0.296631,0.125886,0.0965354,0.204788
-22.1718,0.940731,0.251204,3,7,0,27.9063,0.12324,0.159218,0.0514464,0.00714814,0.109505,0.0282292,0.332883,0.135356,0.0546567,0.0983313
-21.2297,0.984093,0.251204,4,15,0,27.1228,0.334098,0.00692298,0.200492,0.0102128,0.636741,0.16617,0.389226,0.0186557,0.0347431,0.266572
-21.3924,0.978802,0.251204,4,15,0,24.7139,0.241875,0.00376077,0.206921,0.0355267,0.329318,0.0999376,0.463008,0.0361651,0.00568089,0.192988
-20.5803,0.976701,0.251204,4,15,0,25.4095,0.30351,0.0362405,0.190217,0.0164331,0.455457,0.0806734,0.46957,0.0372534,0.00756861,0.242166
-18.0367,0.911536,0.251204,4,15,0,23.9891,0.326492,0.0353052,0.33235,0.0166734,0.483858,0.0699398,0.395755,0.0662074,0.0594484,0.260503
-16.7103,0.979062,0.251204,3,15,0,21.5427,0.273683,0.0597541,0.0945675,0.0449584,0.45963,0.0934569,0.327234,0.118824,0.0249727,0.218367
-16.6534,0.981015,0.251204,3,7,0,19.0853,0.296844,0.0355318,0.210772,0.292265,0.352019,0.178265,0.333359,0.100124,0.0195031,0.236847
-15.4103,1,0.251204,3,7,0,18.0001,0.178239,0.0296779,0.124793,0.0960252,0.301761,0.0780292,0.38682,0.110448,0.0294306,0.142214
-18.4065,0.967516,0.251204,3,7,0,20.6552,0.131327,0.119795,0.072994,0.168121,0.0713673,0.155021,0.320602,0.102278,0.0188588,0.104784
-17.6701,0.935981,0.251204,3,7,0,20.6991,0.181417,0.0168986,0.0728606,0.0598326,0.198418,0.092026,0.325867,0.0577235,0.0156171,0.14475
-14.867,0.995391,0.251204,4,15,0,19.5184,0.189699,0.114405,0.0436573,0.177559,0.351331,0.141128,0.369212,0.10437,0.30188,0.151358
