# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=2
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/weight (kg) - 5a_halfnormal_uni - draws_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,theta.26,theta.27,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.280093
# Diagonal elements of inverse mass matrix:
# 0.0380543, 0.597999, 0.0423221, 1.36742, 0.202383, 0.732276, 0.989293, 1.46694, 1.30204, 1.13164, 0.356473, 1.14569, 0.873078, 0.799401, 1.15656, 1.2945, 0.52815, 1.13616, 1.43552, 1.24332, 0.901472, 0.0874547, 0.291349, 1.02898, 0.140938, 0.813285, 0.602591, 1.14651, 1.38945
-51.3045,0.991681,0.280093,3,7,0,58.9047,0.285511,0.164356,0.796482,0.0414932,0.121489,0.315943,0.0541056,0.0533631,0.0697725,0.163605,0.194319,0.163502,0.0762251,0.0368815,0.045428,0.0503559,0.27609,0.0557536,0.214326,0.0511891,0.328334,0.655397,0.231595,0.165573,0.270351,0.12016,0.087458,0.109716,0.0984291,0.227805
-53.3844,0.812984,0.280093,3,7,0,67.4343,0.299341,0.0973611,0.76512,0.00774275,0.207694,0.129542,0.0850423,0.0405688,0.244354,0.0181593,0.264048,0.0136507,0.316649,0.0813966,0.034473,0.189856,0.375082,0.180919,0.0259993,0.136416,0.262379,0.652081,0.249281,0.134998,0.187262,0.223522,0.24225,0.290222,0.233485,0.23884
-58.5354,0.913486,0.280093,4,15,0,66.2719,0.238995,0.085678,0.643777,0.0059742,0.206691,0.0564499,0.0310824,0.0586745,0.200977,0.0224985,0.259196,0.407206,0.0466824,0.050224,0.0224231,0.0785363,0.185178,0.151106,0.047302,0.124177,0.593872,0.671364,0.268376,0.134526,0.363873,0.220406,0.234877,0.158133,0.376799,0.190691
-64.0247,0.897363,0.280093,4,15,0,74.957,0.208629,0.07379,0.580532,0.0405058,0.172527,0.0500001,0.0352123,0.0138193,0.123332,0.0575842,0.105203,0.0214498,0.128382,0.0881441,0.0042721,0.139094,0.445784,0.0994662,0.0688327,0.0235598,0.0887731,0.404966,0.212679,0.113784,0.171399,0.0840429,0.0153447,0.0686431,0.127943,0.166462
-70.0874,1,0.280093,4,15,0,81.8505,0.14846,0.182287,0.261608,0.0199736,0.0553143,0.0265096,0.158616,0.0432549,0.0794398,0.16832,0.258144,0.254138,0.0218677,0.0907685,0.00452201,0.0273577,0.078437,0.0259496,0.0413223,0.0374285,0.0722878,0.336072,0.18817,0.0747604,0.285451,0.0347259,0.070891,0.0354357,0.116847,0.118454
-69.9957,0.836601,0.280093,4,15,0,91.6366,0.397876,0.190522,1.10358,0.0880198,0.0215104,0.210244,0.138174,0.0833082,0.0717809,0.0600671,0.437482,0.0158263,0.0925151,0.0130415,0.00654285,0.276412,0.139032,0.183903,0.057331,0.1844,0.833274,0.779801,0.324746,0.0496993,0.314749,0.216698,0.0269449,0.0326307,0.26512,0.317459
-62.5218,0.798683,0.280093,4,15,0,85.2691,0.244261,0.0996977,0.645103,0.0275945,0.050828,0.270378,0.0882335,0.0222498,0.340443,0.0988661,0.141003,0.00526001,0.043416,0.0865061,0.126342,0.0245916,0.482059,0.0892911,0.0175319,0.0284407,0.149525,0.659909,0.0900183,0.0512676,0.288626,0.109183,0.174902,0.0491046,0.354403,0.194892
-55.7708,0.956552,0.280093,4,15,0,71.6981,0.320913,0.0966146,0.718009,0.0840307,0.199542,0.0901533,0.0825223,0.0583891,0.0799468,0.0879845,0.531455,0.152868,0.235772,0.0368444,0.0658225,0.0529308,0.0834474,0.137152,0.0282402,0.0433732,0.392576,0.482217,0.154676,0.106251,0.184312,0.220161,0.185875,0.551364,0.23157,0.256052
-60.3378,0.627601,0.280093,4,15,0,71.9793,0.232866,0.250755,0.868988,0.0353517,0.147674,0.200012,0.16496,0.0658184,0.322699,0.173646,0.135533,0.00731367,0.15576,0.0952699,0.0512287,0.10539,0.0539193,0.0672211,0.165385,0.0432151,0.328238,0.549363,0.353345,0.215437,0.17758,0.0989443,0.0954132,0.00550423,0.053277,0.1858
-60.4446,0.793154,0.280093,4,15,0,74.1677,0.225028,0.103113,0.829172,0.0992897,0.273445,0.218649,0.0836007,0.0210957,0.0394332,0.111589,0.249081,0.00798753,0.219293,0.103473,0.0585547,0.0590395,0.0136559,0.0861193,0.121,0.0886494,0.250217,0.6007,0.210054,0.152054,0.27339,0.0308762,0.190677,0.0308348,0.0165375,0.179547
-65.2617,0.768438,0.280093,4,15,0,75.8891,0.319229,0.26669,0.925857,0.0481901,0.0883763,0.286166,0.0807141,0.0617995,0.141427,0.0389794,0.485137,0.0124548,0.156823,0.103475,0.043892,0.0862811,0.0246466,0.19255,0.0172699,0.0796368,0.129558,0.645868,0.0881548,0.0604159,0.308994,0.0711364,0.190292,0.0381563,0.00399867,0.254708
-62.2682,0.876419,0.280093,4,15,0,76.5425,0.228111,0.0683631,0.69835,0.0659955,0.250135,0.173172,0.0532504,0.0608733,0.205833,0.169935,0.134878,0.0179378,0.216958,0.0662339,0.0161839,0.0315731,0.0676572,0.0365427,0.0879772,0.0895935,0.0380284,0.655433,0.243605,0.229437,0.274995,0.277106,0.161317,0.0337684,0.00411618,0.182006
