# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=4
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/mid-upper arm circumference (cm) - 5a_halfnormal_uni - draws_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.222495
# Diagonal elements of inverse mass matrix:
# 0.174131, 1.45738, 1.20219, 1.11689, 0.711675, 0.603325, 0.0346104, 0.969172, 1.38623
-21.3569,0.95566,0.222495,4,31,0,25.4154,0.810588,0.0376397,0.0512309,0.276151,0.615027,0.00674435,0.434377,0.135358,0.467998,0.646756
-16.9564,0.99762,0.222495,4,15,0,22.9486,0.41582,0.137539,0.124554,0.214902,0.698093,0.0194892,0.390377,0.102876,0.321387,0.331777
-20.7045,0.912729,0.222495,3,7,0,22.9225,0.424855,0.249365,0.266145,0.428398,0.536966,0.01327,0.380614,0.0910159,0.433588,0.338985
-21.2421,0.980915,0.222495,4,15,0,27.7273,0.184868,0.00181429,0.0960439,0.0423172,0.328615,0.0349863,0.386058,0.0742669,0.00911454,0.147503
-15.2858,0.987142,0.222495,4,15,0,23.6739,0.284185,0.160515,0.212073,0.237527,0.365139,0.152879,0.380119,0.137842,0.591623,0.226747
-14.8509,0.999466,0.222495,4,15,0,17.2948,0.266124,0.148432,0.244896,0.266408,0.442433,0.150541,0.396246,0.111369,0.498398,0.212336
-16.3834,0.816294,0.222495,3,7,0,19.8229,0.414523,0.0634514,0.0251494,0.1253,0.366863,0.126247,0.360773,0.0831416,0.200129,0.330742
-15.5484,0.991197,0.222495,4,15,0,18.2108,0.3522,0.0700048,0.0354279,0.118299,0.713577,0.0947953,0.361902,0.0858229,0.172647,0.281015
-16.3504,0.989111,0.222495,3,15,0,18.1034,0.357079,0.0519619,0.0314309,0.0937584,0.598825,0.131953,0.381623,0.133184,0.0499818,0.284908
-15.6889,0.984322,0.222495,3,15,0,19.5716,0.173927,0.0415782,0.123579,0.0138843,0.273715,0.119199,0.36316,0.0959291,0.1114,0.138774
-16.9457,0.979333,0.222495,3,7,0,18.9114,0.237688,0.0725514,0.0342884,0.00956261,0.280671,0.123239,0.350876,0.116847,0.278923,0.189648
-17.5301,0.939137,0.222495,4,15,0,23.0676,0.326058,0.0608759,0.319686,0.00939367,0.266985,0.110724,0.457986,0.116537,0.361146,0.260157
