# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=12
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/weight (kg) - 6a_skewnormal_uni - draws_12.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_raw.1,theta_raw.2,theta_raw.3,theta_raw.4,theta_raw.5,theta_raw.6,theta_raw.7,theta_raw.8,theta_raw.9,theta_raw.10,theta_raw.11,theta_raw.12,theta_raw.13,theta_raw.14,theta_raw.15,theta_raw.16,theta_raw.17,theta_raw.18,theta_raw.19,theta_raw.20,theta_raw.21,theta_raw.22,theta_raw.23,theta_raw.24,theta_raw.25,theta_raw.26,theta_raw.27,theta_new_raw,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,theta.26,theta.27,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.170187
# Diagonal elements of inverse mass matrix:
# 0.00484887, 0.0545799, 0.0722205, 0.256244, 0.0389164, 0.0493628, 0.125181, 0.0803557, 0.0583428, 0.168179, 0.0866392, 0.142973, 0.120646, 0.114114, 0.0399675, 0.0334948, 0.0905704, 0.206021, 0.0818923, 0.0965794, 0.0575251, 0.420553, 0.255426, 0.0884621, 0.106917, 0.0863255, 0.0856893, 0.0676599, 0.290729, 0.40979, 29.6495
-4.74329,0.990228,0.170187,4,15,0,29.4863,-0.233831,0.62185,0.499882,2.06194,0.179415,0.403858,0.685975,0.477891,-0.122504,0.827541,0.659165,0.950644,0.865743,0.333779,0.417183,0.481297,-0.0107948,0.872046,0.65584,-0.0888238,0.384318,1.04132,1.79888,0.729521,0.259725,0.856012,0.640928,0.681478,0.422416,0.144569,8.89012,0.0770199,1.04839,-0.122262,0.0173072,0.192742,0.063345,-0.310011,0.280774,0.17607,0.357326,0.304531,-0.0262709,0.0255935,0.0654629,-0.240544,0.30845,0.174002,-0.289067,0.00515652,0.413713,0.884804,0.219821,-0.0723215,0.298479,0.164729,0.189946,0.0288479,-0.143931,0.259223
-10.1111,0.809388,0.170187,4,15,0,22.4806,-0.186755,0.581966,0.749738,1.89968,0.366336,0.790278,0.559486,0.244835,-0.187679,0.434325,0.442381,0.633432,1.05225,0.431185,0.21957,0.477981,-0.23159,1.04049,0.785457,0.125364,0.372256,1.66972,1.85207,0.699672,0.467939,0.725101,0.74307,0.514802,0.307814,0.285263,2.31434,0.249567,0.918794,0.0264399,0.273159,0.138847,-0.0442697,-0.295978,0.0660073,0.0706952,0.18188,0.425617,0.0641797,-0.058973,0.0914136,-0.321533,0.418777,0.270354,-0.113798,0.0298849,0.784965,0.891086,0.22043,0.0855692,0.235229,0.245686,0.112842,-0.00761837,-0.0207419,0.239498
-7.67724,0.9107,0.170187,4,15,0,21.0148,-0.209173,0.538798,0.603911,2.27509,0.396501,0.691978,0.731796,0.223594,-0.148324,0.46599,0.367842,0.727545,0.750468,0.25704,0.314537,0.633357,-0.00323615,0.735263,0.611742,-0.0357041,0.327851,1.93596,1.60464,0.646375,0.115338,0.850199,0.563304,0.539753,0.346428,0.548391,7.81138,0.116213,1.01664,0.00446077,0.163663,0.185117,-0.0887007,-0.289089,0.0419017,-0.0109803,0.182827,0.195177,-0.0706805,-0.0397013,0.132078,-0.210916,0.186985,0.120432,-0.22841,-0.0325277,0.833917,0.655405,0.139093,-0.147029,0.248912,0.0943341,0.081645,-0.022518,0.086299,0.217246
-10.7143,0.90701,0.170187,4,15,0,23.4986,-0.129678,0.482268,0.679565,1.70011,0.0391985,0.619796,0.267088,0.399054,0.241109,0.813234,0.148246,0.838352,0.313667,0.645821,0.498824,0.200078,0.319824,1.42475,0.64376,0.340789,0.187888,1.01951,1.18186,0.5439,0.7083,1.0551,0.259884,0.528645,1.25047,0.0742823,7.71272,0.198055,0.690229,-0.110774,0.16923,-0.000869748,0.0627728,-0.0133987,0.262519,-0.0581839,0.274632,0.0215937,0.181781,0.110889,-0.0331868,0.0245628,0.557435,0.180787,0.0346738,-0.0390655,0.361999,0.440296,0.132628,0.211913,0.379165,-0.00434429,0.125271,0.473382,-0.093854,0.251922
-17.469,0.894582,0.170187,4,15,0,30.4567,-0.141227,0.516047,0.698402,1.74112,-0.0741482,0.602796,0.196248,0.252583,0.166844,0.291441,0.0289827,0.747697,0.225901,0.428382,0.449932,0.141019,0.139709,1.53463,0.952597,0.299813,0.343957,1.07649,1.55056,0.693071,0.859081,1.17157,0.111585,0.696844,1.06563,0.0257044,7.84778,0.219182,0.757275,-0.179491,0.169845,-0.0399535,-0.010882,-0.0551272,0.00917065,-0.12627,0.24462,-0.0246512,0.0798389,0.0909594,-0.0684542,-0.06913,0.650716,0.350358,0.0134909,0.0362716,0.414291,0.658934,0.21643,0.3021,0.463358,-0.0836437,0.218378,0.408686,-0.127962,0.267217
-17.6702,0.998879,0.170187,4,15,0,27.9444,-0.143823,0.42662,0.474267,2.66852,0.570284,0.66601,1.23086,0.660791,-0.496691,0.884587,0.682717,1.23455,0.527813,0.681754,0.368894,0.595751,-0.0339318,0.373845,-0.121951,-0.356726,0.337419,0.716066,2.38679,0.85991,0.116067,0.680438,1.07232,0.578808,0.864128,1.1318,2.78616,0.0585086,0.994624,0.0994718,0.14031,0.381285,0.138084,-0.355722,0.23356,0.147438,0.382861,0.0813525,0.147027,0.0135544,0.110337,-0.158299,0.0156667,-0.19585,-0.29601,0.000126467,0.161665,0.874428,0.223032,-0.0943064,0.146465,0.313651,0.103108,0.224832,0.339024,0.17656
