# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=9
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/height (cm) - 5a_halfnormal_uni - draws_9.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.165482
# Diagonal elements of inverse mass matrix:
# 0.315411, 1.4393, 1.46499, 1.50691, 1.54418, 1.7945, 1.65865, 1.45896, 1.56626, 1.40529, 1.60927, 1.16202, 1.45221, 1.51162, 1.49571, 1.64337, 1.56518, 1.50342, 1.43248, 0.970356, 1.33535, 1.30964, 1.48945, 1.62429
-39.3601,0.872145,0.165482,4,15,0,50.3639,0.0843349,0.0233733,0.0417163,0.0334279,0.00539006,0.163158,0.0685689,0.0615223,0.0494843,0.137148,0.0531233,0.00930908,0.0193216,0.0545317,0.211006,0.0681919,0.00313148,0.145268,0.0547934,0.133561,0.0814979,0.0320123,0.0809334,0.0973319,0.0672895
-38.81,0.998832,0.165482,4,15,0,47.6115,0.0626204,0.127049,0.0530716,0.100551,0.00218365,0.0128588,0.056706,0.0490247,0.07369,0.0128765,0.0971407,0.0477548,0.0413461,0.0301442,0.0118096,0.0931283,0.0013843,0.045335,0.0589726,0.149196,0.0392458,0.107444,0.108838,0.0544073,0.0499639
-46.5086,0.794698,0.165482,4,15,0,54.6346,0.0771125,0.0257186,0.0833165,0.0495605,9.64586e-05,0.0113387,0.0732692,0.0375004,0.0673679,0.117376,0.0244399,0.12542,0.0244529,0.00876571,0.0559734,0.013076,0.00132675,0.133116,0.0658688,0.0486067,0.0542183,0.0204483,0.0306425,0.022784,0.0615269
-40.3132,0.968033,0.165482,4,31,0,57.6856,0.0694625,0.0873174,0.101634,0.0866413,0.000104426,0.049226,0.0713917,0.0125133,0.0686256,0.0838884,0.0610378,0.0769916,0.0538143,0.00308577,0.0611041,0.0435187,0.00715192,0.034866,0.108366,0.0947858,0.0129332,0.0500373,0.129628,0.0553518,0.0554231
-42.9585,0.94638,0.165482,5,31,0,56.2258,0.0441249,0.0195946,0.0405034,0.0231736,0.080385,0.0159555,0.0208119,0.00924469,0.0457017,0.023735,0.0170143,0.0250343,0.0637954,0.00120046,0.0157584,0.0254327,0.0649802,0.0767927,0.0297375,0.0255772,0.00343108,0.00158637,0.0346025,0.0114131,0.0352066
-43.5222,0.961918,0.165482,4,15,0,52.4619,0.046332,0.052726,0.036675,0.00592359,0.0099371,0.07502,0.0652491,0.00947769,0.00443109,0.0701067,0.0764542,0.0422029,0.0258526,0.00545648,0.0901754,0.065121,0.0216754,0.0135905,0.035886,0.0364534,0.00909526,0.000898057,0.062403,0.0117041,0.0369676
-40.069,0.849269,0.165482,4,15,0,52.4793,0.0451755,0.0475157,0.0435104,0.0778684,0.067868,0.00941843,0.0290667,0.0378467,0.0114874,0.0344187,0.010622,0.0339925,0.0707123,0.00374263,0.0054724,0.0367269,0.00836953,0.026936,0.0314012,0.0574305,0.0205332,0.00134375,0.0463718,0.084002,0.0360449
