# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=9
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/mid-upper arm circumference (cm) - 6a_skewnormal_uni - draws_9.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_raw.1,theta_raw.2,theta_raw.3,theta_raw.4,theta_raw.5,theta_raw.6,theta_raw.7,theta_new_raw,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.0691265
# Diagonal elements of inverse mass matrix:
# 0.158422, 0.252623, 0.740145, 0.5846, 0.567286, 0.839856, 0.538186, 0.684288, 0.544995, 0.981754, 91.6863
-8.79833,0.965111,0.0691265,5,31,0,16.0088,0.200751,0.34407,-1.89875,-0.0283765,-0.960878,-0.262885,-0.132967,0.0877555,-0.322753,-0.542081,-11.927,-0.45255,0.190987,-0.129858,0.1103,0.155001,0.230945,0.089701,0.014237,-0.0728175
-5.05539,0.857936,0.0691265,3,7,0,13.3012,0.312806,0.317507,-1.65774,-0.308769,-0.92715,-0.112369,-0.359664,-0.131547,-0.444956,-0.381727,-6.69201,-0.21354,0.214769,0.018429,0.277128,0.19861,0.271039,0.171529,0.191605,0.0622537
-6.97669,0.995697,0.0691265,5,31,0,10.2891,0.553438,0.304607,-2.48323,-0.782676,-0.392364,-0.0909019,-1.37229,-0.691685,-1.57718,-0.333479,-15.7559,-0.202972,0.315029,0.433921,0.525748,0.13543,0.342746,0.0730173,0.451858,0.310884
-10.8696,0.975523,0.0691265,5,31,0,12.2268,0.375649,0.218242,-2.54741,-1.24337,-0.278829,-0.46718,-1.55576,0.0417673,-1.47152,-0.89751,-23.524,-0.180304,0.104293,0.314797,0.27369,0.0361173,0.384764,0.0545023,0.179774,0.201674
-10.3241,0.779178,0.0691265,4,31,0,17.1128,0.44871,0.224493,-2.53557,-1.24861,-0.668464,-0.395745,-0.933063,-0.676603,-1.69242,-0.369181,-12.8221,-0.120508,0.168406,0.298645,0.359868,0.239244,0.296818,0.0687747,0.365832,0.270133
-10.743,0.991311,0.0691265,4,15,0,13.2333,0.468512,0.231886,-2.51984,-1.23007,-0.629337,-0.318014,-0.917746,-0.68374,-1.74552,-0.351017,-12.5547,-0.115801,0.183277,0.322578,0.39477,0.2557,0.309963,0.0637525,0.387117,0.284079
-9.80672,0.988905,0.0691265,5,31,0,17.5245,0.446918,0.500596,-1.38082,-0.631663,-0.919615,-0.508706,-0.568714,-0.529261,-0.659991,-2.37732,-12.2832,-0.244313,0.13071,-0.0134379,0.192261,0.162222,0.181972,0.116529,-0.743162,0.0488168
-6.74971,0.974592,0.0691265,5,31,0,12.8951,0.386681,0.314717,-2.1907,-0.776601,-0.469875,-0.671399,-0.942733,0.387815,-0.869761,0.197511,-2.38502,-0.302769,0.142271,0.238803,0.17538,0.0899865,0.508733,0.112952,0.448841,0.155104
-5.51586,1,0.0691265,4,15,0,8.38535,0.334807,0.279794,-1.86017,-0.633289,-0.550495,0.310404,-0.677557,-0.204354,-0.760905,0.0982484,-3.09498,-0.185658,0.157617,0.180782,0.421657,0.145231,0.277631,0.121911,0.362297,0.122377
-4.97728,0.971239,0.0691265,5,31,0,11.7076,0.423371,0.461023,-1.45528,-0.928229,-0.813354,-0.300856,-0.824618,0.0488825,-0.630493,-2.71307,-4.36903,-0.247545,-0.00456407,0.0483963,0.28467,0.0432031,0.445907,0.132699,-0.827419,0.0648002
-4.80616,0.919278,0.0691265,5,31,0,8.87856,0.710806,0.518737,-2.05266,-0.673554,-1.033,-0.0654662,-1.19259,-0.550211,-1.04969,-2.19266,-5.84827,-0.353985,0.361409,0.174949,0.676846,0.0921634,0.425391,0.166293,-0.426606,0.302835
-5.541,0.981281,0.0691265,4,31,0,15.9196,0.348905,0.284227,-1.72325,-0.201162,-0.0299648,-0.315143,-0.685796,-0.0232308,-1.01014,-0.262606,-18.8623,-0.140888,0.29173,0.340388,0.259333,0.153983,0.342302,0.0617973,0.274265,0.122443
-5.69752,0.977664,0.0691265,5,31,0,11.0442,0.749706,0.70981,-1.02688,-1.25503,-0.70952,-0.40347,-0.956529,-0.568944,-0.975586,-1.52115,-22.3546,0.0208173,-0.141129,0.246082,0.463318,0.0707519,0.345863,0.0572247,-0.330022,0.183925
-0.0390939,0.956501,0.0691265,5,31,0,9.51783,0.612098,0.717704,-1.51992,-1.06001,-0.94185,-0.0804862,-0.690741,-0.38227,-0.746539,-0.242494,-9.28628,-0.478756,-0.148673,-0.0638713,0.554333,0.116351,0.337742,0.0763039,0.438059,0.0427446
-1.723,0.979486,0.0691265,3,15,0,6.68168,0.525113,0.648314,-1.42277,-1.30826,-0.980322,-0.10285,-0.672221,-0.150535,-0.664419,-0.317251,-16.8535,-0.397286,-0.323053,-0.110444,0.458433,0.0893019,0.427518,0.0943605,0.319434,0.00874067
-2.65985,0.902547,0.0691265,5,31,0,9.64504,0.392469,0.427584,-1.76147,-1.32729,-0.925452,-0.139775,-0.673257,-0.128215,-0.528055,-0.91423,-12.6903,-0.360707,-0.175058,-0.00323933,0.332704,0.104595,0.337647,0.166681,0.00155902,0.0523609
-3.03348,0.924469,0.0691265,5,31,0,8.38167,0.815042,1.12208,-0.757398,-0.65665,-0.847165,-0.28581,-0.619272,-0.353176,-0.759002,-0.527054,-21.1003,-0.034821,0.078227,-0.135547,0.49434,0.120168,0.418749,-0.0366215,0.223644,-0.079247
-1.83104,0.838165,0.0691265,4,31,0,7.01107,0.754215,1.11837,-0.758334,-0.638899,-0.474168,0.0272673,-0.581288,-0.368376,-0.75531,-0.0847102,-4.94812,-0.0938795,0.0396921,0.223922,0.78471,0.104122,0.342236,-0.0904975,0.659478,-0.120429
-0.70008,0.680886,0.0691265,5,63,0,5.21888,0.600108,1.18609,-1.0009,-0.82269,-0.452405,-0.0935224,-0.352661,-0.177021,-0.476384,-0.456174,-5.19925,-0.587052,-0.375678,0.0635135,0.489182,0.18182,0.390145,0.0350723,0.0590441,-0.329224
1.43452,0.77889,0.0691265,4,15,0,3.50855,0.619888,1.09382,-0.79337,-0.567933,-0.423037,0.187073,-0.466546,-0.161509,-0.432973,-0.60487,-5.48155,-0.247914,-0.00132786,0.157162,0.824511,0.109571,0.443226,0.146294,-0.0417298,-0.238683
0.284375,0.824972,0.0691265,4,31,0,1.61712,0.543236,0.830258,-1.15355,-0.548075,-0.55476,-0.4183,-0.50995,-0.164314,-0.445951,-0.915481,-8.14703,-0.414505,0.0881923,0.0826417,0.195939,0.119846,0.406813,0.172981,-0.21685,-0.11428
-5.86155,0.829459,0.0691265,6,79,0,9.01532,0.079712,0.383423,-0.814264,0.0403778,-0.123869,0.657145,-0.0425878,0.784813,-0.314828,0.666936,1.47717,-0.232495,0.0951938,0.0322177,0.331676,0.0633829,0.380627,-0.0410001,0.335431,0.333048
-3.93185,0.986922,0.0691265,6,87,0,9.82086,0.725451,0.607111,-1.82411,-0.858419,-1.1893,-0.0793952,-0.804495,-0.581948,-1.01294,-1.43564,-4.17411,-0.381987,0.204296,0.00341362,0.67725,0.237034,0.372144,0.110482,-0.146142,0.254377
-0.337601,0.98895,0.0691265,5,63,0,6.1656,0.779833,0.701605,-1.68877,-0.958685,-1.13405,-0.129298,-0.985051,-0.551101,-0.944078,-1.32844,-5.62162,-0.405015,0.107215,-0.0158195,0.689117,0.0887162,0.393178,0.117463,-0.152207,0.228685
-2.34168,0.86882,0.0691265,4,31,0,6.67693,0.507378,0.541509,-1.19638,-0.647227,-0.983138,-0.183288,-0.852847,-0.164586,-0.888517,-1.8186,-7.2225,-0.140472,0.156899,-0.0250004,0.408126,0.0455533,0.418253,0.0262378,-0.47741,0.0793987
-3.43341,0.909945,0.0691265,5,31,0,6.81846,0.377742,0.374242,-1.94517,-0.361444,-0.579614,-0.0550729,-0.625296,-0.179332,-0.495168,-1.05263,-6.37072,-0.350223,0.242474,0.160826,0.357131,0.14373,0.310628,0.192429,-0.0161974,0.0827518
-3.4219,0.992553,0.0691265,5,31,0,6.85328,0.446614,0.416309,-1.26472,-1.02132,-0.692938,-0.714255,-0.840083,-0.337288,-0.91235,-0.880447,-2.86152,-0.0799023,0.0214284,0.158138,0.149263,0.0968797,0.306198,0.0667943,0.0800757,0.133043
-4.34548,0.876844,0.0691265,4,31,0,9.9966,0.599293,0.706591,-1.67634,-0.340239,-0.343842,0.123693,-0.681458,-0.270457,-0.649647,-0.254349,-12.3614,-0.585191,0.358883,0.356337,0.686694,0.117781,0.40819,0.140259,0.419573,0.0373505
-1.33951,0.845819,0.0691265,5,31,0,9.7595,0.83377,0.815343,-1.22949,-1.36885,-1.12138,-0.467421,-0.858227,-0.481439,-0.936739,-0.510971,-6.31134,-0.168686,-0.282309,-0.0805359,0.452661,0.134021,0.441232,0.0700062,0.417154,0.191235
-3.33788,0.88876,0.0691265,4,15,0,8.67859,1.05651,0.794617,-1.86044,-1.5243,-0.878011,0.0429699,-1.12635,-0.868585,-1.23439,-0.362581,-2.33568,-0.421829,-0.154725,0.358826,1.09065,0.161495,0.366316,0.0756433,0.768395,0.473668
-2.87804,0.632247,0.0691265,4,15,0,8.79709,1.04412,0.767518,-1.77192,-1.24149,-1.4215,-0.708305,-1.3405,-0.799401,-1.28683,-0.835987,-3.16611,-0.315866,0.0912512,-0.0469062,0.500481,0.0152622,0.430563,0.0564561,0.402483,0.460162
-5.62808,0.577319,0.0691265,5,31,0,10.8224,0.915643,0.950918,-1.23698,-1.12666,-0.803052,0.0188243,-1.04804,-0.557573,-0.803541,-0.0520835,-15.6457,-0.260624,-0.155719,0.152007,0.933544,-0.0809607,0.385437,0.151542,0.866116,0.158466
-10.1868,0.595487,0.0691265,5,63,0,14.8432,0.207468,0.232718,-1.50098,-0.642076,0.028714,0.184619,-0.722125,-0.0642486,-0.544427,-0.801806,-7.04561,-0.141837,0.0580456,0.21415,0.250432,0.0394169,0.192516,0.0807702,0.0208737,0.0236286
-2.85499,0.914428,0.0691265,5,63,0,14.1681,0.991987,0.974914,-1.05585,-0.943084,-1.00955,-0.0323149,-0.811189,-0.702885,-0.943825,-0.197397,-7.77562,-0.037373,0.0725616,0.00776437,0.960483,0.201147,0.306735,0.0718393,0.799543,0.220472
-3.07489,0.430269,0.0691265,4,31,0,6.61606,1.39355,1.48082,-1.02057,-0.780833,-0.595221,-0.546156,-0.837145,-0.72603,-0.944234,-0.578141,-2.67581,-0.117736,0.237272,0.51213,0.584786,0.153885,0.318426,-0.0046955,0.537423,0.286784
-1.52925,0.0416403,0.0691265,5,31,0,12.5631,0.840187,0.656608,-1.61272,-1.17315,-0.856251,-0.0759798,-1.11415,-0.531288,-1.09415,-0.692038,-8.06723,-0.218735,0.0698859,0.277967,0.790298,0.108628,0.491339,0.121761,0.38579,0.320269
-3.51774,0.917478,0.0691265,5,31,0,6.25118,0.816693,0.748935,-1.5391,-1.35358,-1.28119,-0.366303,-1.05765,-0.525802,-0.995224,-1.66321,-11.952,-0.335995,-0.197051,-0.142834,0.542355,0.0245785,0.422901,0.0713346,-0.428942,0.221209
-4.04535,0.822639,0.0691265,4,15,0,12.746,1.03184,0.788861,-1.69409,-1.04015,-0.992053,-1.03411,-1.14648,-0.87758,-1.21904,-1.6,-6.17231,-0.304562,0.211305,0.249245,0.216069,0.127426,0.339549,0.0701834,-0.230338,0.410518
-4.93584,0.760541,0.0691265,6,63,0,11.5338,1.08253,0.905857,-1.37713,-0.851895,-0.982422,-0.424786,-1.10419,-0.809981,-0.886677,-1.1443,-6.0029,-0.164949,0.310838,0.1926,0.697738,0.0822923,0.348806,0.279331,0.0459596,0.369588
-1.59134,0.990544,0.0691265,5,31,0,7.84527,0.64633,0.551338,-1.79087,-0.837986,-0.950964,-0.212551,-0.954877,-0.449465,-1.25099,-0.521272,-6.53948,-0.341046,0.184317,0.122027,0.529143,0.11987,0.398523,-0.0433862,0.358933,0.211481
