# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=6
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/Haemoglobin (g per dL) - 5a_halfnormal_uni - draws_6.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.111871
# Diagonal elements of inverse mass matrix:
# 1.27739, 1.76479, 2.44072, 2.37808, 2.61692, 2.52177, 2.53385, 2.34603, 2.61343, 2.40036, 2.37254, 2.27608, 2.04535, 2.70008, 2.47597
-33.6095,0.993857,0.111871,4,15,0,37.2989,0.022132,0.0286314,0.000684436,0.00398391,0.018606,0.00664237,0.0235996,0.0372822,0.0087369,0.00245864,0.0189478,0.0638389,0.00530124,0.00593905,0.000171309,0.0176588
-32.4012,0.930041,0.111871,4,31,0,43.8429,0.0255047,0.0143418,0.00452193,0.0046309,0.040123,0.013212,0.0272855,0.0165882,0.0714672,0.000140846,0.0165602,0.00424515,0.00318302,0.00672968,0.00106415,0.0203498
-26.1891,0.998776,0.111871,5,31,0,35.8451,0.0162961,0.0253517,0.014938,0.00279299,0.00808357,0.00752291,0.0178713,0.0185924,0.00600715,0.000172889,0.0223205,0.0126753,0.0299826,0.0235664,0.00285954,0.0130024
-28.2261,0.92015,0.111871,4,31,0,38.0017,0.0370483,0.00675096,0.0100106,0.00566189,0.0293759,0.0470737,0.0427886,0.0403718,0.0388324,0.000731846,0.0202017,0.00242508,0.0185211,0.0170115,0.00135977,0.0295602
-22.4948,0.994111,0.111871,5,31,0,31.4153,0.0521751,0.0218502,0.0480191,0.0872188,0.0394103,0.0114274,0.0580033,0.00282364,0.0816661,0.100425,0.0236926,0.0109157,0.0451325,0.0265801,0.0535653,0.0416297
-24.7221,0.75912,0.111871,5,47,0,30.9947,0.0154732,0.0128245,0.0342112,0.00240213,0.0162699,0.00307314,0.0176856,0.0275864,0.0193998,0.000481042,0.0234535,0.0229475,0.00895501,0.0229956,0.00929269,0.0123458
-26.0561,0.863694,0.111871,4,15,0,31.3964,0.0224534,0.0120855,0.00926507,0.00280789,0.0292555,0.00544207,0.0114392,0.00826168,0.0304583,0.000442003,0.039445,0.0230172,0.0186712,0.00386148,0.0299512,0.0179153
-26.7425,0.981197,0.111871,4,31,0,34.5904,0.0206067,0.0247206,0.029459,0.0135453,0.00973232,0.022063,0.0259697,0.00843707,0.00211064,0.00021397,0.00492404,0.0129349,0.00374969,0.0205496,0.00482658,0.0164418
-26.0866,0.979553,0.111871,5,31,0,35.0867,0.0111322,0.00462374,0.00439909,0.0183011,0.0262741,0.00764374,0.000334672,0.0240606,0.00806326,0.0047433,0.00656608,0.0136462,0.00481615,0.00790104,0.0195734,0.0088822
-26.6945,0.90957,0.111871,4,15,0,31.2647,0.0149487,0.006298,0.0164899,0.0117914,0.00639872,0.00241541,0.000436569,0.00708682,0.0359782,0.00361751,0.0154218,0.0249579,0.0326232,0.010675,0.0102722,0.0119273
-28.8533,0.999525,0.111871,5,31,0,33.0584,0.0124954,0.00129981,0.0184773,0.0229541,0.0246641,0.00452349,0.000142546,0.0100214,0.00403587,0.00250685,0.0180456,0.00996195,0.00559944,0.00209018,0.0157357,0.00996988
-26.8124,0.92709,0.111871,5,31,0,36.7678,0.00867955,0.00255543,0.0160212,0.00790032,0.000773391,0.0137012,0.00126595,0.000864088,0.00521228,0.00360392,0.0142505,0.010727,0.00295201,0.00464965,0.0155218,0.00692528
-23.3748,0.974062,0.111871,5,63,0,33.7435,0.0587562,0.0359297,0.0255553,0.00294927,0.0230532,0.0301702,0.0916351,0.015034,0.0490809,0.0658277,0.0137414,0.0191706,0.0699567,0.0291963,0.0173829,0.0468807
-23.0871,0.995821,0.111871,4,15,0,28.6392,0.0593904,0.0389247,0.0347089,0.00134853,0.0581949,0.0428263,0.0274436,0.0043049,0.0886612,0.0261212,0.0864458,0.0903818,0.0240404,0.0784523,0.0579443,0.0473867
-24.7409,0.907122,0.111871,5,31,0,34.8468,0.0317013,0.000556272,0.100063,0.0249132,0.0373839,0.00834095,0.0418893,0.0158592,0.0554592,0.0257269,0.0396791,0.0174419,0.00644065,0.0433889,0.0258222,0.025294
-25.7968,0.997573,0.111871,5,31,0,29.1101,0.0491861,0.000692491,0.019645,0.062737,0.0838377,0.00100129,0.0628393,0.032807,0.087072,0.0840814,0.0671352,0.03831,0.00818341,0.0609545,0.0680033,0.0392448
-28.9091,0.685201,0.111871,4,15,0,35.5132,0.0943468,0.00255301,0.17858,0.0416632,0.114284,0.00142154,0.0762788,0.114994,0.0119347,0.0110378,0.0308834,0.0991289,0.00822297,0.135048,0.0372412,0.0752779
-20.627,0.994247,0.111871,5,31,0,33.0934,0.0437808,0.0616323,0.0515207,0.0213947,0.0241421,0.0455853,0.0211603,0.0227992,0.0241032,0.0296956,0.0240487,0.00820024,0.0619395,0.0211011,0.0284833,0.0349321
-20.883,0.971737,0.111871,4,15,0,26.0214,0.0434505,0.00934391,0.0410415,0.030612,0.0712708,0.00934589,0.0668942,0.0659013,0.0793715,0.0394315,0.0610421,0.0149824,0.0134718,0.0760444,0.00934862,0.0346685
-24.6173,0.969062,0.111871,4,31,0,27.2053,0.048464,0.00664699,0.014972,0.00597178,0.0688028,0.0188885,0.0833131,0.0350634,0.0578495,0.0968,0.0388192,0.0196337,0.10422,0.0579253,0.0110712,0.0386687
-30.1815,0.869623,0.111871,5,31,0,37.3513,0.0623305,0.0380317,0.0115273,0.0601886,0.000376903,0.122494,0.05917,0.0661537,0.126112,0.00540959,0.00105494,0.0141612,0.0071625,0.107523,0.0525042,0.0497325
-31.262,0.882121,0.111871,5,31,0,40.4877,0.0524029,0.0341624,0.147039,0.0371664,0.00142303,0.0199659,0.0335484,0.0241157,0.0474451,0.00734793,0.166059,0.0165812,0.00101897,0.0516621,0.0401551,0.0418115
-28.1139,1,0.111871,4,15,0,35.3627,0.0510798,0.0324541,0.114602,0.0366522,0.00157388,0.021778,0.0346849,0.0207981,0.0362534,0.00936996,0.136914,0.0204892,0.00102628,0.0582971,0.0357168,0.0407558
-26.6058,0.798545,0.111871,4,15,0,36.0372,0.0549944,0.0243122,0.0328094,0.0602305,0.00224081,0.0230217,0.0767539,0.0450908,0.0140083,0.00791776,0.00683449,0.0490245,0.00143271,0.082455,0.0863548,0.0438792
-24.8631,0.980393,0.111871,5,31,0,30.9351,0.0293607,0.0243957,0.0215474,0.0131067,0.0482037,0.0211787,0.0123832,0.0252502,0.0040157,0.00437238,0.0579395,0.0212485,0.0720355,0.0127462,0.0123729,0.0234264
-22.0307,0.991941,0.111871,4,15,0,30.3164,0.0302124,0.0404813,0.0167773,0.010216,0.0557933,0.0255072,0.0232068,0.0153592,0.0071861,0.00481347,0.0267308,0.0131816,0.046374,0.0156117,0.0289049,0.024106
-27.4178,0.934647,0.111871,5,31,0,32.3063,0.0270488,0.00431454,0.053978,0.00848243,0.00386831,0.0139416,0.0125132,0.00225878,0.0291983,0.00261494,0.0318904,0.041568,0.00126659,0.0177801,0.0282398,0.0215819
-25.2412,0.993334,0.111871,4,31,0,34.0268,0.0270034,0.0525658,0.0315124,0.0405962,0.0142929,0.0149604,0.0379699,0.00340597,0.0101392,0.00425211,0.027468,0.0236939,0.00160143,0.0539034,0.046842,0.0215456
-21.9274,0.999682,0.111871,4,31,0,28.5594,0.03182,0.0108245,0.0490505,0.024461,0.0408344,0.0138801,0.0174158,0.0275945,0.0893558,0.0390307,0.0281952,0.0473903,0.00241133,0.0228204,0.0130307,0.0253887
-23.1936,0.997307,0.111871,4,31,0,28.5741,0.053494,0.0151931,0.059239,0.0432179,0.0453917,0.00548916,0.0204088,0.0137904,0.0837313,0.0308378,0.0482281,0.0334096,0.00368502,0.013926,0.0118909,0.0426821
-26.5881,0.949246,0.111871,4,15,0,35.5179,0.0468587,0.0541968,0.0246373,0.0457285,0.049388,0.000354086,0.0723051,0.00124455,0.0386457,0.0391119,0.00628317,0.0352851,0.0304648,0.0342583,0.0140219,0.0373878
-31.1088,0.94135,0.111871,5,31,0,40.7938,0.0609309,0.0249109,0.0161868,0.030977,0.0718328,0.00156867,0.0476965,0.00368298,0.11668,0.0694119,0.126975,0.003189,0.00385851,0.00393055,0.109468,0.0486158
-20.6968,0.996526,0.111871,4,15,0,34.7202,0.0368298,0.017304,0.0673152,0.0347284,0.0225799,0.0471647,0.0522278,0.0204765,0.0175833,0.0190022,0.0116621,0.0247939,0.00337164,0.073773,0.0238562,0.0293859
-24.8637,0.953946,0.111871,4,15,0,28.4783,0.0621194,0.051036,0.0166758,0.0461861,0.0441316,0.0199504,0.0440634,0.0385899,0.106212,0.00188124,0.109142,0.0397342,0.00590776,0.00886399,0.0922615,0.0495641
-22.6461,0.877396,0.111871,5,31,0,35.7209,0.0714704,0.0460668,0.0217734,0.0686089,0.0582319,0.089686,0.0354491,0.171136,0.0643391,0.0138458,0.0992202,0.0532129,0.0183751,0.0142572,0.0897118,0.0570252
-24.7823,0.983642,0.111871,4,31,0,29.5309,0.0673599,0.0287042,0.0998762,0.0460721,0.0747323,0.0747744,0.0370886,0.0159185,0.0259231,0.000371706,0.0357793,0.0393754,0.083419,0.181004,0.0588645,0.0537455
-29.9366,0.945925,0.111871,4,31,0,37.1013,0.0368859,0.0178273,0.0624046,0.0149266,0.0395421,0.0751587,0.00164421,0.0473028,0.134717,0.000139061,0.0396614,0.0215787,0.0168624,0.0167585,0.030379,0.0294307
-26.2077,0.548744,0.111871,4,15,0,34.6266,0.0402516,0.0193363,0.0452404,0.0161519,0.0395676,0.0586643,0.00130316,0.0485,0.0863693,0.000221494,0.0393063,0.0217027,0.0159526,0.0110057,0.028617,0.0321162
-23.7517,0.938595,0.111871,4,31,0,32.6072,0.0354138,0.0128668,0.0114313,0.0530913,0.0367647,0.00759406,0.0317094,0.0249665,0.0107439,0.00131985,0.0217947,0.0312604,0.0490526,0.0119632,0.0487777,0.0282561
-21.9958,0.992788,0.111871,5,31,0,27.3758,0.0316766,0.0325375,0.0689682,0.0137481,0.0222449,0.0843593,0.0287099,0.0359359,0.0211767,0.00409226,0.0197513,0.034324,0.0195494,0.0123565,0.0208277,0.0252743
-21.9886,0.870392,0.111871,4,15,0,33.1986,0.0487732,0.0123691,0.0613737,0.0342696,0.082967,0.0192965,0.0899025,0.00999294,0.0365163,0.011903,0.0522753,0.0132775,0.00725507,0.0204417,0.0197586,0.0389154
-20.4583,0.954946,0.111871,4,15,0,27.9477,0.0443274,0.0272875,0.0492012,0.0318574,0.0188731,0.0767666,0.0913129,0.0171135,0.0504929,0.00969689,0.0603393,0.00977439,0.0133797,0.0376357,0.0176974,0.0353682
-24.8597,0.86945,0.111871,5,31,0,32.7853,0.0531727,0.0666401,0.0854742,0.0210614,0.0351423,0.0461382,0.0089473,0.0270115,0.00400065,0.00280057,0.0451789,0.0500385,0.0683668,0.0758061,0.0251429,0.0424257
-23.4932,0.931781,0.111871,4,15,0,34.0576,0.0258304,0.0117352,0.0367021,0.0446983,0.00595965,0.014974,0.0656514,0.00500449,0.00245527,0.0224072,0.035172,0.0261649,0.0208693,0.0270935,0.0392927,0.0206097
-20.2283,0.992915,0.111871,5,31,0,26.0939,0.0186902,0.0173281,0.015875,0.0113621,0.02301,0.0109258,0.0105529,0.00616569,0.0271599,0.00587762,0.015763,0.00760703,0.00404837,0.0149017,0.0139112,0.0149127
-20.9077,0.983303,0.111871,4,15,0,28.2419,0.0232718,0.00632563,0.0120886,0.0173853,0.0235554,0.0340103,0.0239675,0.0291495,0.0254761,0.0019139,0.0198726,0.0399324,0.00985436,0.0150149,0.0351747,0.0185682
-18.9141,0.987148,0.111871,5,47,0,25.3229,0.0563739,0.0180656,0.0502048,0.0849557,0.0765108,0.038574,0.0912932,0.0624198,0.0535001,0.0280113,0.0503006,0.0220023,0.0814907,0.116996,0.0278199,0.0449799
-20.46,0.991063,0.111871,4,31,0,25.4755,0.113003,0.0206128,0.198248,0.0504697,0.122173,0.13377,0.0634647,0.0801793,0.0627758,0.0162795,0.194214,0.0571361,0.0662008,0.101993,0.0884986,0.0901631
-17.8862,0.935489,0.111871,4,15,0,25.0852,0.058765,0.0290543,0.0434335,0.0538364,0.0958755,0.0240394,0.0507547,0.0385988,0.111624,0.0735236,0.0341068,0.027799,0.0488843,0.0970108,0.10011,0.0468877
-20.5,0.919021,0.111871,4,15,0,25.7928,0.0998646,0.067675,0.101783,0.0681738,0.120639,0.145626,0.132958,0.100122,0.157332,0.0889789,0.0488246,0.142835,0.0976796,0.00743443,0.0363735,0.0796805
-21.5355,0.977489,0.111871,4,15,0,24.8868,0.153402,0.021081,0.055511,0.0618709,0.240264,0.206309,0.211711,0.112771,0.22128,0.0636138,0.0573609,0.072392,0.0903785,0.00654962,0.0570174,0.122397
-22.0719,0.8976,0.111871,4,15,0,29.0398,0.132913,0.06954,0.226308,0.103112,0.0698119,0.0705986,0.0508519,0.111717,0.143925,0.110921,0.166571,0.0864576,0.0499928,0.26215,0.322477,0.106049
-23.3318,0.896015,0.111871,4,15,0,30.3036,0.241361,0.0450714,0.0807137,0.0674433,0.530342,0.122437,0.0670585,0.14908,0.219091,0.043634,0.0467502,0.0562058,0.0161053,0.185269,0.126124,0.192578
-22.1835,0.994968,0.111871,4,15,0,27.3525,0.108264,0.0346754,0.0397736,0.0569228,0.0108633,0.187018,0.129203,0.0365752,0.0848612,0.126263,0.139652,0.0386352,0.127477,0.0881849,0.172488,0.0863818
-26.0817,0.902211,0.111871,4,15,0,32.9906,0.150581,0.0502126,0.0427667,0.0259073,0.0187849,0.168493,0.170134,0.0189279,0.0272381,0.0339232,0.129614,0.184067,0.025074,0.241754,0.14489,0.120146
-22.0731,0.96543,0.111871,4,15,0,31.686,0.0712492,0.0281209,0.0986639,0.0935558,0.0326999,0.0247117,0.0557053,0.152997,0.055064,0.0341036,0.0171294,0.0123595,0.0761798,0.0200942,0.0537648,0.0568487
-22.9411,0.983937,0.111871,4,15,0,31.3533,0.119767,0.0254158,0.0556182,0.0172326,0.0154906,0.21738,0.0843629,0.0267416,0.243925,0.0121764,0.0282076,0.0964152,0.0426703,0.16023,0.146268,0.09556
-26.104,0.835041,0.111871,3,7,0,28.0182,0.119149,0.0305282,0.056588,0.014428,0.011293,0.302549,0.0896441,0.0271113,0.333321,0.0124985,0.0326669,0.111389,0.0523319,0.119233,0.153631,0.0950675
-19.0131,1,0.111871,4,15,0,30.7945,0.0745088,0.0114372,0.118429,0.0308982,0.0938053,0.040966,0.0887187,0.0364446,0.0612448,0.0185142,0.122114,0.0354933,0.0749894,0.110988,0.0574477,0.0594494
-20.4775,0.968611,0.111871,4,15,0,23.1751,0.0756771,0.0739797,0.0432838,0.087129,0.0617474,0.0602051,0.0673842,0.109054,0.14216,0.0348817,0.0106635,0.092643,0.0111124,0.0408224,0.0728798,0.0603817
-18.2367,0.990659,0.111871,5,31,0,25.7359,0.0539047,0.0508495,0.103028,0.0533887,0.0308588,0.0950714,0.0412112,0.0516386,0.0563428,0.0246872,0.0237506,0.0240584,0.0421296,0.0255951,0.0564183,0.0430098
-19.6896,0.895911,0.111871,4,15,0,25.0243,0.0980675,0.0220642,0.0509823,0.0789601,0.0551833,0.0748993,0.0276443,0.0888633,0.154882,0.0822897,0.0289832,0.0702721,0.0943383,0.0307356,0.0749215,0.0782466
-17.1089,0.993397,0.111871,4,15,0,23.2204,0.082834,0.0438486,0.150521,0.0612824,0.0831179,0.111034,0.0383883,0.0867854,0.120318,0.0874782,0.0787089,0.087401,0.0342904,0.0579653,0.07261,0.066092
-19.5636,0.947741,0.111871,4,15,0,23.8279,0.0960384,0.0185999,0.0678096,0.0637996,0.0724743,0.104379,0.119622,0.0850064,0.149277,0.0123965,0.108313,0.0720793,0.0346162,0.207877,0.0138871,0.0766276
-19.6542,0.966106,0.111871,4,31,0,25.0027,0.0788195,0.0642068,0.105112,0.0754414,0.11007,0.104181,0.0587232,0.0085315,0.112546,0.0459865,0.0539976,0.0576817,0.0160902,0.0328667,0.157568,0.0628889
-21.0489,0.945685,0.111871,4,15,0,26.1958,0.075662,0.0628727,0.134215,0.0469055,0.0834534,0.0378551,0.0630573,0.00454138,0.134099,0.0826185,0.0957417,0.0607434,0.0119929,0.0216372,0.108283,0.0603695
-20.2032,0.978731,0.111871,4,15,0,26.394,0.082353,0.0437823,0.0857201,0.0990859,0.0681289,0.0195815,0.0462463,0.0187371,0.134001,0.0269951,0.0873892,0.0861762,0.00581655,0.0976146,0.102319,0.0657082
-23.449,0.968913,0.111871,5,31,0,27.4192,0.0514398,0.00447795,0.00950603,0.0129179,0.00469993,0.0507762,0.117839,0.0357272,0.0898162,0.0408635,0.0270826,0.0216733,0.0469708,0.0283917,0.034315,0.041043
-22.2167,0.997272,0.111871,4,31,0,27.4058,0.060964,0.0118192,0.00671445,0.0436842,0.00634248,0.090596,0.0412897,0.0691838,0.0797825,0.0282474,0.0630243,0.0911673,0.0265084,0.11541,0.0812474,0.0486422
-28.5338,0.746747,0.111871,4,15,0,33.5376,0.0590098,0.100207,0.00721028,0.084071,0.00293235,0.0865145,0.0855024,0.0127891,0.0320801,0.115599,0.0823485,0.0440332,0.0095669,0.0213276,0.0516453,0.047083
-31.7397,0.796071,0.111871,5,63,0,41.2167,0.0237691,1.04443e-05,0.026531,0.0222752,0.00595828,0.0228654,0.0101663,0.00277952,0.00879795,0.00480566,0.0193381,0.00973531,0.00360435,0.00350838,0.0130718,0.018965
-30.5592,0.981707,0.111871,5,31,0,45.6149,0.0507153,0.00281311,0.087481,0.0441525,0.0280393,0.0871614,0.00370031,0.0185413,0.0524179,0.0433893,0.0745028,0.0339346,0.00790825,1.48564e-05,0.049467,0.040465
-30.0587,0.986445,0.111871,5,31,0,35.0426,0.072376,0.00591859,0.0407028,0.0843738,0.0068796,0.0520875,0.00686236,0.0485113,0.132991,0.0819499,0.0525941,0.0369675,0.0143641,5.05059e-05,0.0506689,0.0577477
-34.9445,0.971447,0.111871,5,63,0,38.9185,0.0659825,0.0645265,0.0252548,0.0106325,0.0708295,0.0106939,0.036407,0.0185292,0.00634168,0.0108151,0.012216,0.0219283,0.0132429,1.85922e-05,0.0229168,0.0526464
-30.7553,0.964817,0.111871,5,31,0,42.6557,0.0436691,0.000631229,0.0418997,0.0124335,0.00779172,0.00599466,0.0229266,0.0122254,0.0237283,0.0180553,0.0267792,0.0144894,0.0351817,0.161451,0.0138485,0.034843
-28.2011,1,0.111871,4,15,0,35.4643,0.0252589,0.000277737,0.0382971,0.0375618,0.00529085,0.0109263,0.0953147,0.0114786,0.0399381,0.0311517,0.0283717,0.0293588,0.00845319,0.01418,0.0198452,0.0201537
-27.9842,1,0.111871,5,31,0,32.4886,0.0408537,0.00014083,0.0131265,0.020723,0.012741,0.0605986,0.00146608,0.05324,0.0369075,0.0274578,0.0113085,0.0116265,0.0551069,0.0454831,0.0323529,0.0325966
-28.367,0.94043,0.111871,4,31,0,36.9545,0.0397906,0.000133203,0.0977841,0.0458722,0.0214253,0.0345149,0.00084575,0.0201271,0.0325334,0.0296333,0.0160533,0.0218744,0.0385196,0.0073474,0.0515724,0.0317483
-28.8713,0.844857,0.111871,5,31,0,37.35,0.0399992,0.000154326,0.00188328,0.0179031,0.0968084,0.0405204,0.0723326,0.00730645,0.0554457,0.0139248,0.0721383,0.0486843,0.00876323,0.0328065,0.0255773,0.0319148
-31.9944,0.990708,0.111871,4,31,0,36.8261,0.0648858,5.23097e-05,0.000865105,0.0196328,0.0442905,0.0811146,0.0643897,0.0144959,0.0854621,0.0177469,0.067425,0.0431062,0.00405325,0.086857,0.00469042,0.0517714
-27.4482,0.965924,0.111871,4,31,0,42.271,0.075016,0.00148173,0.0366052,0.0232501,0.166949,0.0514684,0.041635,0.0127392,0.180962,0.0695119,0.0668443,0.0532416,0.192288,0.0924939,0.10374,0.0598541
-29.5576,0.998372,0.111871,5,31,0,39.2998,0.153724,0.000419392,0.130248,0.140666,0.175939,0.0292332,0.0541208,0.0634677,0.261844,0.00664286,0.0202192,0.0503882,0.0018758,0.217032,0.0612698,0.122654
-23.9318,0.966011,0.111871,4,15,0,33.9313,0.0814157,0.00189715,0.0552131,0.0315324,0.0899187,0.0208292,0.221233,0.13397,0.062169,0.0307314,0.0578012,0.087976,0.00898398,0.0869502,0.0639497,0.0649603
-26.002,0.974039,0.111871,4,15,0,31.229,0.126956,0.00342612,0.157912,0.0228631,0.114804,0.0167351,0.0901944,0.0755003,0.0839706,0.0392809,0.195985,0.184288,0.00482061,0.122744,0.0857152,0.101296
-24.229,0.999694,0.111871,4,31,0,33.8593,0.19608,0.0292475,0.130305,0.0253165,0.364877,0.0187626,0.304011,0.107992,0.375142,0.0234145,0.0839074,0.0451281,0.0130168,0.324317,0.150546,0.156449
