# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=9
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/weight (kg) - 5a_halfnormal_uni - draws_9.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,theta.26,theta.27,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.244582
# Diagonal elements of inverse mass matrix:
# 0.0395997, 0.570655, 0.0449053, 1.2172, 0.3502, 0.793536, 1.21825, 1.46681, 1.23039, 1.33379, 0.343763, 1.09022, 0.980033, 0.85938, 0.942183, 1.56847, 0.555325, 1.22247, 1.5702, 1.17802, 0.89886, 0.0948084, 0.330449, 1.09236, 0.205797, 0.726139, 0.462039, 1.02087, 1.21928
-57.9127,0.98481,0.244582,4,15,0,70.9741,0.207358,0.0987549,0.635044,0.0824222,0.147274,0.182353,0.0508749,0.00610063,0.0292917,0.0278869,0.279725,0.270156,0.101569,0.087956,0.00643075,0.123513,0.187489,0.115291,0.00936973,0.035524,0.540387,0.506276,0.153037,0.109813,0.320828,0.11876,0.207654,0.084252,0.279139,0.165448
-58.3779,0.989077,0.244582,4,15,0,70.0485,0.297576,0.22759,0.842679,0.0203076,0.183274,0.193222,0.158567,0.0166866,0.45663,0.10437,0.121073,0.0551087,0.121987,0.0768103,0.0089035,0.0840462,0.461273,0.120775,0.000442378,0.118303,0.0778314,0.588598,0.225606,0.168148,0.203916,0.219294,0.11844,0.282375,0.175141,0.237431
-58.9516,0.936784,0.244582,4,15,0,72.6359,0.209234,0.132282,0.692788,0.0586452,0.153711,0.158513,0.114702,0.128288,0.0323818,0.128436,0.121988,0.168117,0.243044,0.0379848,0.161349,0.102841,0.142933,0.100674,0.0525332,0.0187473,0.0213113,0.566768,0.15391,0.179484,0.352086,0.119496,0.056714,0.150275,0.0485076,0.166944
-64.0843,0.930059,0.244582,4,15,0,79.4987,0.253628,0.0889465,0.549939,0.0479991,0.207194,0.094624,0.0214073,0.0155892,0.056526,0.0249792,0.257114,0.0992218,0.032027,0.0685135,0.00950623,0.104299,0.43262,0.0814291,0.00224852,0.000612779,0.227033,0.635608,0.319148,0.119949,0.200216,0.105047,0.248905,0.245095,0.118011,0.202366
-62.4681,0.939627,0.244582,4,15,0,78.4809,0.237345,0.116559,0.577799,0.0329382,0.230383,0.167792,0.0446179,0.0336725,0.0525539,0.0172069,0.354823,0.0713323,0.0980646,0.105802,0.00380509,0.163482,0.201247,0.0439791,0.00365962,0.000461923,0.283004,0.710454,0.271672,0.0773302,0.201647,0.153226,0.228147,0.412353,0.191576,0.189374
-63.2097,0.925319,0.244582,4,15,0,74.2405,0.320432,0.215682,0.975791,0.0270268,0.089161,0.12116,0.235008,0.0140228,0.210053,0.0337456,0.267529,0.206391,0.106261,0.0542071,0.0282114,0.0154499,0.395717,0.230442,0.00243716,0.000372503,0.249817,0.527312,0.192922,0.0599369,0.367827,0.17639,0.109869,0.0858243,0.282682,0.255668
-66.4733,0.917028,0.244582,4,15,0,81.7462,0.267932,0.141587,0.592967,0.0523204,0.0909695,0.13498,0.0493781,0.119901,0.0538947,0.0929402,0.264783,0.10545,0.254351,0.0921802,0.0334328,0.135619,0.292423,0.0185605,0.430351,0.000300089,0.0282592,0.601011,0.27304,0.0314445,0.128093,0.173635,0.246274,0.0566112,0.154364,0.213779
-70.8217,0.776211,0.244582,4,15,0,80.9951,0.329169,0.143976,0.703355,0.0372213,0.0532102,0.239978,0.0270603,0.119476,0.0496496,0.0482188,0.377728,0.0657028,0.210902,0.125357,0.0563426,0.224752,0.179692,0.0124611,0.0317417,0.000563518,0.0237192,0.590586,0.386379,0.0283261,0.144135,0.11406,0.144463,0.0359066,0.0562485,0.262639
-64.7071,0.750145,0.244582,4,15,0,84.7252,0.261479,0.158055,0.993506,0.0561156,0.265446,0.122039,0.280489,0.0145017,0.0696246,0.224945,0.320228,0.186452,0.190661,0.0528854,0.0789713,0.0199316,0.175685,0.0329,0.00917785,0.00917198,0.0400168,0.760404,0.116947,0.197368,0.447978,0.232656,0.216127,0.559202,0.69886,0.20863
-63.8362,0.928891,0.244582,4,15,0,76.2923,0.262956,0.0756033,0.64119,0.0447313,0.111628,0.1223,0.0327711,0.131417,0.108204,0.0353614,0.35906,0.134194,0.121248,0.124982,0.0677869,0.182564,0.211008,0.200097,0.153464,0.00333653,0.0435984,0.535732,0.373956,0.104393,0.124914,0.0646043,0.160608,0.0372895,0.0101861,0.209808
-63.6863,0.951487,0.244582,4,15,0,76.4629,0.256442,0.0793974,0.665034,0.0290417,0.108818,0.106,0.0493652,0.199868,0.0788014,0.0473665,0.309422,0.112761,0.181113,0.101324,0.0972315,0.251136,0.229976,0.233484,0.163122,0.0047502,0.040708,0.527453,0.311937,0.101976,0.1284,0.065494,0.175597,0.05592,0.00967998,0.204611
-56.8931,0.842133,0.244582,4,15,0,76.0766,0.270353,0.150608,0.857685,0.0431642,0.2113,0.342441,0.245971,0.00405099,0.318743,0.0669855,0.217121,0.0184534,0.156212,0.0722773,0.0114996,0.0307525,0.373663,0.0387528,0.0569099,0.128764,0.4164,0.761202,0.13755,0.206577,0.238706,0.260332,0.15277,0.542409,0.0534559,0.215711
-61.8821,0.786607,0.244582,4,15,0,73.6169,0.342554,0.0638463,0.88321,0.0749973,0.136585,0.120844,0.0410118,0.014861,0.157589,0.0597503,0.170493,0.0725273,0.257415,0.119694,0.00943825,0.276188,0.187439,0.173963,0.00372109,0.0444112,0.387913,0.872998,0.300514,0.108173,0.418832,0.121774,0.257472,0.0487487,0.0499122,0.273319
-63.713,0.970748,0.244582,4,15,0,76.3745,0.238219,0.147435,0.819459,0.0193466,0.218905,0.228288,0.126194,0.00346725,0.243733,0.00568959,0.0885674,0.155661,0.140864,0.0603551,0.0698546,0.0309083,0.481892,0.0830269,0.0106206,0.0104511,0.347747,0.404365,0.166341,0.243891,0.128611,0.225284,0.119775,0.507575,0.0130229,0.190072
