# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=7
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/Haemoglobin (g per dL) - 6a_skewnormal_uni - draws_7.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_raw.1,theta_raw.2,theta_raw.3,theta_raw.4,theta_raw.5,theta_raw.6,theta_raw.7,theta_raw.8,theta_raw.9,theta_raw.10,theta_raw.11,theta_raw.12,theta_raw.13,theta_new_raw,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.1397
# Diagonal elements of inverse mass matrix:
# 0.00358953, 1.04834, 0.317086, 0.535214, 0.412924, 0.569749, 0.608025, 0.556533, 0.455817, 0.681633, 0.440629, 0.426687, 0.413219, 0.420795, 0.588625, 0.586724, 58.8529
-12.1441,0.976067,0.1397,4,15,0,20.8604,0.184194,0.120708,-1.0364,-2.16007,-0.515275,-0.154271,-0.0487827,-1.36791,-0.00458229,-0.270359,-1.04505,-1.98772,-1.63368,-1.54988,-0.00874578,-0.0820968,-3.54375,0.0590929,-0.0765424,0.121996,0.165572,0.178305,0.0190772,0.183641,0.15156,0.058049,-0.0557394,-0.0130035,-0.00288794,0.183138,0.174284,0.0915029
-8.32791,0.834686,0.1397,4,15,0,18.6292,0.0370014,0.0564793,-0.952305,-0.361974,-0.72812,-1.28898,-1.52579,0.120608,-1.21045,-0.169661,-1.45826,-0.610187,-1.10434,-1.57167,-0.894701,-0.898584,-10.6148,-0.0167841,0.0165574,-0.00412228,-0.0357995,-0.0491743,0.0438133,-0.0313638,0.0274191,-0.0453599,0.00253849,-0.025371,-0.0517654,-0.0135307,-0.01375,-0.00786392
-8.29482,0.993843,0.1397,4,31,0,17.3021,0.0445607,0.0473785,-0.362157,-0.680641,-0.999283,-1.60146,-0.774147,-0.721017,-0.272477,-0.236241,-1.98297,-1.2239,-1.58516,-1.69291,-1.13873,-0.564436,-2.85529,0.0274023,0.012313,-0.00278379,-0.0313142,0.00788284,0.0104001,0.0316512,0.033368,-0.0493896,-0.0134256,-0.0305418,-0.0356466,-0.0093904,0.0178186,0.00888298
-8.23253,0.985764,0.1397,4,31,0,13.9513,0.0164846,0.0510095,0.178123,-0.265906,-0.430217,-1.83114,-0.498347,-0.0859458,-0.232415,-0.196023,-1.42794,-1.3398,-1.24585,-1.28371,-0.638657,-0.0582585,-7.07787,0.0255706,0.00292088,-0.00546053,-0.0769209,-0.00893582,0.0121006,0.00462923,0.00648561,-0.0563538,-0.051858,-0.0470654,-0.048997,-0.016093,0.0135129,-0.0238149
-6.09904,0.975537,0.1397,4,15,0,14.0317,0.061366,0.0227876,-1.18042,-0.209606,-0.070019,-1.78436,-0.591602,-0.567111,-0.338386,-0.322743,-1.06474,-0.865809,-0.732576,-1.02049,-0.744515,-0.554616,-18.0195,0.034467,0.0565896,0.0597704,0.0207048,0.0478848,0.0484429,0.053655,0.0540115,0.0371033,0.0416363,0.0446724,0.0381115,0.0444003,0.0487277,0.0432121
1.10427,0.92045,0.1397,5,31,0,8.88037,0.120345,0.268792,-0.490404,-0.059989,-0.746189,-0.319794,-0.187217,3.67634e-05,-0.552062,-0.201919,-0.370041,-0.36471,-0.67301,-0.835976,-0.470058,-1.00368,-4.95819,-0.0114721,0.10422,-0.0802249,0.0343867,0.0700221,0.120354,-0.0280452,0.0660705,0.0208807,0.0223136,-0.0605549,-0.104359,-0.00600304,-0.149436,-0.0898871
