# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=9
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/weight (kg) - 6a_skewnormal_uni - draws_9.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_raw.1,theta_raw.2,theta_raw.3,theta_raw.4,theta_raw.5,theta_raw.6,theta_raw.7,theta_raw.8,theta_raw.9,theta_raw.10,theta_raw.11,theta_raw.12,theta_raw.13,theta_raw.14,theta_raw.15,theta_raw.16,theta_raw.17,theta_raw.18,theta_raw.19,theta_raw.20,theta_raw.21,theta_raw.22,theta_raw.23,theta_raw.24,theta_raw.25,theta_raw.26,theta_raw.27,theta_new_raw,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,theta.26,theta.27,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.171579
# Diagonal elements of inverse mass matrix:
# 0.00497815, 0.0569949, 0.0721085, 0.243765, 0.0395256, 0.0507852, 0.127059, 0.0856441, 0.0664701, 0.164998, 0.0848074, 0.136812, 0.117104, 0.114875, 0.0372935, 0.034759, 0.109446, 0.194228, 0.0840499, 0.111338, 0.0574704, 0.382198, 0.248181, 0.0871761, 0.107396, 0.0820699, 0.0806792, 0.0682572, 0.272314, 0.400827, 33.4951
-6.07804,0.997778,0.171579,4,15,0,22.8407,-0.17469,0.477251,0.786473,2.03221,0.334152,0.697394,0.559965,0.669509,0.162522,1.36834,0.342799,1.1292,0.112603,0.474813,0.544004,0.385395,0.267336,0.783615,0.221524,0.186895,0.472565,1.67122,1.90458,1.05026,0.673152,0.937995,0.737891,0.708178,1.74924,0.105797,7.67902,0.200656,0.795187,-0.0152153,0.158143,0.0925542,0.144835,-0.0971257,0.478351,-0.0110883,0.364221,-0.12095,0.0519153,0.0849369,0.00924056,-0.0471034,0.199292,-0.0689669,-0.085494,0.0508427,0.622902,0.734272,0.326547,0.146573,0.27297,0.17747,0.163289,0.660135,-0.124198,0.202914
-4.66372,0.941765,0.171579,4,15,0,16.5709,-0.246403,0.585359,0.649507,2.14535,0.440784,0.835815,0.197724,0.596164,-0.0305612,0.608564,0.490538,0.912314,0.379605,0.602257,0.534682,0.547856,0.149581,1.24348,0.261668,-0.021187,0.637064,1.31128,2.20275,0.889472,0.324587,0.860085,0.702806,0.532173,1.37169,0.557503,6.54333,0.133792,1.0094,0.0116137,0.242849,-0.130663,0.102567,-0.264292,0.109826,0.0407377,0.287628,-0.024198,0.106133,0.0665778,0.0742893,-0.158844,0.481476,-0.0932332,-0.258805,0.126508,0.521166,1.043,0.274257,-0.0564031,0.257056,0.164991,0.0651096,0.55653,0.0799362,0.215286
-10.0815,0.94562,0.171579,4,15,0,20.2995,-0.172087,0.478597,0.824699,2.03123,0.195168,0.682776,0.96379,0.704889,-0.119045,0.168254,0.397685,1.07833,0.194712,0.700653,0.539219,0.332795,0.192423,1.35585,0.677908,0.798567,0.601228,0.703829,1.84343,0.708238,1.05589,0.629561,0.431859,0.918666,1.43398,0.526814,5.10871,0.222612,0.800053,-0.0786798,0.154688,0.28918,0.165271,-0.229062,-0.0915609,0.0182442,0.343999,-0.0788981,0.163244,0.0859816,-0.0128123,-0.0799936,0.476818,0.152358,0.210105,0.115659,0.164764,0.710174,0.166874,0.333258,0.129219,0.0345998,0.267584,0.514212,0.0800449,0.202667
-11.8711,0.798625,0.171579,4,15,0,30.0471,-0.187598,0.48743,0.606397,2.18844,0.298839,0.67554,0.52395,0.210102,0.131299,0.829865,-0.0106542,1.08131,0.723109,0.75814,0.280909,0.484783,0.532213,1.28731,-0.136026,0.467013,0.172197,0.767449,1.92162,0.638585,0.777513,1.12016,0.573794,0.696709,0.825793,0.151662,10.2165,0.107978,0.879111,-0.0419355,0.14168,0.0677906,-0.0851884,-0.123599,0.216903,-0.192792,0.339465,0.164866,0.181942,-0.050675,0.0486994,0.0718182,0.439873,-0.253901,0.0400376,-0.103664,0.186479,0.749054,0.123667,0.191385,0.358403,0.092086,0.151998,0.214918,-0.113674,0.199465
-14.1135,0.904484,0.171579,4,15,0,28.0244,-0.230076,0.511258,0.735503,1.98257,0.299297,0.713935,0.858582,0.758169,0.24641,0.923943,0.825006,0.982222,0.589743,0.671582,0.699724,0.462234,-0.112504,0.93767,1.11791,-0.443147,0.52816,2.12329,1.60754,1.30408,0.406017,0.82862,0.490197,0.621252,0.20215,0.504533,2.10189,0.145956,0.783531,-0.0770574,0.13493,0.208881,0.157544,-0.104096,0.242298,0.191715,0.272093,0.0714354,0.113276,0.127664,0.00624534,-0.287594,0.249316,0.341465,-0.456638,0.0399503,0.855475,0.591792,0.436644,-0.0224963,0.193563,0.0205415,0.0875446,-0.126725,0.027871,0.138285
-16.6194,0.888912,0.171579,4,15,0,31.1239,-0.231038,0.527783,0.657429,2.03955,0.248013,0.734541,0.829482,0.791285,0.276734,0.820202,0.830226,0.996934,0.73153,0.684409,0.761655,0.406119,-0.0648519,1.03789,1.12815,-0.52536,0.540208,2.09409,1.67632,1.32808,0.385662,0.828286,0.451854,0.639705,0.198876,0.695896,3.02678,0.115942,0.845401,-0.100141,0.15664,0.206748,0.186588,-0.084983,0.20185,0.207141,0.295127,0.155051,0.130181,0.17095,-0.0166956,-0.265266,0.316742,0.364379,-0.508314,0.0540744,0.874186,0.653692,0.469898,-0.0274925,0.206117,0.00744261,0.106587,-0.126075,0.136244,0.168814
