# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=3
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/Haemoglobin (g per dL) - 6a_skewnormal_uni - draws_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_raw.1,theta_raw.2,theta_raw.3,theta_raw.4,theta_raw.5,theta_raw.6,theta_raw.7,theta_raw.8,theta_raw.9,theta_raw.10,theta_raw.11,theta_raw.12,theta_raw.13,theta_new_raw,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.0937718
# Diagonal elements of inverse mass matrix:
# 0.00449776, 1.29797, 0.462106, 0.643369, 0.49484, 0.676178, 0.655033, 0.66921, 0.565695, 0.750649, 0.544532, 0.582078, 0.522277, 0.522469, 0.706145, 0.700096, 70.0061
-5.9112,0.996935,0.0937718,5,31,0,12.9754,-0.0528524,0.103673,0.541196,1.62251,0.772705,1.71188,-0.237146,0.997149,0.873993,1.72124,0.412958,0.360546,-0.0847874,0.676884,0.484837,0.794953,5.9697,0.00325492,0.115358,0.0272562,0.124624,-0.0774381,0.050525,0.037757,0.125593,-0.0100398,-0.0154736,-0.0616426,0.0173221,-0.00258795,0.0295627,0.02873
-6.50529,0.827888,0.0937718,5,31,0,15.1511,-0.0388363,0.120476,0.240881,1.12295,0.0815948,1.59698,1.3483,0.427207,1.52765,1.77335,1.23008,1.25286,-0.00484259,0.585264,1.40625,0.882249,5.67048,-0.00981608,0.0964514,-0.0290062,0.153561,0.1236,0.0126317,0.145208,0.174808,0.109358,0.112102,-0.0394198,0.0316736,0.130582,0.0674531,0.0558285
-3.87195,0.997729,0.0937718,5,31,0,12.2638,-0.0389194,0.122257,0.287709,1.02349,0.844812,1.4957,0.903581,1.21502,-0.0987199,2.10713,0.0784002,0.934992,0.799131,0.381577,0.56438,1.16506,8.20596,-0.00374484,0.0862097,0.0643651,0.143941,0.0715501,0.109626,-0.0509886,0.218694,-0.0293344,0.0753903,0.0587803,0.00773128,0.0300803,0.103518,0.0579116
-8.16243,0.824439,0.0937718,5,31,0,17.8792,-0.0781949,0.121715,0.692413,0.430453,0.122374,0.237386,0.189528,0.245694,2.0776,0.182795,1.23723,0.876049,0.88338,0.586406,0.406658,0.0655577,6.99025,0.00608215,-0.0258023,-0.0633002,-0.0493014,-0.0551264,-0.0482902,0.17468,-0.0559459,0.0723951,0.0284334,0.0293257,-0.00682053,-0.0286985,-0.0702155,0.0179409
-2.62205,0.978845,0.0937718,4,15,0,13.6913,-0.0224618,0.0957444,0.0730782,1.21555,0.466262,0.434867,0.552062,0.997526,1.27732,0.876248,1.26678,0.460465,0.208769,-0.0713571,0.47788,0.537705,5.40408,-0.015465,0.0939205,0.0221801,0.0191743,0.030395,0.0730457,0.0998346,0.061434,0.0988255,0.0216251,-0.00247335,-0.0292939,0.0232925,0.0290204,0.0526559
-6.98511,0.994314,0.0937718,5,31,0,10.4455,-0.0388011,0.1017,0.598314,0.391237,0.191268,1.7875,0.201301,0.355567,0.794518,2.47668,1.86903,0.434985,0.325219,0.949412,0.877335,0.712216,9.5624,0.0220472,0.000987567,-0.0193492,0.142987,-0.0183288,-0.00264011,0.0420011,0.213076,0.151278,0.00543675,-0.0057264,0.0577537,0.0504235,0.033631,0.0419034
-5.49552,0.979746,0.0937718,4,31,0,11.7634,0.0355521,0.0573497,-0.353311,0.689308,0.333463,1.06584,0.377469,0.685319,0.539545,1.51425,1.4424,0.372446,0.253128,0.389711,0.818786,0.0506087,4.22013,0.0152898,0.0750837,0.0546761,0.096678,0.0571998,0.0748549,0.0664948,0.122394,0.118273,0.0569117,0.0500689,0.0579019,0.0825092,0.0384545,0.0800776
-5.5806,0.976643,0.0937718,4,31,0,13.8,-0.0271065,0.127171,-0.176163,0.886044,0.253445,0.736457,-0.0780234,0.895783,-0.0767341,1.99045,1.37033,0.571419,0.1673,0.431051,0.999433,0.0718564,2.42012,-0.0495093,0.0855725,0.00512436,0.0665494,-0.0370288,0.0868111,-0.0368648,0.226021,0.14716,0.0455614,-0.00583083,0.0277106,0.0999923,-0.0179685,0.066671
-7.2497,0.958071,0.0937718,5,31,0,14.7566,0.0385992,0.0529079,0.0950534,0.803137,0.603643,1.16648,1.53183,0.957206,1.25685,0.819639,0.643799,0.566916,1.64093,0.957537,0.385723,0.976598,11.3563,0.0436283,0.0810915,0.0705367,0.100315,0.119645,0.089243,0.105097,0.0819646,0.0726612,0.0685935,0.125418,0.0892605,0.059007,0.0902689,0.0806509
-11.5949,0.995314,0.0937718,4,15,0,16.073,0.00197173,0.0507517,0.0851118,0.921266,0.118176,0.664471,1.63218,1.2306,1.76769,0.490584,1.24232,0.772193,2.24502,1.06448,0.152073,1.29725,1.49237,0.0062913,0.0487276,0.00796934,0.0356948,0.0848079,0.0644269,0.0916849,0.0268697,0.0650214,0.0411619,0.11591,0.0559961,0.00968971,0.0678093,0.0356118
-11.5949,0.172138,0.0937718,2,3,0,17.1648,0.00197173,0.0507517,0.0851118,0.921266,0.118176,0.664471,1.63218,1.2306,1.76769,0.490584,1.24232,0.772193,2.24502,1.06448,0.152073,1.29725,1.49237,0.0062913,0.0487276,0.00796934,0.0356948,0.0848079,0.0644269,0.0916849,0.0268697,0.0650214,0.0411619,0.11591,0.0559961,0.00968971,0.0678093,0.0356118
-11.758,0.967115,0.0937718,4,15,0,21.0391,-0.00421101,0.032562,0.550894,0.0937271,0.488654,0.544465,-0.0139455,1.95509,1.62687,0.742153,1.55368,2.15653,0.510088,0.84346,0.998152,1.96858,14.1201,0.0137272,-0.00115907,0.0117006,0.0135179,-0.00466511,0.0594506,0.0487631,0.019955,0.0463799,0.0660101,0.0123985,0.0232538,0.0282909,0.0598898,0.0217048
-12.365,0.953952,0.0937718,5,31,0,23.4325,0.00815246,0.00802508,2.0343,0.97028,1.1189,1.42379,1.60135,0.986556,0.158654,1.51757,1.10742,0.470515,0.715592,0.123585,1.58898,-0.0771307,11.0785,0.0244779,0.015939,0.0171317,0.0195785,0.0210034,0.0160696,0.00942567,0.0203311,0.0170396,0.0119284,0.0138951,0.00914424,0.0209041,0.00753348,0.0145296
-12.0394,0.8985,0.0937718,4,15,0,20.7257,-0.0219791,0.00661043,1.50468,0.991235,1.13961,1.69953,1.5183,0.254174,0.264478,2.19049,1.12729,0.73498,0.0387924,0.316204,0.926635,0.957311,5.24575,-0.0120326,-0.0154266,-0.0144458,-0.0107445,-0.0119425,-0.0202989,-0.0202308,-0.00749905,-0.0145272,-0.0171206,-0.0217227,-0.0198889,-0.0158537,-0.0156509,-0.0167981
-15.0266,0.99324,0.0937718,5,31,0,20.806,0.0594861,0.0158192,1.00029,-0.507533,1.89947,1.3435,1.8905,0.624165,0.528036,1.82904,1.23279,0.546764,0.280524,1.32871,1.18382,0.450095,1.06447,0.0753099,0.0514574,0.0895341,0.0807391,0.0893923,0.0693599,0.0678392,0.0884201,0.0789878,0.0681355,0.0639238,0.0805052,0.0782132,0.0666063,0.0686854
-13.7499,0.488121,0.0937718,5,31,0,26.2093,-0.00951667,0.00814956,-0.0813856,1.69365,1.20404,0.222274,1.18463,0.353224,-0.193569,-0.123953,-0.100939,-0.176775,0.119708,0.194744,-0.498092,1.13538,2.43946,-0.0101799,0.00428585,0.000295725,-0.00770523,0.000137562,-0.00663805,-0.0110942,-0.0105268,-0.0103393,-0.0109573,-0.0085411,-0.00792959,-0.0135759,-0.000263825,-0.00350015
-8.04087,0.989428,0.0937718,5,31,0,18.9888,0.0706907,0.0127738,0.44619,0.289833,0.105338,0.560733,1.88645,0.19546,0.644218,0.737401,1.09287,1.37656,0.145997,0.350374,0.772089,1.43741,6.97965,0.0763903,0.074393,0.0720363,0.0778534,0.0947879,0.0731875,0.0789198,0.0801101,0.0846508,0.0882746,0.0725556,0.0751663,0.0805532,0.0890519,0.0807797
-12.8338,0.985247,0.0937718,5,31,0,17.1112,-0.0330113,0.0380031,-0.608312,1.61078,0.335165,0.673779,1.86682,0.716317,0.616511,0.981636,0.807228,1.50793,0.246715,0.318169,-0.390209,1.54929,0.912138,-0.0561291,0.0282035,-0.020274,-0.00740564,0.0379334,-0.00578906,-0.00958202,0.00429389,-0.00233418,0.0242948,-0.0236354,-0.0209199,-0.0478405,0.0258666,-0.0125771
-12.53,0.9858,0.0937718,5,31,0,20.3901,-0.0105481,0.0470487,-0.258037,1.33743,0.425271,-0.0580759,1.52564,0.700366,1.41472,0.475744,0.535125,1.27206,-0.258246,0.37097,-0.83657,2.13207,1.51299,-0.0226884,0.0523765,0.00946037,-0.0132805,0.0612315,0.0224032,0.0560126,0.011835,0.0146289,0.0493006,-0.0226982,0.00690558,-0.0499076,0.0897632,0.0207691
-11.1965,0.572152,0.0937718,5,31,0,19.0749,0.0325773,0.0759021,-0.0588567,1.89174,-0.628506,0.0582212,0.737893,0.689818,1.14163,0.142731,0.706552,1.09151,-0.253193,0.870333,0.927517,1.98326,1.71568,0.02811,0.176164,-0.0151276,0.0369964,0.0885849,0.084936,0.11923,0.0434109,0.086206,0.115425,0.0133595,0.0986374,0.102978,0.183111,0.0848995
