# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=10
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/height (cm) - 5a_halfnormal_uni - draws_10.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.116494
# Diagonal elements of inverse mass matrix:
# 0.957982, 2.26481, 2.03558, 2.22306, 1.97034, 2.09719, 2.26175, 2.41317, 2.22351, 2.13065, 2.09964, 1.80043, 2.00385, 2.2107, 2.23052, 2.04278, 2.19819, 2.06979, 2.11362, 1.90661, 1.9988, 2.12954, 2.27277, 2.17701
-39.163,0.972586,0.116494,5,31,0,48.7132,0.12735,0.0760242,0.0474814,0.0277131,0.0163403,0.047166,0.108349,0.104785,0.24495,0.0404821,0.212823,0.0269335,0.00493951,0.0228942,0.100262,0.0500054,0.0932464,0.0679971,0.0458506,0.194255,0.068756,0.0385031,0.0491452,0.218261,0.101611
-39.705,0.941204,0.116494,4,15,0,53.0813,0.126902,0.241935,0.19477,0.119972,0.0181208,0.0688315,0.111768,0.0951367,0.0766813,0.118641,0.114132,0.0163421,0.0316393,0.0325907,0.0273908,0.249595,0.0271021,0.270127,0.037654,0.138977,0.149763,0.0106884,0.0425816,0.101378,0.101253
-40.2648,0.979333,0.116494,4,31,0,55.9192,0.136771,0.244293,0.126878,0.174214,0.0170751,0.0441784,0.0789045,0.109861,0.0468419,0.0997586,0.196699,0.0199355,0.0195314,0.0493385,0.0593706,0.159556,0.0347513,0.226642,0.0301512,0.0935877,0.149349,0.00476715,0.0279662,0.0780903,0.109127
-33.4319,0.989817,0.116494,4,31,0,47.9301,0.0713612,0.0700178,0.099871,0.0852195,0.079668,0.0135612,0.0533145,0.0828774,0.0319,0.0231099,0.0696285,0.0919251,0.040032,0.0605762,0.0692836,0.0695736,0.0455994,0.0807941,0.115998,0.16559,0.0213942,0.00299873,0.0451138,0.110387,0.056938
-34.0641,0.884573,0.116494,4,31,0,48.3904,0.0693197,0.0717386,0.113537,0.12994,0.0473544,0.0235268,0.0387574,0.0315798,0.0749744,0.031996,0.0667639,0.0667235,0.0751339,0.0753643,0.042796,0.0228823,0.0518967,0.0356733,0.142631,0.0768124,0.0206283,0.00541503,0.0878572,0.0573722,0.0553092
-34.321,0.964011,0.116494,4,31,0,43.9779,0.0918293,0.128607,0.0836919,0.120202,0.0528891,0.0396413,0.0144467,0.0537672,0.0934699,0.0123657,0.0760323,0.126459,0.170403,0.140033,0.0365418,0.0476595,0.0778808,0.0686179,0.0719146,0.0658479,0.02214,0.0186278,0.0605233,0.077411,0.0732692
-31.9828,1,0.116494,4,31,0,39.9152,0.0652232,0.0829716,0.061527,0.0910849,0.0237285,0.0298472,0.0120767,0.0863258,0.0939724,0.0406117,0.0600966,0.0885802,0.0618048,0.0470982,0.094782,0.0372468,0.0482247,0.0261373,0.0595035,0.0518081,0.0131353,0.0228359,0.0719654,0.1165,0.0520406
-34.8654,0.902176,0.116494,4,15,0,40.51,0.0926058,0.059353,0.0223741,0.0657646,0.124441,0.0981969,0.0650049,0.0312484,0.0380867,0.0691159,0.0751545,0.0474267,0.0115422,0.0997002,0.0602034,0.0232298,0.0382772,0.0376131,0.0592485,0.190082,0.0127435,0.130893,0.073395,0.0220693,0.0738888
-36.3217,0.994749,0.116494,4,15,0,42.8998,0.071001,0.0222573,0.0640908,0.0813299,0.0347298,0.0264795,0.0874383,0.158349,0.161904,0.0380871,0.0654506,0.128746,0.122534,0.0542716,0.0693414,0.0351166,0.00722191,0.143344,0.0821825,0.0649498,0.0125413,0.0337897,0.118726,0.0346316,0.0566506
-38.1088,0.981985,0.116494,4,15,0,50.9339,0.0781557,0.0246596,0.103957,0.0238202,0.142424,0.0116512,0.0473247,0.0301733,0.0590716,0.126203,0.0713055,0.0657034,0.0570741,0.0660117,0.109448,0.171014,0.00191572,0.032049,0.0838135,0.109672,0.00316805,0.07754,0.0694013,0.0744819,0.0623593
