# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=12
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/mid-upper arm circumference (cm) - 5a_halfnormal_uni - draws_12.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.285753
# Diagonal elements of inverse mass matrix:
# 0.158339, 1.3869, 1.23185, 1.0209, 0.817091, 0.59902, 0.0337314, 0.761084, 1.35671
-20.5721,0.974588,0.285753,3,7,0,24.2667,0.206061,0.000295077,0.061863,0.0472248,0.388002,0.123936,0.305798,0.0376016,0.277094,0.164413
-19.0717,0.886582,0.285753,3,15,0,26.6108,0.187187,0.0183435,0.0709953,0.360289,0.122001,0.107579,0.248137,0.0758105,0.079741,0.149354
-18.6188,0.976482,0.285753,4,15,0,24.7991,0.110402,0.0118484,0.121156,0.152372,0.224747,0.126975,0.252789,0.0330094,0.0812101,0.0880884
-19.0736,0.847835,0.285753,4,15,0,23.2609,0.253066,0.142043,0.0436802,0.0665714,0.072703,0.078671,0.340968,0.170176,0.100605,0.201917
-18.4173,0.977894,0.285753,3,15,0,23.9496,0.292989,0.0562698,0.157424,0.139941,0.118379,0.187942,0.27565,0.0684149,0.561036,0.233772
-17.9559,0.961642,0.285753,3,15,0,21.0003,0.399433,0.0556615,0.111901,0.105065,0.153673,0.109624,0.283233,0.102552,0.258132,0.318701
-26.8667,0.90291,0.285753,3,7,0,27.8759,0.54064,0.0701946,0.574239,0.0357324,0.112187,0.107416,0.245173,0.166146,0.0551386,0.431369
-22.3501,1,0.285753,3,7,0,29.8034,0.343764,0.0388563,0.0367362,0.514771,1.24373,0.100517,0.357633,0.0790829,0.195886,0.274284
-20.7201,1,0.285753,3,7,0,24.021,0.628054,0.0736605,0.0582808,0.0933263,0.125592,0.104177,0.332542,0.140655,0.232066,0.501115
-22.6245,0.991594,0.285753,4,15,0,25.3633,0.174881,0.075907,0.123265,0.00490136,0.0363638,0.096102,0.448777,0.0875349,0.00913344,0.139535
-22.0445,0.883628,0.285753,3,7,0,26.6263,0.182031,0.0205945,0.263576,0.00496665,0.0584783,0.122276,0.427445,0.0811109,0.0138875,0.14524
