# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=12
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/height (cm) - 5a_halfnormal_uni - draws_12.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.138274
# Diagonal elements of inverse mass matrix:
# 0.581322, 1.77466, 1.95493, 1.55849, 1.63894, 2.11372, 1.49015, 1.78524, 1.68361, 1.85042, 1.78569, 1.60303, 1.57174, 1.72094, 1.7772, 1.72827, 1.70169, 1.78332, 1.65321, 1.38363, 1.90687, 1.49574, 1.71397, 1.81186
-37.6528,0.999449,0.138274,4,31,0,49.5175,0.0377299,0.0296852,0.00598849,0.0386562,0.0696032,0.0404605,0.0483645,0.011706,0.0318759,0.00576174,0.0134685,0.00529613,0.0115344,0.089026,0.0335719,0.018097,0.0190921,0.0200112,0.0291199,0.0509732,0.0193307,0.0493051,0.0159398,0.0297939,0.0301041
-35.9022,0.995659,0.138274,4,15,0,44.8678,0.0386094,0.0612215,0.0108566,0.033244,0.0294409,0.0147774,0.0187559,0.0262064,0.0179575,0.0850078,0.00771425,0.00658649,0.025654,0.018295,0.0427849,0.0155323,0.059144,0.0815553,0.0285508,0.0664473,0.0508112,0.0223624,0.0265141,0.0426132,0.0308059
-40.41,0.891464,0.138274,4,15,0,47.9455,0.0339288,0.0583663,0.0931256,0.0399688,0.0729921,0.034736,0.0483071,0.0282811,0.0778837,0.0292603,0.0193789,0.00633069,0.0345645,0.0194269,0.011,0.00774911,0.0153177,0.0153294,0.0169047,0.0439558,0.0279965,0.00303278,0.0223369,0.0576972,0.0270713
-40.6255,0.993913,0.138274,4,15,0,48.6278,0.0549912,0.0449366,0.0108692,0.059514,0.0227569,0.0546608,0.037652,0.0497045,0.0191245,0.031985,0.0473287,0.010059,0.0298812,0.103618,0.0381681,0.00140071,0.0303116,0.147783,0.0131029,0.118437,0.0544131,0.00839071,0.0103454,0.0228717,0.0438767
-57.0325,0.722288,0.138274,5,31,0,66.3388,0.0605657,0.0575313,0.134475,0.0264492,0.00989079,0.0262812,0.0220745,0.0440203,0.00554847,0.0141408,0.0648719,0.00183532,0.0155025,0.00179226,0.00833187,0.0111012,0.0234306,4.93684e-05,0.100283,0.107062,0.101529,0.119416,0.00481415,0.00595032,0.0483245
-45.9539,0.948191,0.138274,4,15,0,68.1679,0.06064,0.0290516,0.00868495,0.0576926,0.0506603,0.0630553,0.0301585,0.0127783,0.11816,0.0399717,0.0301252,0.129632,0.00957889,0.0110724,0.0607048,0.0331359,0.018235,0.000348122,0.00453888,0.0546669,0.00784593,0.00784149,0.133217,0.036954,0.0483838
-45.5521,0.710746,0.138274,4,31,0,63.28,0.0449949,0.0479805,0.0105459,0.0271783,0.0413805,0.0126905,0.0353468,0.00737635,0.024523,0.0519043,0.0387173,0.023565,0.00668829,0.0156416,0.0458716,0.101999,0.0955141,0.000211806,0.0071516,0.0156881,0.0109063,0.0246895,0.0234657,0.00874844,0.0359008
-43.1037,0.995725,0.138274,4,15,0,53.5615,0.0343147,0.0186275,0.00187091,0.0244772,0.0674831,0.0126059,0.0736901,0.0113111,0.0609053,0.0550832,0.0645883,0.012049,0.00847032,0.0288871,0.0717768,0.0266932,0.0312423,0.000974181,0.0273427,0.01536,0.0368399,0.0267297,0.0183139,0.00723722,0.0273792
-41.5902,0.873297,0.138274,4,31,0,62.1303,0.0974485,0.0189185,0.00113924,0.139935,0.0431999,0.0448096,0.0271779,0.174568,0.00967864,0.0600376,0.0464021,0.069208,0.025058,0.0604248,0.0188486,0.00327583,0.00713558,0.0658219,0.0664807,0.129713,0.064137,0.0741246,0.11728,0.15778,0.0777527
-44.3904,0.975653,0.138274,4,31,0,52.9052,0.0969909,0.190585,0.00464601,0.0573214,0.0477975,0.131495,0.0246052,0.0340814,0.301572,0.139995,0.00146861,0.0799712,0.0613791,0.0528183,0.24751,0.00314969,0.0308806,0.156887,0.0747701,0.122084,0.0734148,0.0915662,0.0946392,0.0243904,0.0773876
-45.1765,0.994906,0.138274,4,31,0,56.4516,0.074619,0.034357,0.201904,0.0387069,0.0698071,0.033108,0.00101423,0.139771,0.00182967,0.0483022,0.00219001,0.0715723,0.0857743,0.0209063,0.0182753,0.0108217,0.0648869,0.0525856,0.0662046,0.0745463,0.0564281,0.0661209,0.104891,0.0143165,0.0595374
-38.897,0.998422,0.138274,5,31,0,52.8353,0.119937,0.0815582,0.000561788,0.095251,0.04784,0.164615,0.0120622,0.0222593,0.170881,0.0428131,0.090843,0.102232,0.0823016,0.049502,0.0469869,0.168336,0.0867733,0.228599,0.0183804,0.106506,0.0834426,0.120966,0.0562231,0.0370314,0.0956963
-39.0187,0.971795,0.138274,4,15,0,48.5957,0.125408,0.0937582,0.00158917,0.145495,0.16932,0.0370458,0.0145905,0.0641366,0.0106491,0.212009,0.127671,0.0658182,0.112061,0.12278,0.0361748,0.0566371,0.086614,0.0402706,0.0261197,0.140445,0.0272425,0.0725572,0.0579963,0.226001,0.100061
-38.0651,0.958856,0.138274,4,15,0,47.7562,0.0772782,0.0663622,0.00204868,0.0531173,0.13929,0.0512469,0.00977792,0.0235002,0.00788627,0.0918611,0.163972,0.0494138,0.131564,0.136509,0.0591978,0.0809236,0.0587296,0.09298,0.0316848,0.198129,0.0406288,0.0492306,0.0441069,0.0364111,0.0616591
-45.299,0.698244,0.138274,5,31,0,54.4504,0.0732011,0.0708205,0.000171991,0.0123587,0.00521882,0.0534603,0.13926,0.176269,0.0122892,0.0753351,0.0247229,0.0993014,0.0317546,0.0164649,0.0890666,0.0856016,0.0709654,0.0277843,0.0089381,0.0420865,0.0280589,0.116798,0.164561,0.108784,0.058406
-42.8785,0.995321,0.138274,4,31,0,52.3568,0.0917345,0.200803,0.000159299,0.00415507,0.00589138,0.016709,0.0541101,0.0661034,0.0348432,0.0938769,0.0563172,0.0619529,0.0654633,0.0185636,0.15655,0.056921,0.0765664,0.031249,0.0110167,0.11707,0.0830683,0.0816923,0.0597439,0.100874,0.0731936
