# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=8
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/height (cm) - 6a_skewnormal_uni - draws_8.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_raw.1,theta_raw.2,theta_raw.3,theta_raw.4,theta_raw.5,theta_raw.6,theta_raw.7,theta_raw.8,theta_raw.9,theta_raw.10,theta_raw.11,theta_raw.12,theta_raw.13,theta_raw.14,theta_raw.15,theta_raw.16,theta_raw.17,theta_raw.18,theta_raw.19,theta_raw.20,theta_raw.21,theta_raw.22,theta_new_raw,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.124457
# Diagonal elements of inverse mass matrix:
# 0.0057966, 1.04805, 0.463413, 0.399329, 0.500415, 0.361134, 0.389563, 0.443466, 0.502997, 0.457915, 0.454085, 0.46946, 0.349635, 0.387794, 0.42444, 0.457595, 0.495606, 0.389632, 0.492055, 0.347964, 0.504222, 0.328513, 0.35737, 0.597946, 0.483894, 37.4753
-7.84664,0.97476,0.124457,4,31,0,17.7036,0.126548,0.0854713,-0.701348,-1.01167,-0.597645,-0.357022,-0.218162,-0.490255,-0.472624,-0.23247,-0.747874,0.0549326,-0.0704408,-0.966889,-0.250717,-1.33127,-0.106494,-0.88922,-1.17287,-1.05909,-0.600276,-0.840452,-0.956902,-1.39825,-0.721267,-8.54089,0.0666029,0.0400794,0.0754665,0.0960329,0.107901,0.0846453,0.0861523,0.106679,0.0626262,0.131243,0.120527,0.0439068,0.105119,0.012763,0.117446,0.0505452,0.026301,0.036026,0.0752417,0.0547136,0.0447604,0.00703808,0.0649004,0.0588145
-6.91848,0.979898,0.124457,5,31,0,19.0361,0.141883,0.120281,0.245734,-0.786524,-0.135377,-0.44487,-0.976153,-1.00274,-0.197376,-0.431866,-0.320919,-0.641871,-0.29495,-0.350902,-1.27342,-0.974049,-0.383759,-1.17618,-0.561101,-0.914666,-0.394323,-1.74329,-0.797367,-0.785053,-0.349489,-4.37399,0.17144,0.047279,0.1256,0.0883737,0.0244702,0.0212729,0.118143,0.0899378,0.103283,0.0646781,0.106406,0.0996762,-0.0112853,0.0247233,0.0957241,0.000410762,0.0743933,0.0318659,0.0944536,-0.0678026,0.0459748,0.047456,0.0998462,0.0483265
-11.8128,0.98827,0.124457,4,31,0,19.1768,0.08013,0.039992,-0.42763,-1.16635,0.233988,-0.729508,0.397637,0.166655,-0.198325,-0.457445,-0.364434,-0.874001,-0.511635,-0.561129,-1.04743,-0.470239,-0.509598,-0.513653,-0.478982,-1.10202,-0.395082,-1.94683,-0.853794,-0.233077,-0.327872,-3.92354,0.0630282,0.0334853,0.0894877,0.0509555,0.0960323,0.0867949,0.0721986,0.0618358,0.0655555,0.0451769,0.0596687,0.0576893,0.0382412,0.0613242,0.0597501,0.059588,0.0609745,0.0360578,0.0643299,0.00227236,0.045985,0.0708088,0.0670177,0.0492094
-8.39878,0.998249,0.124457,5,31,0,22.5088,0.147751,0.0921762,-0.404409,-0.679978,-1.04141,-0.242868,-1.6398,-1.38878,-0.485107,-0.446051,-0.433121,-0.327074,-0.193425,-0.671862,-2.04218,-0.304838,-0.579898,-0.277985,-0.263126,-0.0338988,-0.0606474,-1.83168,-0.0323782,-0.682486,-0.631836,-7.17483,0.110475,0.0850737,0.0517582,0.125365,-0.00339886,0.0197392,0.103036,0.106636,0.107828,0.117603,0.129922,0.0858218,-0.0404892,0.119653,0.0942986,0.122128,0.123498,0.144627,0.142161,-0.0210861,0.144767,0.0848425,0.0895113,0.0749096
-17.3622,0.701305,0.124457,4,15,0,34.7687,0.0582312,0.0330586,-0.589412,-0.820775,0.0609592,-0.121913,-3.29375,-1.24159,-0.794088,-0.250596,-0.583512,-0.0836915,-0.226205,-0.0328375,-0.326856,-0.525476,-0.0768688,-0.712982,-0.475298,-1.04303,-0.348322,-2.94465,-0.659902,-0.877134,-0.218392,-20.4991,0.0387461,0.0310976,0.0602465,0.054201,-0.0506555,0.0171861,0.0319798,0.0499469,0.0389411,0.0554645,0.0507532,0.0571457,0.0474258,0.0408597,0.0556901,0.034661,0.0425185,0.0237502,0.0467162,-0.0391148,0.0364158,0.0292344,0.0510115,0.0318856
-15.8062,0.254214,0.124457,4,15,0,32.1506,0.0718883,0.0309451,-0.546712,-0.818762,0.0624883,-0.103056,-3.23623,-1.13701,-0.557653,-0.219865,-0.50214,-0.0878559,-0.153516,-0.0648025,-0.299119,-0.393052,-0.122132,-0.552336,-0.338431,-0.975573,-0.39424,-2.81866,-0.708707,-0.849238,-0.227274,-20.8241,0.0549702,0.0465516,0.073822,0.0686992,-0.0282573,0.0367035,0.0546316,0.0650845,0.0563495,0.0691696,0.0671377,0.0698829,0.062632,0.0597252,0.0681089,0.0547962,0.0614155,0.041699,0.0596885,-0.0153356,0.0499572,0.0456085,0.0648552,0.047226
-12.925,0.902346,0.124457,5,31,0,26.6023,0.156296,0.103355,-0.201516,-1.22612,-1.80135,-0.805737,-0.439663,-1.0593,-0.620493,-0.874555,-0.878769,-0.495169,-0.498222,-1.55878,-1.87718,-1.04272,-0.548797,-0.339472,-0.255363,-0.300692,-0.0410289,-2.72871,-0.1896,-0.0266162,-0.782105,-4.76387,0.135468,0.0295708,-0.0298815,0.0730192,0.110855,0.0468121,0.0921651,0.0659066,0.0654711,0.105118,0.104802,-0.00481094,-0.0377197,0.0485255,0.0995752,0.12121,0.129903,0.125218,0.152055,-0.125729,0.1367,0.153545,0.0754617,0.0755897
-9.72853,0.93943,0.124457,5,31,0,26.1001,0.0632338,0.0340785,-0.774322,-0.109054,-0.725633,-0.812831,-0.327915,-0.604143,-0.762625,-0.210352,-1.64675,-0.385093,-1.48446,-0.593949,-2.15064,-0.124253,-1.37051,-0.413897,-0.659236,-0.429125,-0.590381,-0.580931,-0.546972,-0.87905,-0.239853,-10.2031,0.0368461,0.0595174,0.0385054,0.0355338,0.052059,0.0426456,0.0372448,0.0560654,0.00711515,0.0501105,0.0126456,0.042993,-0.0100565,0.0589995,0.0165289,0.0491289,0.0407681,0.0486099,0.0431146,0.0434366,0.0445939,0.0332772,0.05506,0.0361728
-14.5224,0.946879,0.124457,5,31,0,23.2459,0.074072,0.0358806,-1.00093,-0.322031,-0.655565,0.27081,-1.28926,-0.306864,-0.308684,-0.247035,-1.65013,-0.414981,-1.10604,0.0152814,-1.61203,-0.287585,-1.86914,-0.50323,-1.40984,-0.445264,-1.26094,-0.419244,-0.703314,-0.726779,-0.130317,-2.75768,0.0381579,0.0625174,0.05055,0.0837888,0.0278127,0.0630616,0.0629963,0.0652083,0.0148643,0.0591823,0.0343866,0.0746203,0.0162315,0.0637533,0.00700611,0.0560159,0.0234861,0.0580957,0.0288289,0.0590293,0.0488367,0.0479948,0.0693962,0.0471584
-16.6995,0.970977,0.124457,5,31,0,30.2161,0.0701515,0.0521835,-1.59025,-0.448361,-0.307314,-1.50776,-1.04799,-0.646888,-0.672399,-1.28397,-0.136056,-1.03017,-0.149894,-0.929689,-3.11952,-2.41353,-1.28939,-0.308326,-0.826032,-0.981245,-0.0889934,-0.406332,-1.11901,-0.136563,-1.03743,-6.06535,-0.0128333,0.0467545,0.0541148,-0.00852853,0.0154637,0.0363946,0.0350634,0.00314936,0.0630516,0.0163937,0.0623295,0.021637,-0.0926359,-0.0557948,0.00286647,0.0540619,0.0270462,0.0189467,0.0655075,0.0489477,0.0117576,0.0630251,0.0160148,0.0290697
