# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=8
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/height (cm) - 5a_halfnormal_uni - draws_8.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.134988
# Diagonal elements of inverse mass matrix:
# 0.653929, 1.98313, 1.75593, 1.91269, 1.79337, 1.7291, 1.82102, 1.90172, 1.64749, 2.04094, 1.7353, 1.49894, 1.62279, 1.90564, 1.71929, 1.75439, 1.94736, 1.86583, 2.03169, 1.57253, 1.53856, 1.76686, 1.77793, 1.7433
-35.8473,0.891096,0.134988,4,31,0,50.1066,0.104469,0.167273,0.0322095,0.0193117,0.0334169,0.0684555,0.0337497,0.0295232,0.129667,0.167685,0.041664,0.0514381,0.0502498,0.0885784,0.125097,0.0329828,0.0162425,0.111025,0.168806,0.130027,0.0109831,0.112892,0.049615,0.130019,0.0833544
-41.336,0.850352,0.134988,4,15,0,52.9396,0.165693,0.0267188,0.0623354,0.0106841,0.147327,0.240763,0.0401412,0.0360224,0.189353,0.0615116,0.0202486,0.0229095,0.149879,0.25264,0.211447,0.200938,0.0615743,0.0275965,0.0474022,0.250569,0.0232452,0.0428426,0.141462,0.173146,0.132204
-41.4286,0.987123,0.134988,4,15,0,53.7104,0.13519,0.0899167,0.0261048,0.012213,0.115038,0.0672325,0.16795,0.345528,0.124596,0.163753,0.0220781,0.0218798,0.0589637,0.0863457,0.0966993,0.129481,0.00498513,0.0628543,0.210147,0.115902,0.0198796,0.224741,0.206889,0.126202,0.107866
-36.133,0.967802,0.134988,4,15,0,50.5471,0.113772,0.189091,0.0464943,0.0089421,0.0158345,0.0769639,0.0740045,0.0554778,0.153639,0.119032,0.175956,0.0574008,0.0179105,0.139952,0.173216,0.107036,0.035824,0.248014,0.00655247,0.207383,0.0459218,0.039653,0.13768,0.0989847,0.0907768
-36.8587,0.887875,0.134988,4,15,0,44.4225,0.130015,0.102428,0.0532651,0.0174476,0.0295571,0.17893,0.116435,0.0278805,0.0959534,0.165158,0.0289957,0.0578529,0.0471108,0.138317,0.108247,0.0626057,0.0795389,0.0548329,0.0120332,0.119608,0.0180395,0.0228957,0.188588,0.103417,0.103737
-37.1071,0.914767,0.134988,4,31,0,49.8454,0.0843875,0.113824,0.0539933,0.0864108,0.0646628,0.0238607,0.0606547,0.0395886,0.125454,0.0355467,0.0950339,0.101565,0.122623,0.0552802,0.01049,0.153701,0.112185,0.129397,0.0309869,0.22453,0.00229199,0.0155052,0.0292882,0.09852,0.0673315
