# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=1
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/Haemoglobin (g per dL) - 6a_skewnormal_uni - draws_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_raw.1,theta_raw.2,theta_raw.3,theta_raw.4,theta_raw.5,theta_raw.6,theta_raw.7,theta_raw.8,theta_raw.9,theta_raw.10,theta_raw.11,theta_raw.12,theta_raw.13,theta_new_raw,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.0877488
# Diagonal elements of inverse mass matrix:
# 0.00569052, 1.0702, 0.592155, 0.712524, 0.647504, 0.840779, 0.806518, 0.829464, 0.724588, 0.915132, 0.737528, 0.676903, 0.657785, 0.74979, 0.849714, 0.835578, 80.5777
-8.72915,0.995853,0.0877488,5,31,0,14.4647,-0.0816767,0.145775,0.356645,0.90935,0.474052,1.76497,2.06512,0.442114,-0.308237,0.663964,1.2666,0.51749,1.27373,0.659236,1.0839,0.387668,3.86322,-0.0296869,0.0508835,-0.0125718,0.175611,0.219366,-0.0172277,-0.12661,0.0151125,0.102961,-0.0062398,0.104,0.0144233,0.0763278,-0.0251646,0.0309236
-5.02149,0.941621,0.0877488,5,31,0,18.6146,0.0158025,0.0117983,0.91109,0.244571,0.90009,0.207157,1.11128,1.32794,1.15842,0.570917,0.163703,0.280224,0.727473,0.383858,1.04366,0.435207,9.62782,0.0265518,0.018688,0.026422,0.0182466,0.0289137,0.0314698,0.0294698,0.0225383,0.0177339,0.0191086,0.0243854,0.0203313,0.0281159,0.0209372,0.0251658
-6.57533,0.968683,0.0877488,5,31,0,11.2367,-0.0131851,0.0068464,0.152752,1.29905,0.404356,0.264544,0.236791,1.14177,0.708407,0.893811,1.61527,0.985603,0.149031,0.527236,0.197204,0.266364,8.64211,-0.0121393,-0.00429131,-0.0104167,-0.0113739,-0.0115639,-0.00536806,-0.00833506,-0.00706571,-0.00212629,-0.00643727,-0.0121648,-0.00957543,-0.011835,-0.0113615,-0.00775867
-7.70659,0.986085,0.0877488,4,15,0,15.8041,0.0180875,0.00304482,0.243714,2.15706,0.150963,0.143396,0.388628,1.21257,1.02257,0.157249,1.55841,0.154432,0.245008,0.477725,0.274831,0.307786,13.2219,0.0188296,0.0246554,0.0185472,0.0185241,0.0192708,0.0217796,0.0212011,0.0185663,0.0228326,0.0185577,0.0188335,0.0195421,0.0189243,0.0190247,0.02051
-7.37925,0.979811,0.0877488,5,31,0,13.1046,0.0201392,0.00233767,0.861887,1.44215,0.382682,0.381105,0.88363,1.45814,0.310434,1.448,0.208555,0.557949,0.544451,0.270016,0.592712,0.67997,4.05709,0.022154,0.0235104,0.0210338,0.0210301,0.0222048,0.0235478,0.0208649,0.0235241,0.0206267,0.0214435,0.0214119,0.0207704,0.0215248,0.0217287,0.0219502
-5.81397,0.983311,0.0877488,5,63,0,13.3284,0.0450192,0.0102943,0.0190202,-0.0125492,0.39353,0.982784,0.544109,0.749601,0.169064,0.850045,1.18052,0.513232,0.0841354,0.636022,0.360043,0.0562792,15.0261,0.045215,0.04489,0.0490703,0.0551363,0.0506204,0.0527358,0.0467596,0.0537698,0.0571719,0.0503026,0.0458853,0.0515666,0.0487256,0.0455986,0.0532148
-8.72532,0.994986,0.0877488,5,31,0,14.714,0.00500591,0.00227003,0.783893,1.01078,0.683708,0.502908,1.66966,0.522144,0.454959,1.68393,-0.0157295,0.987587,0.368397,0.661886,0.174056,0.557271,10.5018,0.00678538,0.00730042,0.00655795,0.00614753,0.0087961,0.0061912,0.00603868,0.00882849,0.00497021,0.00724777,0.00584219,0.00650842,0.00540103,0.00627094,0.00680898
-10.1757,0.512185,0.0877488,4,31,0,20.0736,0.0546485,0.00185922,1.25418,0.509233,1.70875,0.90315,0.448249,0.640668,0.537009,0.497433,0.845579,0.362841,0.522075,0.484456,0.269264,0.875225,24.7937,0.0569803,0.0555953,0.0578255,0.0563277,0.0554819,0.0558397,0.055647,0.0555734,0.0562207,0.0553231,0.0556192,0.0555492,0.0551492,0.0562758,0.0561308
-12.8062,0.902851,0.0877488,4,15,0,21.0169,-0.00268592,0.00407671,1.63703,1.05672,2.15801,0.375275,0.740435,0.776552,0.0609403,1.38989,1.55782,1.64631,0.881452,1.09114,0.266322,0.251995,2.34428,0.00398776,0.00162203,0.00611167,-0.00115603,0.000332622,0.000479861,-0.00243748,0.00298027,0.00366488,0.00402563,0.000907507,0.00176233,-0.0016002,-0.00165861,0.000305992
