# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=5
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/weight (kg) - 5a_halfnormal_uni - draws_5.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,theta.26,theta.27,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.186534
# Diagonal elements of inverse mass matrix:
# 0.0376262, 0.484454, 0.0415434, 1.49384, 0.322268, 0.678285, 0.987123, 1.60362, 1.2869, 1.04907, 0.309536, 1.14804, 0.945155, 0.988002, 1.21498, 1.69612, 0.511176, 1.27845, 1.44945, 1.08326, 0.965404, 0.099892, 0.297807, 0.963075, 0.299554, 0.864963, 0.539139, 1.1521, 1.26578
-74.101,0.952368,0.186534,4,15,0,91.2437,0.1581,0.138792,0.577115,0.052395,0.0205062,0.192972,0.0339656,0.0216178,0.100813,0.00024833,0.266713,0.05101,0.160463,0.0875661,0.0472844,0.0428402,0.390058,0.00211909,0.104281,0.0164457,0.0450518,0.47009,0.311827,0.00782029,0.381908,0.0199428,0.174974,0.225629,0.190544,0.126146
-67.4345,0.892214,0.186534,4,15,0,96.5005,0.452254,0.187694,1.23227,0.0408111,0.028333,0.349664,0.304716,0.0124615,0.0685255,0.00480022,0.346889,0.125413,0.310759,0.028573,0.0450167,0.060019,0.509177,0.0394898,0.115123,0.0867549,0.433912,1.03986,0.166214,0.385224,0.278422,0.0374479,0.136329,0.43527,0.145981,0.360847
-57.8023,0.998214,0.186534,4,15,0,74.8654,0.394575,0.134261,0.947705,0.0174112,0.0328845,0.231389,0.159452,0.0170688,0.198806,0.0156261,0.322837,0.140151,0.286006,0.0185893,0.0424039,0.0434639,0.405352,0.113164,0.231436,0.106466,0.29199,0.963405,0.287664,0.158065,0.245496,0.0765764,0.256003,0.411963,0.103504,0.314825
-58.7208,0.955664,0.186534,4,15,0,74.3188,0.398101,0.161909,0.988561,0.0134075,0.0298998,0.268438,0.139599,0.00840179,0.17182,0.0168028,0.339617,0.170954,0.318897,0.023351,0.0419508,0.0443015,0.402956,0.101726,0.206217,0.0985953,0.282268,0.862866,0.230976,0.186611,0.237656,0.0788118,0.282473,0.415286,0.0734067,0.317639
-60.9446,0.94137,0.186534,4,15,0,77.1042,0.362995,0.215771,0.816339,0.125138,0.0791052,0.225923,0.109683,0.00291297,0.280262,0.00166652,0.306434,0.116602,0.106282,0.0342464,0.0882847,0.0941566,0.193354,0.0649951,0.05642,0.061216,0.325633,0.637699,0.282343,0.183492,0.0905737,0.11456,0.0987131,0.12295,0.368699,0.289628
-64.4098,0.955627,0.186534,4,15,0,81.2802,0.389539,0.162982,0.872411,0.149447,0.0708739,0.236762,0.0555559,0.00482484,0.122382,0.00159975,0.336525,0.147106,0.0696822,0.0216243,0.0733544,0.0502509,0.1444,0.0286584,0.0479849,0.0398075,0.440521,0.693005,0.250025,0.293132,0.0894849,0.12402,0.18673,0.293796,0.300041,0.310808
-68.4666,0.953675,0.186534,4,15,0,80.6012,0.390005,0.168091,0.880995,0.0215912,0.0945321,0.22018,0.0538403,0.0010918,0.119126,0.00302811,0.38791,0.0710463,0.0563753,0.0897929,0.120578,0.0432807,0.0349883,0.029872,0.0206075,0.0699325,0.392305,0.593456,0.436733,0.217755,0.0866943,0.241126,0.133004,0.320936,0.363126,0.311179
