# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=9
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/mid-upper arm circumference (cm) - 5a_halfnormal_uni - draws_9.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.262063
# Diagonal elements of inverse mass matrix:
# 0.173875, 1.24608, 1.20817, 1.1156, 0.713359, 0.521944, 0.0339057, 0.838362, 1.2862
-17.6441,0.979092,0.262063,4,15,0,22.778,0.234539,0.00450918,0.36001,0.325786,0.220411,0.117615,0.38653,0.125351,0.0749253,0.187135
-18.1289,0.845557,0.262063,3,7,0,22.3395,0.243758,0.00565365,0.0795797,0.120825,0.244579,0.075082,0.350325,0.122231,0.684126,0.194491
-15.8411,1,0.262063,3,7,0,20.3999,0.280645,0.00330741,0.16739,0.118358,0.22415,0.135263,0.373744,0.105687,0.328997,0.223922
-15.4975,0.984595,0.262063,4,15,0,20.1645,0.208869,0.0108174,0.130142,0.12962,0.115067,0.134244,0.359596,0.0703618,0.208903,0.166654
-17.915,0.973427,0.262063,4,15,0,19.0194,0.224776,0.0166282,0.113662,0.101609,0.101305,0.15519,0.386094,0.0555959,0.571989,0.179345
-16.0174,0.891025,0.262063,3,7,0,24.3074,0.230899,0.0748994,0.0594642,0.078629,0.17964,0.188961,0.355251,0.0900812,0.368573,0.184231
-16.015,0.984835,0.262063,4,15,0,18.2723,0.174989,0.0827317,0.0483371,0.0884147,0.123245,0.133846,0.372008,0.105105,0.354055,0.139621
-20.5381,0.868228,0.262063,4,15,0,23.0619,0.252871,0.0143158,0.229056,0.155758,0.625127,0.0430607,0.382881,0.00375898,0.0536194,0.201762
-23.2663,0.970975,0.262063,4,15,0,29.1344,0.166795,0.0157213,0.0759132,0.107462,0.319176,0.00347772,0.338935,0.114937,0.00171191,0.133083
-22.3704,0.961881,0.262063,4,15,0,25.8227,0.182333,0.1238,0.0608785,0.0685424,0.160808,0.0031442,0.306996,0.0993495,0.0176145,0.145481
-19.8846,0.991323,0.262063,4,15,0,25.1597,0.299955,0.0136244,0.23256,0.266014,0.409736,0.0043411,0.405518,0.142958,0.0442388,0.239329
-19.9909,0.961294,0.262063,4,15,0,22.9844,0.317071,0.0185808,0.242183,0.202827,0.603063,0.00434722,0.411937,0.138293,0.0325837,0.252986
-20.0689,0.910859,0.262063,3,7,0,24.8437,0.440064,0.0735743,0.153855,0.0419621,0.605237,0.00391723,0.453178,0.088224,0.510327,0.351121
-20.3405,0.977341,0.262063,3,15,0,23.2647,0.371011,0.0280792,0.259912,0.00803746,0.587801,0.00891831,0.373697,0.0963727,0.334955,0.296024
-18.5664,0.96269,0.262063,4,15,0,23.3119,0.31097,0.101686,0.139743,0.286945,0.334834,0.00741299,0.415084,0.0605491,0.527795,0.248118
-18.0515,0.991228,0.262063,3,15,0,21.03,0.207106,0.0407351,0.096479,0.123167,0.37358,0.0177702,0.462782,0.192762,0.150269,0.165247
-16.1252,1,0.262063,3,7,0,19.582,0.251329,0.0399912,0.0610594,0.168982,0.393412,0.0216205,0.395761,0.143051,0.163783,0.200532
-17.2729,0.943637,0.262063,4,15,0,19.9543,0.261103,0.0228648,0.0970996,0.225447,0.385636,0.0576567,0.483932,0.0549311,0.0474908,0.208331
-17.0019,0.993803,0.262063,4,15,0,19.5253,0.269568,0.0367647,0.106268,0.0952701,0.518044,0.209566,0.439694,0.038918,0.0810718,0.215085
-16.9366,0.997372,0.262063,4,15,0,20.5268,0.295428,0.0636199,0.0927608,0.225852,0.560377,0.0371516,0.358718,0.0358859,0.083338,0.235717
-15.8627,0.931335,0.262063,4,15,0,22.7029,0.205963,0.0138541,0.0458226,0.130461,0.252395,0.113028,0.283702,0.0821365,0.226264,0.164335
-18.622,0.933787,0.262063,4,15,0,21.6037,0.240189,0.00996769,0.324169,0.0324968,0.345132,0.0240088,0.379325,0.103202,0.127482,0.191644
-17.6656,0.99355,0.262063,4,15,0,21.0149,0.199912,0.0221612,0.0468878,0.0299388,0.280434,0.0313522,0.408448,0.0795978,0.169052,0.159507
-18.4834,0.945943,0.262063,4,15,0,21.6412,0.308836,0.0311091,0.0482892,0.0549576,0.222254,0.0234636,0.428415,0.110591,0.190041,0.246415
-16.9456,0.973086,0.262063,3,15,0,22.6914,0.222907,0.066106,0.107324,0.0553184,0.128622,0.0393107,0.421996,0.080157,0.278886,0.177854
-19.0489,0.835979,0.262063,3,15,0,25.256,0.24688,0.0767521,0.0889986,0.063371,0.0724457,0.0315997,0.465662,0.080606,0.216373,0.196982
-19.8263,0.984954,0.262063,3,15,0,21.7071,0.21341,0.128216,0.13643,0.0433784,0.0874273,0.0390579,0.496051,0.130299,0.279811,0.170276
-17.7101,0.988914,0.262063,3,15,0,23.4539,0.182052,0.0571242,0.207357,0.00941269,0.0822347,0.0791898,0.354099,0.123037,0.187629,0.145256
-19.4801,0.797811,0.262063,4,15,0,26.1239,0.127104,0.0974998,0.0629831,0.0625785,0.110286,0.0868887,0.25136,0.0111234,0.100579,0.101415
-19.42,0.965559,0.262063,4,15,0,24.1194,0.11995,0.108132,0.0511019,0.0452996,0.17666,0.0909008,0.265822,0.0135563,0.0774602,0.0957064
-15.7585,0.997736,0.262063,4,15,0,21.4388,0.330028,0.025707,0.300186,0.285526,0.476101,0.138508,0.314747,0.036733,0.323695,0.263324
-14.0467,0.97366,0.262063,4,15,0,20.1342,0.224412,0.0214141,0.0875523,0.182744,0.399966,0.0998016,0.356117,0.0654378,0.261528,0.179055
-17.5823,0.90498,0.262063,3,15,0,18.9382,0.305167,0.00636129,0.21196,0.0117369,0.319963,0.141116,0.368572,0.155375,0.224146,0.243488
-16.0208,0.952938,0.262063,4,15,0,23.5525,0.179126,0.00699447,0.144528,0.0411335,0.345663,0.0835662,0.377358,0.0892456,0.224678,0.142922
-15.1332,0.975748,0.262063,4,15,0,18.1846,0.205048,0.100472,0.113663,0.13803,0.12672,0.150949,0.337639,0.115656,0.0996517,0.163605
-20.0784,0.905266,0.262063,3,7,0,21.5932,0.166998,0.08911,0.0501676,0.0944856,0.551081,0.042228,0.309682,0.0388326,0.0494804,0.133245
-18.8723,1,0.262063,4,15,0,22.4017,0.33582,0.0293742,0.124636,0.16223,0.0402285,0.102414,0.448459,0.0704869,0.0800522,0.267945
-18.715,0.96863,0.262063,4,15,0,24.665,0.235738,0.00749624,0.0900509,0.0127445,0.531696,0.0755653,0.287921,0.134798,0.190316,0.188092
-19.6287,0.983105,0.262063,4,15,0,21.5412,0.330684,0.00836885,0.347924,0.011635,0.405752,0.183218,0.297025,0.114743,0.512219,0.263848
-22.2631,0.994662,0.262063,4,15,0,25.0271,0.154401,0.00139221,0.0569999,0.00262116,0.288121,0.0547574,0.326383,0.0494865,0.12554,0.123194
-16.9685,0.778772,0.262063,3,15,0,28.7071,0.243374,0.0122387,0.124826,0.0557506,0.352489,0.123995,0.262005,0.131112,0.416433,0.194185
-15.3405,0.850454,0.262063,3,15,0,22.2452,0.212825,0.0186131,0.258903,0.215357,0.490477,0.112085,0.293674,0.0908073,0.211267,0.16981
-15.6857,0.940289,0.262063,4,15,0,19.5022,0.214318,0.0193427,0.12186,0.184568,0.460534,0.125764,0.462565,0.0399431,0.167356,0.171001
-15.534,0.988277,0.262063,4,15,0,18.5772,0.252476,0.0894827,0.206126,0.13414,0.379438,0.122535,0.316053,0.151844,0.0319474,0.201447
-13.2979,0.949632,0.262063,3,15,0,18.237,0.277432,0.034277,0.103259,0.224327,0.480669,0.12764,0.35783,0.112716,0.219722,0.221359
-14.5978,0.928986,0.262063,3,15,0,15.6093,0.21913,0.0452325,0.0761109,0.253245,0.572328,0.127644,0.386382,0.0790968,0.179429,0.17484
-15.9072,0.800921,0.262063,3,15,0,22.8367,0.159004,0.0398655,0.0418653,0.10171,0.0924237,0.131684,0.383763,0.145796,0.138483,0.126867
-20.2843,0.860586,0.262063,4,15,0,23.7558,0.184143,0.0906108,0.00946798,0.0217658,0.289675,0.0270659,0.427377,0.0727336,0.104097,0.146925
-20.6522,0.939697,0.262063,3,15,0,24.0621,0.2784,0.0887168,0.0502262,0.0159031,0.119107,0.0181837,0.384411,0.148515,0.325631,0.222131
-21.3392,0.927768,0.262063,3,15,0,25.8455,0.20033,0.16583,0.04656,0.0183061,0.0995207,0.0196018,0.326671,0.0803818,0.153328,0.15984
-21.5974,0.95794,0.262063,4,15,0,27.4311,0.207999,0.0581289,0.293472,0.554054,0.180163,0.024374,0.368992,0.0766785,0.181531,0.165959
-20.1144,1,0.262063,4,15,0,25.8202,0.347108,0.164647,0.0848015,0.0505091,0.0552701,0.0593086,0.402811,0.083403,0.372811,0.276953
