# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=2
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/mid-upper arm circumference (cm) - 6a_skewnormal_uni - draws_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_raw.1,theta_raw.2,theta_raw.3,theta_raw.4,theta_raw.5,theta_raw.6,theta_raw.7,theta_new_raw,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.0647607
# Diagonal elements of inverse mass matrix:
# 0.158827, 0.230387, 0.834906, 0.608845, 0.583992, 0.874331, 0.578929, 0.722966, 0.577675, 0.970946, 97.1309
-8.89981,0.955133,0.0647607,5,31,0,15.0715,-0.245595,0.340792,0.325071,1.46819,1.00494,1.66269,1.20631,1.62518,0.756584,1.77588,17.415,-0.134813,0.254753,0.0968801,0.321035,0.165507,0.308253,0.0122428,0.359612,0.0258706
-8.67502,0.991888,0.0647607,5,31,0,14.6268,-0.0166527,0.66115,-0.157639,-0.291202,0.0402926,1.22362,0.0232062,0.814439,0.159328,1.05115,6.75491,-0.120875,-0.209181,0.00998676,0.792341,-0.00130993,0.521814,0.088687,0.678315,0.505181
-6.97109,0.994051,0.0647607,5,31,0,12.5958,-0.125552,0.271251,0.69171,1.06576,0.82481,1.09352,0.735821,1.647,0.777418,0.983571,8.62801,0.0620754,0.163536,0.098179,0.171067,0.0740406,0.321198,0.0853237,0.141243,0.0894363
-5.01274,0.952781,0.0647607,4,31,0,12.9561,-0.16866,0.350936,-0.747625,0.513931,0.630044,1.51398,0.628439,1.7998,0.675898,0.408366,2.26987,-0.431028,0.0116965,0.0524447,0.362648,0.0518815,0.462954,0.0685365,-0.02535,0.0875815
-3.19711,0.976535,0.0647607,5,31,0,8.18803,-0.0515979,0.378806,0.100676,0.538512,0.702866,1.87425,0.362898,1.14701,0.559463,1.05786,4.83493,-0.0134614,0.152394,0.214652,0.658378,0.0858702,0.382898,0.16033,0.349125,0.244381
-2.61343,0.849,0.0647607,5,31,0,9.6828,-0.391061,0.717114,0.0706915,0.632337,0.812637,1.29945,0.80355,1.28634,0.697254,1.05736,10.0246,-0.340367,0.0623971,0.191693,0.540796,0.185176,0.531395,0.10895,0.367186,0.178288
0.767711,0.927447,0.0647607,5,31,0,8.20039,-0.54633,0.980815,0.111775,0.590688,0.516724,1.53617,0.69722,0.946874,0.576002,0.0075627,3.94942,-0.436699,0.0330259,-0.0395195,0.960373,0.137514,0.382378,0.0186214,-0.538912,0.212307
-3.10948,0.881623,0.0647607,4,15,0,4.33551,-0.517123,0.969498,-0.0364023,0.449846,0.480926,1.499,0.55499,0.932094,0.733426,-0.00109161,1.18975,-0.552415,-0.0809989,-0.0508665,0.93615,0.0209379,0.38654,0.193932,-0.518182,0.0750367
-3.56432,0.952435,0.0647607,4,15,0,8.07281,-0.392036,0.840834,-0.126692,0.504846,0.610812,0.912514,0.600606,0.825738,0.637149,0.663917,14.118,-0.498563,0.0324555,0.121555,0.375237,0.112973,0.302273,0.1437,0.166208,0.277176
-5.26549,0.995779,0.0647607,4,15,0,10.458,-0.577569,1.04748,0.530993,0.23945,0.586732,1.55317,0.685684,0.783167,0.68273,1.31196,3.90426,-0.0213659,-0.326751,0.0370189,1.04934,0.140669,0.242781,0.137575,0.796683,0.232062
-4.66094,0.99233,0.0647607,5,31,0,10.4955,-0.338924,0.538661,-0.153647,0.913595,0.887459,0.830315,0.925457,1.16925,0.852953,1.12932,4.11938,-0.421687,0.153194,0.139116,0.108334,0.159583,0.290905,0.120529,0.269397,0.0787352
-5.21589,0.742239,0.0647607,5,31,0,9.72124,-0.0860149,0.266053,-0.0896465,0.33659,0.234152,1.95052,0.641542,1.41482,0.441725,0.0172968,7.67542,-0.109866,0.00353609,-0.0237179,0.432927,0.0846694,0.290402,0.0315075,-0.081413,0.124486
-7.31583,0.987601,0.0647607,4,15,0,9.03267,-0.11756,0.299177,0.567962,0.121637,0.209994,1.67747,0.341418,1.80429,0.333895,0.238269,6.80317,0.0523615,-0.0811689,-0.0547344,0.384301,-0.0154155,0.422243,-0.0176662,-0.0462753,0.118611
-6.36695,0.995788,0.0647607,4,31,0,11.9605,-0.0728838,0.253911,0.622578,0.385886,0.175488,1.5641,0.962671,1.85876,0.543433,0.476792,8.83112,0.0851955,0.0250968,-0.0283254,0.324258,0.171549,0.399076,0.0650998,0.0481789,0.128421
-7.5848,0.983765,0.0647607,5,39,0,13.0591,-0.366506,0.577225,0.570946,0.871581,1.20625,1.10689,0.740013,1.5302,0.615497,1.40472,13.9357,-0.0369412,0.136593,0.329769,0.272419,0.0606483,0.516765,-0.0112256,0.444332,0.0928721
-4.79814,0.991739,0.0647607,3,15,0,10.9817,-0.460835,0.554527,0.53131,0.636467,1.05689,1.25529,1.18028,1.43187,1.07672,1.05825,11.1237,-0.166209,-0.107896,0.12524,0.235261,0.193662,0.333178,0.136234,0.125995,-0.0201628
-3.59363,0.991291,0.0647607,5,31,0,6.80784,-0.225265,0.581489,0.215716,0.641214,0.474111,2.12185,0.392483,1.2179,0.492031,0.0198913,8.89649,-0.099829,0.147594,0.0504246,1.00857,0.00295928,0.482931,0.0608453,-0.213699,0.235792
-5.71669,0.80321,0.0647607,4,15,0,11.9238,-0.183129,0.552779,0.265351,0.4202,0.40634,0.683013,0.389663,1.33294,0.578408,1.29266,3.79539,-0.0364487,0.0491484,0.0414871,0.194426,0.0322681,0.553694,0.136603,0.531424,0.243369
-2.00174,0.989611,0.0647607,5,31,0,9.08551,-0.247431,0.77765,-0.277627,0.0336211,0.604378,1.39049,0.33151,0.809703,0.389527,0.953798,4.08961,-0.463328,-0.221286,0.222563,0.833883,0.0103679,0.382235,0.0554843,0.49429,0.355287
0.409476,0.908637,0.0647607,5,63,0,4.74433,-0.281104,1.04736,0.107979,0.389989,0.546775,0.696813,0.378299,0.706381,0.426204,0.0491095,11.4778,-0.168012,0.127354,0.291565,0.448709,0.11511,0.458729,0.165284,-0.229669,0.551413
-1.41871,0.797634,0.0647607,5,63,0,3.86935,-0.323224,0.577527,0.126627,0.457146,0.591532,1.94217,0.566072,1.16222,0.641046,1.08901,7.10398,-0.250093,-0.0592095,0.0184022,0.798432,0.00369834,0.347988,0.0469974,0.305709,0.133078
-2.1738,0.917345,0.0647607,4,15,0,7.6386,-0.476516,0.622843,0.205334,0.757766,0.48669,1.86239,0.882063,1.41297,0.798021,1.64402,3.13033,-0.348625,-0.00454728,-0.173385,0.683458,0.0728703,0.403544,0.0205252,0.547448,-0.0031279
-4.56477,0.807549,0.0647607,4,15,0,7.94393,-0.513333,0.573058,0.384855,0.813138,0.408306,2.06367,0.960112,1.5053,0.985968,1.72106,5.38827,-0.292789,-0.0473575,-0.27935,0.66927,0.0368667,0.349292,0.0516839,0.472936,-0.0637752
-3.09844,0.995907,0.0647607,5,63,0,8.7353,-0.235026,0.564876,0.382175,0.282309,0.499533,0.862123,0.418676,1.07213,0.617267,0.686136,2.61445,-0.019145,-0.0755571,0.0471476,0.251966,0.00147343,0.370596,0.113653,0.152555,0.185937
