# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=7
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/Haemoglobin (g per dL) - 5a_halfnormal_uni - draws_7.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.120742
# Diagonal elements of inverse mass matrix:
# 1.09946, 1.70021, 2.08661, 1.99127, 2.30379, 2.38405, 2.26158, 2.36838, 2.5155, 2.1024, 1.9584, 2.07769, 2.13167, 2.39379, 2.46463
-19.9812,0.990584,0.120742,5,47,0,29.3926,0.019402,0.0134789,0.0189663,0.00528393,0.0273127,0.0216534,0.0240642,0.0154838,0.014781,0.0128879,0.0111246,0.0172722,0.00175734,0.0174709,0.0283258,0.0154806
-27.7953,0.941691,0.120742,5,31,0,31.5822,0.0327524,0.00365077,0.0180664,0.0446825,0.0360837,0.0203583,0.0227012,0.0147846,0.0597576,9.31484e-05,0.0244906,0.0182753,0.00371663,0.0179974,0.00353356,0.0261326
-24.9099,0.986911,0.120742,5,31,0,37.2221,0.0574838,0.042055,0.091984,0.0436414,0.0263666,0.0486328,0.132684,0.00708379,0.0622909,0.00441558,0.024873,0.0243496,0.00245584,0.0399994,0.00614459,0.0458655
-21.1967,0.877031,0.120742,5,31,0,31.9055,0.0540204,0.00671052,0.0492193,0.0511214,0.0681711,0.0355889,0.0188179,0.00807997,0.0355107,0.0591161,0.069946,0.0319261,0.027889,0.0755587,0.00957153,0.0431021
-23.7084,0.983626,0.120742,5,31,0,28.8131,0.0324215,0.00106404,0.031368,0.0333176,0.00211185,0.0225324,0.0405734,0.0262689,0.0184821,0.0156538,0.014361,0.0410425,0.0401662,0.0371593,0.00552084,0.0258686
-24.9933,0.94742,0.120742,5,47,0,31.0217,0.0437759,0.00141985,0.109219,0.0515812,0.00436672,0.015443,0.0363535,0.0580746,0.0521238,0.0261176,0.019157,0.036581,0.0775182,0.0106683,0.0272839,0.0349282
-26.5268,0.922392,0.120742,4,31,0,36.0036,0.0579741,0.000291348,0.00799421,0.0417321,0.039826,0.0548486,0.0747996,0.00705256,0.0429702,0.0888527,0.0598948,0.0489673,0.0136776,0.0794095,0.00675255,0.0462567
