statname,mean,sd,X2.5.,X25.,X50.,X75.,X97.5,den_below_zero,mean_conditional_on_neg,mean_conditional_on_pos
tau,0.26942771000414945,0.05384654475995236,0.1788984436898224,0.23143048515191303,0.2640726678163054,0.30178325743493023,0.39000513238631557,0,NA,0.26942771000414945
theta[1],0.14639246726085695,0.07600175537328945,0.015507017669657178,0.08985394954033858,0.14228995264336758,0.1977509379747283,0.3055350279519547,0,NA,0.14639246726085695
theta[2],0.7394415028222056,0.14642549150087258,0.4579722886477465,0.638945101533536,0.738674176998495,0.8379518368339616,1.0307843387169382,0,NA,0.7394415028222056
theta[3],0.04413264909515443,0.03618202875581867,0.0014405739582968753,0.015934646212375052,0.035312689454598936,0.06367281008373442,0.13451085043162822,0,NA,0.04413264909515443
theta[4],0.16052867433217732,0.06173012518594468,0.03942663134419504,0.11806357285373364,0.16016007827322853,0.2024378175608417,0.2826889044182814,0,NA,0.16052867433217732
theta[5],0.18000796537818958,0.10353877879135906,0.014237087179618694,0.1004114969090938,0.1711534078989941,0.24847611881149823,0.4044014955311618,0,NA,0.18000796537818958
theta[6],0.10747992528569808,0.0751544875527524,0.005166477794357944,0.0479310486416864,0.0949440626375472,0.15360404564400373,0.28150025366451314,0,NA,0.10747992528569808
theta[7],0.04831995638857138,0.04413319665286381,0.001431518924230169,0.01527587379390196,0.03567364671180553,0.06825331222486147,0.16374609620914193,0,NA,0.04831995638857138
theta[8],0.14835119882826117,0.1131737914750752,0.005748238931581304,0.05876078697996447,0.12496222894741199,0.21324199393043775,0.4220787598743485,0,NA,0.14835119882826117
theta[9],0.09747116709803685,0.0734661783129938,0.003942058261069349,0.03928247768195626,0.08306345869298987,0.1399323205315535,0.27450116012741643,0,NA,0.09747116709803685
theta[10],0.2794786020018927,0.1156672880296103,0.06214093634636048,0.19856706803373858,0.27655327643650596,0.357396860792451,0.5142107606516967,0,NA,0.2794786020018927
theta[11],0.12224443969553776,0.09139814616206232,0.0046998382354309755,0.04939585224712415,0.10437024622085908,0.17575801111172115,0.339882153009093,0,NA,0.12224443969553776
theta[12],0.14682345712260542,0.09637467880945509,0.007907438999279459,0.07075198703120683,0.133519887467708,0.20785345557698004,0.36495311445553336,0,NA,0.14682345712260542
theta[13],0.06949717878723163,0.044025407780149614,0.0037568889839060173,0.03450709454683536,0.06450506621237406,0.09777359760672062,0.16618333112039801,0,NA,0.06949717878723163
theta[14],0.056454507581588716,0.03663054420551075,0.0031753789811255553,0.027315432741821268,0.05178301561169351,0.0798495521944798,0.1379951032921764,0,NA,0.056454507581588716
theta[15],0.09032733283605969,0.07778677665045179,0.0027768274532719494,0.030465688554992654,0.06969815735266388,0.12936663806042134,0.2876541813818186,0,NA,0.09032733283605969
theta[16],0.27543397089495647,0.14057410553816646,0.035072151415028154,0.171181867254149,0.2667870045346445,0.36860633685063443,0.5726357033248735,0,NA,0.27543397089495647
theta[17],0.100090667300798,0.07332311294320815,0.0038161871667001445,0.04139547082864576,0.08675684816265723,0.14372625305642472,0.2737344064888491,0,NA,0.100090667300798
theta[18],0.08835902147595215,0.07782095783512269,0.0027363960320594934,0.02945841454970438,0.06687897840234114,0.1260780293448514,0.28879212667497883,0,NA,0.08835902147595215
theta[19],0.07158644276312932,0.053306680221210906,0.003026907118489346,0.02919343156421458,0.06101674052795564,0.1031208395376339,0.19858747074102062,0,NA,0.07158644276312932
theta[20],0.268501935158827,0.18358805343766765,0.014376331536623892,0.1244908906808801,0.23874337488961916,0.37947094084777905,0.6955756545363271,0,NA,0.268501935158827
theta[21],0.6000849344510003,0.16888162670801862,0.2777858678569164,0.48466739312171314,0.5977509960696394,0.7131681242548789,0.9392233839091032,0,NA,0.6000849344510003
theta[22],0.20669944822276642,0.08838989676766695,0.04110450080289149,0.14379547585169314,0.20517213943595958,0.26625508031971057,0.3847983674537424,0,NA,0.20669944822276642
theta[23],0.13592718534234896,0.09023003314735453,0.006911527692985625,0.06453100908200499,0.12273172755669717,0.19280616587747018,0.34036601988683735,0,NA,0.13592718534234896
theta[24],0.2589499269157527,0.0847622065007092,0.0952387603831979,0.2005040274599672,0.2582153763655865,0.31675771049270907,0.425391836045618,0,NA,0.2589499269157527
theta[25],0.13448854480257014,0.08069442797007674,0.009241016420972442,0.0718991947697041,0.1262796799321234,0.1872680232171532,0.31128202281592604,0,NA,0.13448854480257014
theta[26],0.15096807476781066,0.07419306703938651,0.018702061749460028,0.09669303361503559,0.14789251769439005,0.200970286959902,0.30423049421879234,0,NA,0.15096807476781066
theta[27],0.19906744600786144,0.14776449065543276,0.009138741404096654,0.08322420945887965,0.16996385170864486,0.28440643317536113,0.5518246108557353,0,NA,0.19906744600786144
theta_new,0.21485000965395729,0.17138846070993255,0.007904574022400666,0.08174841137044644,0.17594242993108905,0.3062721963014927,0.6391147687291915,0,NA,0.21485000965395729
mean_effect,0.21497230085446897,0.04296334486134272,0.14274036645559765,0.1846548889875008,0.21069959356583912,0.24078830350873842,0.3111792051858616,0,NA,0.21497230085446897
lp__,-61.30122656609112,4.7576050560739995,-71.75458252059492,-64.24219106511482,-60.93006118326812,-57.89754121417465,-53.163326971495074,1,-61.30122656609112,NA
