# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=5
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/height (cm) - 6a_skewnormal_uni - draws_5.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_raw.1,theta_raw.2,theta_raw.3,theta_raw.4,theta_raw.5,theta_raw.6,theta_raw.7,theta_raw.8,theta_raw.9,theta_raw.10,theta_raw.11,theta_raw.12,theta_raw.13,theta_raw.14,theta_raw.15,theta_raw.16,theta_raw.17,theta_raw.18,theta_raw.19,theta_raw.20,theta_raw.21,theta_raw.22,theta_new_raw,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.0824977
# Diagonal elements of inverse mass matrix:
# 0.00928307, 1.21355, 0.81091, 0.945087, 0.815283, 0.843663, 0.733952, 0.867451, 0.833073, 0.793046, 0.857666, 0.919145, 0.6715, 0.73945, 0.789376, 0.822501, 0.749911, 0.869352, 0.790458, 0.797812, 0.787284, 0.750496, 0.674423, 0.927521, 0.878107, 77.1681
-16.6142,0.982643,0.0824977,4,31,0,28.4189,0.0821616,0.00955012,1.88716,1.15232,1.22619,0.303126,1.07945,0.995957,0.34798,-0.124881,0.490202,0.140124,-0.0545832,0.297711,0.18126,0.0684074,0.202306,1.09891,1.13531,0.412716,0.73342,2.76947,0.622807,1.04459,-0.0947891,5.4204,0.100184,0.0931663,0.0938718,0.0850565,0.0924704,0.0916731,0.0854848,0.0809689,0.086843,0.0834998,0.0816403,0.0850047,0.0838926,0.0828149,0.0840936,0.0926563,0.0930039,0.086103,0.0891658,0.10861,0.0881094,0.0921375,0.0812563,0.089655
-19.6316,0.996212,0.0824977,5,31,0,33.0698,0.049336,0.0182582,-0.38501,-0.0529073,0.211395,0.501737,2.62164,0.560125,0.416896,1.36773,0.464417,0.650431,1.04678,1.25176,0.67547,0.854806,0.525118,-0.00873561,2.13413,0.447779,0.101427,2.21383,0.218519,0.32186,1.40862,4.7849,0.0423064,0.04837,0.0531956,0.0584968,0.0972023,0.0595628,0.0569477,0.0743081,0.0578154,0.0612116,0.0684482,0.0721907,0.0616688,0.0649431,0.0589236,0.0491765,0.0883013,0.0575116,0.0511878,0.0897564,0.0533257,0.0552125,0.0750548,0.0635958
-19.6388,0.870327,0.0824977,5,31,0,32.6386,0.0343459,0.0315363,2.78302,1.8469,0.611396,0.759182,-0.369644,0.297083,0.358062,0.314429,0.700362,0.255217,0.940482,0.580771,1.03837,0.118892,1.32604,1.26704,0.471357,2.11749,1.18058,-0.221735,0.865459,0.421588,1.74823,4.32274,0.122112,0.0925903,0.0536271,0.0582877,0.0226887,0.0437148,0.0456379,0.0442618,0.0564327,0.0423945,0.0640052,0.0526613,0.0670922,0.0380953,0.0761642,0.0743038,0.0492108,0.101124,0.0715769,0.0273532,0.0616393,0.0476413,0.0894785,0.0588608
-19.3268,0.965889,0.0824977,4,31,0,30.9146,0.0562544,0.0100929,2.02516,2.62305,0.0654396,0.58338,1.55922,0.55681,0.224039,0.18977,1.83814,0.297048,0.0887304,0.340955,0.545332,0.420419,1.16484,1.51051,0.180641,2.22706,0.79902,1.15214,1.31224,0.314005,1.96562,9.67871,0.0766942,0.0827286,0.0569149,0.0621424,0.0719915,0.0618743,0.0585156,0.0581698,0.0748066,0.0592525,0.05715,0.0596957,0.0617584,0.0604977,0.068011,0.0714999,0.0580776,0.078732,0.0643189,0.0678828,0.0694987,0.0594237,0.0760932,0.0642648
-21.0332,0.979513,0.0824977,5,31,0,32.7057,0.0551074,0.00572492,1.49054,3.29338,0.494331,-0.0188616,1.51584,0.985712,0.175809,1.17974,1.10093,0.785374,0.386746,0.128913,0.625728,0.370917,0.538563,1.67569,0.162654,1.82326,0.815452,1.92601,1.56295,0.179721,1.2897,12.9082,0.0636406,0.0739618,0.0579374,0.0549994,0.0637855,0.0607505,0.0561139,0.0618613,0.0614101,0.0596036,0.0573215,0.0558454,0.0586896,0.0572309,0.0581906,0.0647006,0.0560386,0.0655454,0.0597758,0.0661337,0.0640552,0.0561363,0.0624908,0.0596616
-12.7031,0.986334,0.0824977,5,31,0,30.4474,0.0728679,0.00696447,0.0506835,0.201631,0.305797,1.22046,0.103828,0.819897,0.673225,1.12925,0.868696,0.556092,0.207239,0.60874,0.774286,0.71247,0.0880154,0.736585,0.616408,0.90308,0.657687,1.30294,-0.150117,0.973688,-0.1516,8.4549,0.0732209,0.0742722,0.0749976,0.0813677,0.073591,0.078578,0.0775566,0.0807325,0.0789179,0.0767408,0.0743112,0.0771075,0.0782604,0.0778299,0.0734809,0.0779978,0.0771609,0.0791574,0.0774483,0.0819422,0.0718224,0.0796491,0.0718121,0.0783863
