# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=12
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/mid-upper arm circumference (cm) - 6a_skewnormal_uni - draws_12.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_raw.1,theta_raw.2,theta_raw.3,theta_raw.4,theta_raw.5,theta_raw.6,theta_raw.7,theta_new_raw,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.0736594
# Diagonal elements of inverse mass matrix:
# 0.155616, 0.234747, 0.795956, 0.631312, 0.546646, 0.854051, 0.540954, 0.642181, 0.544213, 0.908999, 92.4502
-5.23618,0.981622,0.0736594,5,31,0,8.89319,0.497405,0.637964,-0.795976,-0.10685,-0.0852579,-0.016682,-0.694503,-0.147015,-0.562208,-1.22095,-12.6991,-0.010399,0.429239,0.443014,0.486763,0.0543373,0.403615,0.138737,-0.281519,-0.0100457
-2.3092,0.988237,0.0736594,3,7,0,7.98346,0.390455,0.673572,-1.24918,-0.333067,-0.398401,-0.202555,-0.276882,-0.0198333,-0.535939,-1.65837,-9.65068,-0.450956,0.166111,0.122103,0.25402,0.203955,0.377096,0.0294619,-0.726578,-0.144116
-1.6823,0.980964,0.0736594,3,15,0,6.94866,0.375045,0.680418,-1.26733,-0.361182,-0.490385,-0.243886,-0.301353,0.02229,-0.423644,-1.57209,-9.60507,-0.48727,0.12929,0.0413785,0.209101,0.169999,0.390212,0.0867899,-0.694631,-0.164932
-2.96909,0.99636,0.0736594,5,31,0,5.80018,0.501959,0.815248,-0.860734,-0.321752,-0.171879,-0.0194835,-0.49411,-0.173542,-0.6476,-1.95597,-15.8228,-0.199753,0.239651,0.361834,0.486075,0.0991364,0.360479,-0.025996,-1.09265,-0.14722
-2.0051,0.829619,0.0736594,5,31,0,9.81994,0.632269,0.583273,-1.3686,-0.838687,-1.04471,-0.333448,-0.842825,-0.469237,-0.888628,-0.420023,-19.7136,-0.166,0.143086,0.0229159,0.437778,0.140672,0.358576,0.113957,0.387281,0.167482
-2.53468,0.967668,0.0736594,4,15,0,3.50344,0.525096,0.573134,-1.55162,-0.855433,-1.12153,-0.0186231,-0.834855,-0.136724,-0.843277,-0.591688,-20.3983,-0.364191,0.0348178,-0.117689,0.514422,0.046612,0.446735,0.041785,0.185979,0.0683492
-3.17678,0.584712,0.0736594,5,31,0,8.43485,0.473893,0.608164,-1.05031,-0.741598,-0.773087,-0.240779,-0.366151,-0.127065,-0.536252,-0.626063,-3.49515,-0.164869,0.0228801,0.00372957,0.32746,0.251213,0.396617,0.147764,0.0931442,0.00736766
-1.23088,0.888529,0.0736594,4,31,0,6.93546,0.880612,0.905809,-1.56662,-1.01745,-0.603642,-0.182886,-0.919786,-0.412339,-0.903313,-0.39684,-6.57633,-0.53845,-0.0410072,0.333827,0.714952,0.0474608,0.507111,0.0623826,0.52115,0.166094
-1.03976,0.985753,0.0736594,4,31,0,5.84989,0.718731,0.700156,-1.35138,-1.02042,-1.02477,-0.193418,-0.852396,-0.427414,-0.974234,-1.90722,-9.86326,-0.227447,0.00427591,0.00123485,0.583308,0.12192,0.419474,0.0366144,-0.616624,0.162936
-2.82374,0.836988,0.0736594,5,31,0,5.93855,0.50882,0.358325,-2.12758,-1.13621,-0.726732,-0.270495,-1.12105,-0.320005,-0.974692,-1.16005,-4.61527,-0.253544,0.101688,0.248414,0.411895,0.10712,0.394154,0.159564,0.093146,0.229402
-4.05449,0.902455,0.0736594,5,31,0,6.88242,0.374871,0.351846,-1.47597,-0.522001,-0.729915,-0.167472,-0.634285,0.0176132,-0.46943,0.0614785,-3.27213,-0.144442,0.191207,0.118053,0.315947,0.151701,0.381068,0.209704,0.396502,0.106396
-5.41,0.996996,0.0736594,4,31,0,9.48618,0.43729,0.470179,-1.82176,-0.798705,0.0877658,-0.163121,-0.768092,-0.194369,-1.01073,-0.952434,-8.32245,-0.419265,0.0617556,0.478555,0.360594,0.0761492,0.345902,-0.037932,-0.0105243,0.0648204
-3.29889,0.997337,0.0736594,4,15,0,8.8456,0.478705,0.412957,-1.69136,-0.526619,-0.33893,-0.133871,-0.990032,-0.0609039,-0.717503,-1.01324,-10.1279,-0.219753,0.261234,0.338741,0.423422,0.0698637,0.453554,0.182407,0.0602788,0.150807
-0.843636,0.988304,0.0736594,5,31,0,5.6686,0.446926,0.780598,-0.960848,-0.526855,-0.592272,-0.037929,-0.495099,0.0107848,-0.293779,-0.365995,-9.0532,-0.30311,0.0356646,-0.0153999,0.417319,0.0604526,0.455345,0.217603,0.161231,-0.172136
-0.717529,0.999167,0.0736594,4,31,0,5.62965,0.487883,0.711209,-1.11761,-0.411052,-0.419828,-0.0415447,-0.476039,-0.18733,-0.488688,-1.62781,-2.82601,-0.306973,0.19554,0.189298,0.458336,0.14932,0.354652,0.140324,-0.66983,-0.0470749
-1.13153,0.990234,0.0736594,4,31,0,3.13769,0.488148,0.741103,-1.15352,-0.903746,-0.418149,0.218042,-0.520139,-0.258026,-0.493387,-1.38383,-3.59806,-0.366728,-0.181621,0.178256,0.64974,0.102671,0.296924,0.122498,-0.537413,-0.0815722
-0.899169,0.959006,0.0736594,4,31,0,3.89507,0.493386,0.702201,-1.03621,-0.254565,-0.45545,-0.305622,-0.469417,-0.204532,-0.475952,-0.923139,-6.50309,-0.23424,0.31463,0.173569,0.278778,0.163761,0.349763,0.159172,-0.154843,-0.0603805
-2.62783,0.969408,0.0736594,5,31,0,6.74929,0.399964,0.552309,-1.39147,-0.770466,-0.548706,-0.395891,-0.642101,-0.0789031,-0.525532,0.00452492,-21.169,-0.368558,-0.0255709,0.0969091,0.18131,0.0453264,0.356385,0.109708,0.402464,-0.0402238
0.168352,0.983506,0.0736594,4,15,0,3.58527,0.49556,0.697198,-1.07331,-0.676009,-0.582941,0.0397033,-0.560913,-0.137989,-0.614521,-0.683423,-17.0528,-0.252747,0.0242475,0.0891348,0.523241,0.104492,0.399355,0.0671173,0.0190788,-0.0597699
2.15029,1,0.0736594,5,31,0,1.24903,0.518431,0.942612,-1.02604,-0.470635,-0.384048,-0.121166,-0.423974,-0.118109,-0.454445,-0.0255375,-10.346,-0.448726,0.0748047,0.156423,0.404218,0.118788,0.4071,0.090066,0.494359,-0.230176
2.77531,0.669738,0.0736594,4,31,0,0.538255,0.561899,1.05448,-0.875384,-0.56912,-0.514045,-0.0609824,-0.45539,-0.198869,-0.449003,-0.112364,-6.19674,-0.361177,-0.0382276,0.019848,0.497594,0.0816982,0.352195,0.0884332,0.443413,-0.26871
-0.337102,0.729551,0.0736594,5,47,0,6.63979,0.759872,1.03136,-0.960725,-0.945086,-0.561703,-0.0427892,-0.683953,-0.350037,-0.528583,-0.0420066,-10.4161,-0.230981,-0.214851,0.180554,0.715741,0.0544708,0.398858,0.214713,0.716548,-0.0592679
0.640417,0.745926,0.0736594,4,15,0,3.62745,0.784672,0.970456,-1.16692,-0.752759,-0.510408,-0.234636,-0.603421,-0.350992,-0.737144,-0.134398,-11.255,-0.347771,0.0541519,0.289343,0.556968,0.199078,0.44405,0.0693058,0.654244,0.013398
0.967721,0.864228,0.0736594,4,15,0,3.1717,0.787292,0.880101,-1.32352,-0.771286,-0.501608,-0.075063,-0.764258,-0.496864,-0.818631,-0.62321,-10.8905,-0.377535,0.108482,0.345826,0.721229,0.114668,0.350002,0.0668143,0.238804,0.0880148
-2.28796,0.683153,0.0736594,5,31,0,5.00691,0.350179,0.388484,-1.9138,-0.999173,-0.562727,0.0326803,-0.718659,0.0739734,-0.578445,-0.546534,-7.46283,-0.393302,-0.0379845,0.131568,0.362875,0.070991,0.378916,0.125462,0.137859,0.0429587
-2.89069,0.851653,0.0736594,4,15,0,8.58434,0.515542,0.545823,-1.30759,-0.394973,-0.641685,-0.486856,-0.954224,-0.09074,-0.779104,-0.322553,-6.06544,-0.198169,0.299956,0.165295,0.249805,-0.00529567,0.466014,0.0902887,0.339485,0.0858385
-2.72058,0.91437,0.0736594,4,31,0,5.05663,0.390852,0.44982,-1.71442,-0.68003,-0.622512,-0.24232,-0.55367,-0.282933,-0.859316,-0.217946,-9.05324,-0.380326,0.0849611,0.110834,0.281852,0.1418,0.263583,0.00431513,0.292816,0.0341175
-0.697808,0.98259,0.0736594,3,15,0,9.12461,0.44265,0.483438,-1.50587,-0.60027,-0.62056,-0.230552,-0.718345,0.0508402,-0.709658,-0.292038,-7.60075,-0.285346,0.152458,0.142648,0.331193,0.0953756,0.467228,0.0995753,0.301468,0.0602186
