# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=8
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/weight (kg) - 5a_halfnormal_uni - draws_8.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,theta.26,theta.27,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.234907
# Diagonal elements of inverse mass matrix:
# 0.0391006, 0.617735, 0.0429669, 1.42773, 0.2547, 0.701823, 1.0817, 1.57717, 1.16051, 1.23183, 0.303224, 1.18134, 0.78983, 0.869445, 0.906214, 1.44231, 0.585635, 1.21223, 1.42247, 1.06424, 1.13777, 0.108253, 0.340841, 0.884717, 0.153523, 0.779642, 0.498048, 1.08885, 1.34747
-67.9065,0.992419,0.234907,4,15,0,85.6388,0.319914,0.124171,0.870595,0.123992,0.117952,0.140095,0.163849,0.184959,0.209666,0.0867357,0.516879,0.0963134,0.0297305,0.018076,0.082352,0.292944,0.208436,0.138039,0.0102064,0.0990031,0.000329207,0.694364,0.0917112,0.182759,0.149379,0.0471113,0.255712,0.370071,0.178683,0.255255
-59.5394,0.985599,0.234907,4,15,0,77.5814,0.205516,0.298409,0.576573,0.015599,0.0770376,0.118898,0.132281,0.00609669,0.194844,0.077793,0.137844,0.235025,0.223277,0.10686,0.0829811,0.011042,0.155474,0.116422,0.254941,0.0750847,0.105166,0.35779,0.088952,0.16141,0.386483,0.13017,0.13295,0.158023,0.299146,0.163978
-62.0758,0.966032,0.234907,4,15,0,73.9291,0.163731,0.0419805,0.467997,0.0505329,0.286851,0.2,0.0857131,0.00510073,0.0388603,0.0638104,0.225742,0.0387705,0.0840844,0.0587846,0.0566727,0.216559,0.182133,0.0235872,0.018334,0.0743615,0.193929,0.335029,0.306232,0.0209634,0.16372,0.149993,0.165123,0.0953652,0.0691548,0.130639
-62.3642,0.936477,0.234907,4,15,0,76.4765,0.166347,0.0519783,0.481594,0.0621456,0.227581,0.200369,0.0944013,0.0039584,0.0552744,0.063632,0.207725,0.0254006,0.10734,0.0646117,0.055107,0.177563,0.158262,0.0211769,0.011035,0.117817,0.232801,0.311603,0.387449,0.0189782,0.184225,0.150921,0.193477,0.117717,0.0653293,0.132726
-62.2905,0.872244,0.234907,4,15,0,79.4788,0.171537,0.0680699,0.501672,0.0510478,0.13184,0.159201,0.0754397,0.0211015,0.101162,0.131497,0.208631,0.0451238,0.109273,0.106119,0.0809471,0.0267696,0.0736862,0.0866912,0.00123931,0.0355867,0.0333177,0.433657,0.0823613,0.0426685,0.385138,0.117424,0.130808,0.230086,0.0380812,0.136867
-57.6884,0.950041,0.234907,4,15,0,72.9981,0.304029,0.269072,0.801944,0.0467878,0.218367,0.195672,0.177914,0.0582908,0.194175,0.100194,0.364077,0.196951,0.234885,0.011692,0.0235106,0.23071,0.105914,0.0943305,0.22821,0.0170282,0.70604,0.580298,0.295984,0.0876823,0.121479,0.0782307,0.237026,0.0812029,0.11777,0.242581
-55.6667,0.816454,0.234907,4,15,0,70.0704,0.257399,0.0280923,0.805809,0.00911774,0.169675,0.0809365,0.0951699,0.0516949,0.0687248,0.0313988,0.300378,0.0993319,0.12711,0.032107,0.117318,0.0220841,0.286823,0.188083,0.0186241,0.0650334,0.108442,0.611452,0.177937,0.104625,0.388564,0.127415,0.191047,0.295375,0.26129,0.205374
-55.3274,0.894943,0.234907,4,15,0,69.1915,0.233947,0.128501,0.631044,0.075889,0.0912037,0.293978,0.174803,0.0559808,0.295873,0.141484,0.0526809,0.137591,0.199828,0.111664,0.0330752,0.180496,0.153516,0.0125912,0.0616799,0.0489305,0.114953,0.570575,0.298931,0.136096,0.205012,0.204188,0.165227,0.0991737,0.183842,0.186663
