# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=1
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/weight (kg) - 6a_skewnormal_uni - draws_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_raw.1,theta_raw.2,theta_raw.3,theta_raw.4,theta_raw.5,theta_raw.6,theta_raw.7,theta_raw.8,theta_raw.9,theta_raw.10,theta_raw.11,theta_raw.12,theta_raw.13,theta_raw.14,theta_raw.15,theta_raw.16,theta_raw.17,theta_raw.18,theta_raw.19,theta_raw.20,theta_raw.21,theta_raw.22,theta_raw.23,theta_raw.24,theta_raw.25,theta_raw.26,theta_raw.27,theta_new_raw,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,theta.26,theta.27,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.17673
# Diagonal elements of inverse mass matrix:
# 0.00440844, 0.0540136, 0.0715543, 0.262572, 0.0362929, 0.049918, 0.11691, 0.0814523, 0.0548653, 0.177502, 0.0808654, 0.135993, 0.116766, 0.11376, 0.0383139, 0.0353648, 0.10872, 0.223878, 0.0875414, 0.107059, 0.0506656, 0.40806, 0.258431, 0.0876658, 0.104857, 0.0841683, 0.0822527, 0.0691389, 0.264086, 0.383022, 30.964
-8.03146,0.958359,0.17673,4,31,0,17.7607,-0.145541,0.415675,0.636121,2.62548,0.230359,0.980822,0.308821,0.320982,0.21152,0.0802044,0.553681,1.36892,0.19194,0.903176,0.389821,0.54605,0.0331908,0.498053,0.301046,0.297786,0.266504,1.573,1.91132,1.12994,0.622505,0.925072,0.460249,0.672085,0.150505,0.347538,18.2942,0.118878,0.945803,-0.049787,0.262162,-0.0171723,-0.0121171,-0.0576178,-0.112202,0.0846098,0.423486,-0.0657567,0.229886,0.0164973,0.081438,-0.131745,0.0614869,-0.020404,-0.021759,-0.0347623,0.508315,0.648947,0.324147,0.113218,0.238988,0.0457728,0.133828,-0.0829801,-0.00107866,0.185625
-11.318,0.927629,0.17673,4,15,0,23.3641,-0.155685,0.456645,0.708139,2.4381,0.280618,0.595984,1.11307,0.580845,-0.206824,0.998343,0.314091,0.781208,1.01607,0.372803,0.546924,0.175778,0.212531,1.67237,0.481384,-0.0539059,0.472522,0.740889,2.21638,0.517237,0.439288,0.974836,0.769134,0.790999,0.860333,1.00711,7.90277,0.167683,0.957663,-0.0275424,0.116468,0.352592,0.109555,-0.250131,0.300203,-0.0122572,0.20105,0.3083,0.0145536,0.094065,-0.0754172,-0.0586342,0.607995,0.0641365,-0.180301,0.0600896,0.182638,0.856413,0.0805086,0.0449134,0.289469,0.195536,0.20552,0.237182,0.304209,0.205783
-13.492,0.879176,0.17673,4,31,0,26.366,-0.127181,0.40388,0.477239,2.26575,0.347122,0.739717,0.49945,0.280899,0.447491,0.852364,0.165817,1.215,0.467482,0.462481,0.54242,0.629008,0.353595,1.20039,0.210762,1.00726,0.197523,1.02818,1.83928,1.00268,0.234618,0.703379,0.729237,0.594543,1.69636,1.00572,7.62505,0.065566,0.787909,0.0130142,0.171576,0.0745366,-0.0137317,0.0535514,0.217072,-0.0602113,0.363532,0.0616255,0.0596057,0.0918912,0.126862,0.0156285,0.357632,-0.0420586,0.279631,-0.0474056,0.28808,0.615667,0.27778,-0.032424,0.156899,0.167343,0.112943,0.557943,0.27901,0.192332
-12.5956,0.943858,0.17673,4,15,0,25.6165,-0.141883,0.445918,0.363741,2.20491,0.0171589,0.589287,0.754756,0.288676,0.387634,0.468761,0.540168,0.629711,0.721455,0.693902,0.419321,0.275829,0.340274,0.8515,0.658425,0.801524,0.234035,0.15233,1.72479,0.700172,0.621275,1.2741,0.454926,0.715707,0.830316,-0.00719909,15.2452,0.0203162,0.841328,-0.134231,0.120891,0.194677,-0.0131566,0.0309702,0.0671462,0.0989882,0.138917,0.179827,0.167541,0.0451003,-0.0188856,0.00985189,0.237817,0.151721,0.215531,-0.0375223,-0.0739559,0.627231,0.170337,0.135155,0.42626,0.0609769,0.177264,0.228371,-0.145093,0.213146
-11.9204,0.653842,0.17673,5,31,0,24.4395,-0.197408,0.425128,1.01297,2.33368,0.610866,0.910443,0.692776,0.627216,-0.249903,0.479178,0.217695,1.52223,0.414701,0.385677,0.564313,0.638345,0.0521765,1.26806,0.181636,-0.366794,0.504997,1.4694,2.33673,1.05619,0.439662,0.677211,0.822876,0.650189,0.344256,1.22341,1.5285,0.233233,0.794705,0.0622889,0.189647,0.0971111,0.0692397,-0.303649,0.00630464,-0.104859,0.449736,-0.0211064,-0.0334455,0.0424977,0.073971,-0.175226,0.341679,-0.120189,-0.353342,0.0172809,0.427276,0.796003,0.251607,-0.0104947,0.0904941,0.15242,0.079006,-0.0510547,0.3227,0.0864449
-6.03946,0.366265,0.17673,4,15,0,26.2407,-0.250082,0.506557,1.01716,2.34194,0.292674,0.774764,0.569278,0.624658,-0.0484819,-0.0732131,0.435657,1.49805,0.706882,0.528391,0.531255,0.707969,0.123344,1.23807,0.289826,0.0399062,0.621324,1.82362,2.0918,0.919145,0.633076,1.08073,0.637831,0.677068,0.161438,0.625164,9.73189,0.26517,0.936247,-0.101825,0.142381,0.0382906,0.0663436,-0.27464,-0.287168,-0.0293961,0.508768,0.107995,0.0175786,0.0190296,0.108545,-0.187601,0.377073,-0.103268,-0.229867,0.0646545,0.673687,0.809535,0.215518,0.0706075,0.297372,0.0730166,0.0928923,-0.168304,0.0666,0.151976
-9.77913,0.67555,0.17673,4,31,0,26.8103,-0.276792,0.473078,0.986512,2.52683,0.375647,1.14923,0.430569,0.71542,0.0914153,1.18427,0.461797,1.27578,1.00758,0.74792,0.794818,0.685173,0.0689281,1.53612,0.422093,0.121572,0.598634,0.576567,2.07346,0.940074,0.447178,1.27209,0.800876,0.672647,0.676639,-0.0311764,19.3832,0.189905,0.918593,-0.0990816,0.266885,-0.0730992,0.0616574,-0.233546,0.283462,-0.0583261,0.32675,0.199873,0.0770322,0.0992186,0.0473483,-0.244184,0.449912,-0.0771093,-0.219279,0.00640855,-0.00403091,0.704116,0.167936,-0.0652421,0.325004,0.102085,0.0414225,0.0433111,-0.291541,0.100168
-10.9751,0.810383,0.17673,4,15,0,26.6873,-0.191943,0.485194,0.598091,2.19421,0.339571,0.51902,1.50178,0.872522,0.149521,0.40921,0.75197,1.18557,0.447748,0.66797,0.517642,0.502721,0.205206,0.636049,0.588664,0.194767,0.572576,1.77209,1.79641,0.988376,0.420877,1.04572,1.03262,0.75234,0.815401,1.46229,15.3045,0.0982471,0.872675,-0.0271851,0.0598827,0.536713,0.2314,-0.119396,0.00660332,0.172908,0.38329,0.0253018,0.132152,0.0592138,0.0519744,-0.0923782,0.116664,0.0936732,-0.0974433,0.0858674,0.667867,0.679664,0.287611,0.0122639,0.315436,0.309078,0.173088,0.203685,0.517551,0.194362
-9.1339,0.940014,0.17673,4,15,0,26.4264,-0.220591,0.493116,0.889818,2.2535,0.187116,0.871368,0.73905,0.334874,-0.0944573,0.754703,0.444569,1.05645,0.545616,0.737064,0.55544,0.599758,0.0546122,0.806224,0.385744,0.0213314,0.240233,0.861029,1.99752,1.15718,0.548679,0.874341,0.700888,0.547902,2.31455,-0.265593,3.46088,0.218192,0.890646,-0.128322,0.209094,0.143846,-0.0554596,-0.26717,0.151565,-0.00136767,0.30036,0.0484603,0.142867,0.0533051,0.0751588,-0.193661,0.176971,-0.0303751,-0.210073,-0.102129,0.203996,0.764419,0.350031,0.0499709,0.21056,0.125028,0.0495875,0.920749,-0.35156,0.157396
-9.71296,0.826449,0.17673,4,15,0,28.9941,-0.211341,0.435504,0.678347,2.48264,0.664025,0.641007,1.0212,0.819876,0.165987,0.197312,0.694917,1.14612,0.335646,0.554167,0.588027,0.650176,0.444884,1.37093,0.569819,0.160633,0.704557,0.650992,2.01311,0.623288,0.606178,1.07899,0.74444,0.966968,0.0576484,2.14554,11.9448,0.0840822,0.86986,0.0778448,0.0678205,0.233396,0.145719,-0.139053,-0.125411,0.0912983,0.2878,-0.0651658,0.0300011,0.0447476,0.0718136,-0.017592,0.385707,0.0368178,-0.141384,0.0954969,0.0721692,0.665377,0.0601036,0.0526521,0.258563,0.112866,0.209778,-0.186235,0.72305,0.13493
