# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=6
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/Haemoglobin (g per dL) - 6a_skewnormal_uni - draws_6.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_raw.1,theta_raw.2,theta_raw.3,theta_raw.4,theta_raw.5,theta_raw.6,theta_raw.7,theta_raw.8,theta_raw.9,theta_raw.10,theta_raw.11,theta_raw.12,theta_raw.13,theta_new_raw,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.0531198
# Diagonal elements of inverse mass matrix:
# 0.00817309, 1.33532, 0.784068, 0.81587, 0.767184, 0.945982, 0.982737, 0.932821, 0.891087, 0.983785, 0.848103, 0.815921, 0.807843, 0.858257, 0.978517, 0.939371, 99.6403
-12.7764,0.996007,0.0531198,6,63,0,20.1372,0.0692438,0.0263549,-1.25042,-0.50553,-1.1028,-0.471731,-0.790246,-1.28695,1.11272,0.0925377,-0.659137,-0.973995,-0.202201,0.112817,0.0671295,1.05774,-0.656668,0.0362892,0.0559206,0.0401796,0.0568114,0.0484169,0.0353265,0.0985693,0.0716826,0.0518723,0.0435743,0.0639148,0.072217,0.071013,0.0971204,0.0577014
-14.7931,0.791288,0.0531198,6,63,0,23.524,0.0293589,0.055946,0.508906,0.716253,2.13017,1.47942,0.397167,1.63139,-1.33041,1.0373,0.547339,1.50898,0.114932,0.486821,0.809597,-0.286543,1.51613,0.0578301,0.0694304,0.148533,0.112127,0.0515788,0.120629,-0.0450724,0.0873916,0.0599803,0.11378,0.0357889,0.0565946,0.0746526,0.0133279,0.0666219
-20.7594,0.970645,0.0531198,6,63,0,28.8262,0.00109242,0.00757691,-1.88202,-0.871746,1.32566,0.104809,1.68329,1.08392,-0.267349,-0.530395,0.791606,0.562324,-1.71265,1.42185,0.205576,1.68014,0.522938,-0.0131675,-0.00551273,0.0111369,0.00188655,0.0138465,0.00930516,-0.000933259,-0.00292634,0.00709035,0.0053531,-0.0118842,0.0118656,0.00265005,0.0138227,0.00389391
-17.051,0.985166,0.0531198,6,63,0,28.4701,0.00764375,0.0699875,0.0987648,-0.228174,1.01422,-0.1335,-0.5858,0.679468,0.778698,0.268241,-0.56236,-1.55945,1.70985,-0.811224,-1.99139,0.0848652,-0.354141,0.0145561,-0.00832558,0.0786264,-0.00169955,-0.0333549,0.055198,0.0621429,0.0264172,-0.0317144,-0.101498,0.127312,-0.0491318,-0.131728,0.0135833,-0.0109977
-14.9051,0.971069,0.0531198,6,63,0,22.9133,0.0271461,0.0197321,-0.161635,-0.408223,0.56658,0.34551,-0.290358,0.140867,-1.08166,2.35019,0.56302,-0.335639,-1.27091,1.06115,1.13237,0.113682,-0.0117803,0.0239567,0.019091,0.0383259,0.0339637,0.0214167,0.0299257,0.00580275,0.0735203,0.0382557,0.0205232,0.00206845,0.0480847,0.0494902,0.0293893,0.0269606
-14.3753,0.906525,0.0531198,6,63,0,26.7998,0.0360867,0.028119,-0.57462,1.27775,-1.73325,-0.103832,0.378976,-0.168368,0.736442,-1.21244,-1.30522,0.231213,0.481,-1.65677,-0.901425,-0.204329,-0.826943,0.019929,0.0720156,-0.0126506,0.0331671,0.0467431,0.0313524,0.0567947,0.00199409,-0.000614879,0.0425882,0.0496119,-0.0105001,0.0107396,0.0303412,0.021789
