# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=11
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/mid-upper arm circumference (cm) - 6a_skewnormal_uni - draws_11.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_raw.1,theta_raw.2,theta_raw.3,theta_raw.4,theta_raw.5,theta_raw.6,theta_raw.7,theta_new_raw,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.059381
# Diagonal elements of inverse mass matrix:
# 0.156659, 0.21529, 0.715617, 0.580409, 0.570486, 0.876034, 0.526468, 0.64895, 0.531948, 0.853666, 95.4733
-4.18517,0.981552,0.059381,3,7,0,6.78032,-0.0732478,0.466368,-0.0239675,0.652901,0.58943,1.0603,0.583968,1.04827,0.0778203,0.506692,5.97416,-0.0844254,0.231245,0.201643,0.421244,0.199096,0.415631,-0.0369549,0.163057,0.293754
-4.3849,0.987941,0.059381,5,31,0,12.181,-0.465676,0.548606,0.185727,0.599313,0.717947,1.94562,1.20151,1.54588,1.14433,0.375825,17.3884,-0.363785,-0.13689,-0.071806,0.6017,0.19348,0.382405,0.16211,-0.259496,-0.0286739
-2.32794,0.913622,0.059381,5,31,0,8.77142,-0.0166494,0.464524,0.117712,0.376608,0.414019,1.43193,0.17397,1.0334,0.235658,0.37056,4.63406,0.0380308,0.158294,0.175672,0.648516,0.064164,0.463391,0.0928196,0.155485,0.345648
-3.41261,0.97613,0.059381,5,31,0,5.80662,-0.0999158,0.357027,-0.392053,0.265744,0.963461,1.26462,0.523372,1.20305,0.374478,0.275879,3.82113,-0.239889,-0.00503792,0.244066,0.351588,0.0869424,0.329605,0.0337829,-0.00141956,0.17567
-6.57141,0.942409,0.059381,5,63,0,12.0012,0.132835,0.33597,-1.1112,0.587561,0.354261,0.847218,-0.0693598,0.995553,0.128614,-0.333361,0.611305,-0.240496,0.330238,0.251856,0.417474,0.109532,0.46731,0.176045,0.0208355,0.27265
-13.2199,0.92144,0.059381,4,15,0,17.4088,0.15442,0.303977,-0.330452,0.497813,0.180019,1.16801,0.350013,0.321928,-0.225679,-0.423904,1.28909,0.0539706,0.305743,0.209142,0.509468,0.260816,0.252279,0.085819,0.0255632,0.346057
-9.83645,0.995885,0.059381,6,127,0,22.5662,0.190425,0.252922,-0.350597,0.135937,0.325013,0.487796,-0.604104,0.773523,-0.484299,-1.17033,-0.248448,0.101752,0.224806,0.272628,0.313799,0.0376344,0.386066,0.0679354,-0.105576,0.141767
-9.49187,0.952576,0.059381,4,31,0,13.9061,0.174001,0.19133,-0.618417,-0.164507,0.292962,-0.385877,-0.396752,0.740116,-0.410324,-0.939928,-0.564326,0.0556789,0.142526,0.230053,0.100171,0.0980901,0.315608,0.0954934,-0.00583597,0.0989734
-11.0566,0.947777,0.059381,6,63,0,15.3347,0.178199,0.147808,-1.82116,-0.400014,0.426366,-0.25915,0.134358,1.22866,-0.586887,-1.55672,-0.594224,-0.0909831,0.119073,0.241219,0.139894,0.198058,0.359805,0.091452,-0.0518971,0.117953
-11.7828,0.999599,0.059381,5,63,0,14.5473,0.20917,0.172007,-1.98745,0.0492045,1.21689,0.876966,-1.09587,1.33197,-0.762168,-0.592078,-0.0842323,-0.132685,0.217634,0.418484,0.360015,0.0206728,0.438279,0.0780719,0.107329,0.197651
-12.4876,0.973402,0.059381,5,63,0,15.2558,0.200331,0.128289,-1.72319,-0.300232,1.1028,1.08435,-1.16797,1.65273,-1.07669,-0.748235,-0.165729,-0.0207344,0.161815,0.341808,0.339442,0.0504938,0.412358,0.0622036,0.104341,0.183596
-14.4124,0.360462,0.059381,5,31,0,21.7445,0.157691,0.303145,-2.82229,0.202105,-0.952658,-0.129647,0.0326335,0.303322,-0.122791,-0.13389,-0.933635,-0.697872,0.218958,-0.131103,0.118389,0.167583,0.249641,0.120467,0.117102,-0.00737345
-14.8367,0.945249,0.059381,5,31,0,19.4678,0.228805,0.12886,-0.18476,-1.43787,-0.537191,0.593132,-1.69169,0.639751,-1.16185,-0.704952,-0.390341,0.204996,0.0435197,0.159582,0.305236,0.0108128,0.311243,0.0790885,0.137964,0.191419
-11.5083,0.997648,0.059381,5,31,0,18.3221,0.329939,0.154303,-1.5567,-0.952696,-0.874712,0.86944,-1.24652,-0.318447,-1.25826,-0.922161,-1.80311,0.0897348,0.182935,0.194968,0.464097,0.137596,0.280802,0.135785,0.187647,0.222272
-11.6318,0.975475,0.059381,5,63,0,18.2657,0.206479,0.196193,-1.59891,0.45261,-0.21144,-1.03594,-0.469311,1.05753,-0.681895,-2.36295,-0.943646,-0.107215,0.295278,0.164996,0.00323575,0.114404,0.413959,0.0726965,-0.257114,0.0990438
-8.4727,0.899535,0.059381,5,31,0,13.9213,0.166596,0.216257,-1.45281,-0.238567,-0.570884,-0.776383,-0.368865,0.584115,-0.310375,-1.65303,-2.58142,-0.147586,0.115005,0.0431384,-0.00130234,0.0868265,0.292915,0.0994755,-0.190883,0.00569862
-6.95033,0.979598,0.059381,6,63,0,15.0433,0.232853,0.271777,-1.05529,-0.426617,-0.936771,-0.167234,-0.508426,0.392474,-0.662441,-2.12989,-1.27401,-0.0539503,0.116908,-0.0217397,0.187403,0.0946745,0.339518,0.052817,-0.346003,0.0622772
-6.3582,0.973179,0.059381,5,31,0,11.6804,0.244543,0.309716,-1.33201,-0.228104,-1.06018,-0.052481,-0.264103,0.358987,-0.47137,-2.01606,-1.97504,-0.168,0.173896,-0.083812,0.228289,0.162746,0.355727,0.0985528,-0.379863,0.024075
-2.88113,0.947198,0.059381,5,31,0,11.3888,0.360723,0.442618,-1.66328,-0.21673,-0.387947,-0.00707641,-0.642738,-0.0956668,-0.537575,-0.278423,-1.60751,-0.375475,0.264795,0.189011,0.357591,0.076236,0.318379,0.122783,0.237488,0.060853
-4.85111,0.947229,0.059381,4,15,0,8.85457,0.382219,0.423322,-1.51006,-0.627555,0.145743,-0.0036604,-0.447952,0.0368917,-0.735996,-0.463984,-6.50852,-0.257023,0.116561,0.443915,0.380669,0.192591,0.397836,0.0706551,0.185804,0.0483736
-6.21876,0.961004,0.059381,5,31,0,10.202,0.291988,0.418183,-1.38522,-0.779613,0.00042885,-0.227935,-0.476023,0.0430084,-0.925668,-0.00481838,-5.67012,-0.287286,-0.0340329,0.292167,0.196669,0.0929231,0.309973,-0.0951106,0.289973,-0.036603
-4.724,0.99425,0.059381,5,31,0,10.2527,0.486934,0.529394,-1.7783,-0.321825,-1.16869,-0.214909,-0.649211,-0.196264,-1.06557,-0.760617,-7.36224,-0.45449,0.316562,-0.131765,0.373162,0.143246,0.383033,-0.0771718,0.084268,0.0683818
-4.1516,0.997334,0.059381,4,31,0,8.38782,0.502046,0.535925,-1.80266,-0.385707,-1.00321,-0.339154,-0.529048,-0.137926,-0.923645,-0.946708,-7.74203,-0.464042,0.295336,-0.0355993,0.320285,0.218516,0.428128,0.00704176,-0.0053186,0.0779626
-1.43882,0.97207,0.059381,5,31,0,8.90629,0.420258,0.532271,-0.961879,-0.704434,-0.515383,-0.0406895,-0.480826,-0.0939602,-0.735229,-1.30384,-7.54738,-0.0917228,0.0453076,0.145934,0.3986,0.164328,0.370245,0.0289163,-0.273736,-0.000754081
2.00142,0.981153,0.059381,5,63,0,3.4336,0.701563,1.06575,-0.870675,-0.500274,-0.479899,-0.0457039,-0.620351,-0.290501,-0.578817,-0.400178,-12.5864,-0.226355,0.168399,0.190113,0.652855,0.0404268,0.391963,0.0846922,0.275075,-0.146108
1.61307,0.809894,0.059381,5,39,0,1.2546,0.84852,1.33485,-0.824287,-0.739556,-0.583479,-0.327454,-0.55665,-0.367823,-0.555641,-0.533464,-16.7601,-0.251776,-0.138673,0.0696653,0.411419,0.105478,0.357533,0.106825,0.136428,-0.214643
-1.72464,0.691604,0.059381,5,39,0,6.27682,0.781054,1.09074,-0.972376,-0.640907,-0.515492,0.00162435,-0.633163,-0.465433,-0.664941,-0.72924,-23.0203,-0.279555,0.0819915,0.218786,0.782825,0.0904385,0.273388,0.0557762,-0.0143565,-0.0884106
-3.78111,0.971758,0.059381,5,31,0,6.63735,0.418539,0.622524,-0.896557,-0.478397,-0.606399,-0.189555,-0.450769,-0.207718,-0.460033,-1.37409,-22.9127,-0.139588,0.120726,0.0410412,0.300537,0.137925,0.28923,0.132158,-0.436867,-0.0776907
-2.7019,0.993542,0.059381,5,47,0,8.40585,0.588574,0.505172,-1.59375,-1.01605,-1.04852,-0.151449,-0.869468,-0.482096,-0.906099,-1.01843,-19.7138,-0.216546,0.0752957,0.0588918,0.512066,0.149343,0.345032,0.130838,0.0740889,0.186022
-2.72179,0.608426,0.059381,5,63,0,7.50204,1.08959,0.833521,-1.76515,-1.34102,-1.06515,-0.533838,-1.12911,-0.920937,-1.14735,-0.670655,-16.2294,-0.381705,-0.0281825,0.201762,0.644622,0.148449,0.321967,0.133243,0.530582,0.425792
-6.527,0.607076,0.059381,4,23,0,14.2599,0.656584,0.494257,-1.73423,-0.654703,-1.23358,-0.0426102,-1.17852,-0.764722,-0.926503,-1.57932,-12.067,-0.200573,0.332992,0.0468811,0.635524,0.0740921,0.278615,0.198654,-0.124006,0.263571
-4.09871,0.872294,0.059381,3,7,0,13.288,0.654812,0.498308,-1.72732,-0.604493,-1.2577,-0.37914,-1.13631,-0.639075,-1.00176,-1.42494,-10.473,-0.205923,0.353588,0.0280917,0.465884,0.0885818,0.336356,0.155627,-0.0552459,0.25902
-4.55487,0.88832,0.059381,5,31,0,8.23497,0.713869,0.516508,-1.77536,-0.62185,-1.46915,-0.11184,-0.998807,-0.564689,-1.19528,-1.03111,-10.1922,-0.203116,0.392679,-0.0449577,0.656103,0.197978,0.422203,0.0965005,0.181294,0.303725
-4.00087,0.987337,0.059381,6,63,0,7.89286,0.447005,0.384617,-2.23408,-0.754885,-0.484129,-0.288389,-1.16638,-0.272087,-1.03039,-0.818587,-5.9732,-0.412261,0.156663,0.260801,0.336086,-0.00160576,0.342356,0.0506995,0.132162,0.144337
-4.2292,0.999512,0.059381,5,31,0,7.53212,0.335878,0.287535,-1.88554,-1.18141,-0.402707,-0.288157,-0.543025,-0.00369793,-0.834811,-0.0124529,-10.7665,-0.206283,-0.00382016,0.220085,0.253022,0.179739,0.334814,0.09584,0.332297,0.107441
