,R,,,,,
,r1,r2,r3,r4,r5,r6
c1,.1405084,3.814815,.0736646,108.3303,193.8542,47.83415
c2,.1270976,3.571429,.0711747,104.6686,187.3017,46.21731
c3,.0643349,4,.0321675,47.30509,84.65122,20.88796
c4,.0255492,3.923077,.0130251,19.15451,34.27648,8.457834
