theta,hypersd,betap,
0.184,0.284,1.962,Weight
0.108,0.12,1.587,
0.055,0,0.419,Height
0.027,0,0.281,
0.112,0.191,0.706,MUAC
0.116,0.048,0.943,
0.017,0,0.685,Haemoglobin
0.021,0,0.726,
