"","mean_diff","se_mean_diff","beta_p"
"weight (kg)_pe",0.28526051153098,0.386649049129018,2.74485666407057
"weight (kg)_se",0.131854037280627,0.106030535908928,1.80136381666375
"height (cm)_pe",0.0947203540723357,0.0940443993756303,0.731856822912855
"height (cm)_se",0.0550834787202061,0.122443910057253,0.797466198683022
"mid-upper arm circumference (cm)_pe",0.0223627886261061,0,0.766879688606263
"mid-upper arm circumference (cm)_se",0.0195514607482885,0,0.806728967619083
"Haemoglobin_pe",0.170120242547799,0.228777484273706,0.943118515172537
"Haemoglobin_se",0.117245466393819,0.0391550349400799,0.955306153576226
