"","mean_diff","se_mean_diff","beta_p"
"weight (kg)_pe",0.183310326905801,0.2843908646827,1.95180064565032
"weight (kg)_se",0.107672371251246,0.120951899344847,1.57088100083528
"height (cm)_pe",0.0549929860684235,0,0.419143434669161
"height (cm)_se",0.0270646889686399,0,0.280806990222351
"mid-upper arm circumference (cm)_pe",0.02348973947133,0,0.721982798529751
"mid-upper arm circumference (cm)_se",0.0197206434188363,0,0.770100601839182
"Haemoglobin_pe",0.111866076946396,0.190209867270373,0.702574572311037
"Haemoglobin_se",0.116205962365912,0.0484446128413509,0.937894382347979
