,R,,,,,,
,c1,c2,c3,c4,c5,c6,c7
r1,.264811,.,.238058,.,.1026306,.,.1082458
r2,.0911271,.,.1174955,.,.0532874,.,.074579
r3,.0036614,.,.0427542,.,.0541066,.,.1466615
r4,27,.,7,.,22,.,13
r5,.,.,.,.,.,.,.
r6,.6571409,.,.3964166,.,.2884209,.,-.4
r7,.3357099,.,.1669191,.,.1538595,.,.4336801
r8,.0502927,.,.0175536,.,.0608516,.,.3563518
r9,4,.,3,.,4,.,1
r10,.,.,.,.,.,.,.
r11,.3270617,.,.2719484,.,.160113,.,.0936472
r12,.0964848,.,.0991951,.,.0621571,.,.0735001
r13,.0006995,.,.006115,.,.0099968,.,.2026244
r14,31,.,10,.,26,.,14
r15,.,.,.,.,.,.,.
r16,-.4074036,.,-.127098,.,-.2196989,.,.5082458
r17,.251491,.,.2276249,.,.1266371,.,.4400459
r18,.1052423,.,.5765945,.,.0827638,.,.2480971
