,A,,,,,,,,,,,
,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
r1,.0783362,-.033825,.0150405,-.0197961,.1136592,.2578277,.0223114,.0675346,.0233405,.0121141,.0488019,.0306283
r2,.0984129,.1091811,.0807173,.0310678,.0646402,.1642379,.0294526,.1300209,.0567162,.0311886,.0339187,.0269252
r3,.426035,.7567084,.8521821,.5240006,.0786905,.1164516,.4487291,.6034722,.6806821,.6977084,.1502102,.2553165
r4,3,2.5,2.875,4.75,3.809524,3.3,4.272727,2.4,4.0625,3.833333,.,.
,B,,,,,,,,,,,
,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
r1,.276,.306,.227,.088,.182,.461,.083,.365,.159,.088,.096,.076
